timestamp_utc,asof_date,marketplace,sku,asin,our_price,buy_box_price,buy_box_present_flag,outcome_known_flag,we_present_flag,buy_box_channel,lowest_fba_price,lowest_fbm_price,offer_count_fba,offer_count_fbm,bsr,bsr_category,source,notes
2026-02-18T11:32:14Z,2026-02-18,UK,LP-QMNJ-J49G,B0CL5DHG37,5.99,,0,0,1,Unknown,5.99,5.09,1,1,,,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,LR-7GM6-1RCH,B08MQB42B3,38.06,37.29,1,1,1,FBA,29.99,36.9,4,7,,,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,OV-LVEL-DQL6,B08W25WKTN,16.08,14.67,1,1,1,FBA,14.67,13.99,4,13,,,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,R4-0AXZ-ZZ9D,B0844ZRHS9,12.2,11.99,1,1,1,FBA,9.72,11.99,4,7,,,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,R7-98IN-2PW8,B08CHKHTWX,5.83,5.45,1,1,1,FBM,5.75,5.4,6,17,,,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,RI-VSUS-0YTD,B08MVGD2ND,7.25,6.99,1,1,1,FBM,7.25,6.99,3,2,,,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,RW-AZK6-O4M2,B00F4LA0K0,4.6,3.84,1,1,1,FBA,3.79,3.5,4,7,,,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,RZ-6ZL9-CZ7J,B075XT2J8X,6.97,6.35,1,1,1,FBA,6.35,6.35,5,6,,,SPAPI,low velocity inconsistent
2026-02-18T11:32:14Z,2026-02-18,UK,TJ-6LOP-OPEU,B08P63MSS9,8.97,,0,0,1,Unknown,8.97,8.68,2,3,,,SPAPI,low velocity consistent | buy_box_price_missing
2026-02-18T11:32:14Z,2026-02-18,UK,TK-E7QE-T40G,B000FPU2SK,9.11,7.68,1,1,1,FBA,7.68,,4,,,,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,UR-Q7TM-1F3I,B072YZPBJ3,17.17,15.92,1,1,1,FBM,20.79,15.92,1,19,,,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,US-AK96-YFSB,B002DPGTF0,7.9,7.9,1,1,1,FBA,7.9,7.9,2,1,,,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,VF-3T0K-DR5O,B08KFFY86W,5.35,4.79,1,1,1,FBA,4.79,4.79,17,4,,,SPAPI,mid velocity inconsistent
2026-02-18T11:32:14Z,2026-02-18,UK,VO-A6AR-18YS,B09NQDQ8X7,8.99,5.76,1,1,1,FBM,8.99,5.76,2,5,,,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,VU-8KRA-QP5M,B0BNLWBLMV,12.88,12.88,1,1,1,FBA,12.88,12.88,5,10,,,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,W3-8FN7-FSP0,B004J71OSC,7.99,,0,0,1,Unknown,7.99,13.52,1,2,,,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,WE-1Z7L-SA2I,B08MVG9QZW,7.49,6.99,1,1,1,FBM,7.49,6.99,2,1,,,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,X7-MY4W-H2I4,B00S9IXBVU,7.53,6.95,1,1,1,FBA,6.95,6.95,2,3,,,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,XE-27ZG-EZPZ,B0001IWX7E,4.36,2.99,1,1,1,FBA,2.99,5.39,2,3,,,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,XE-YPAI-HX9F,B086ZD7MG6,9.0,8.09,1,1,1,FBA,8.09,11.1,3,4,,,SPAPI,added_for_phase1_live_test_2026-02-16
2026-02-18T11:32:14Z,2026-02-18,UK,XH-0LAE-FQO5,B00AOES9GE,6.9,6.13,1,1,1,FBA,6.13,,5,,,,SPAPI,low velocity inconsistent
2026-02-18T11:32:14Z,2026-02-18,UK,XY-UM2X-TPS3,B003VTZAM0,11.47,9.99,1,1,1,FBM,9.99,9.99,6,5,,,SPAPI,mid velocity consistent
2026-02-18T11:32:14Z,2026-02-18,UK,YC-3L3M-BV48,B0CTD6Q6KY,119.95,79.0,1,1,1,FBA,79.0,,2,,,,SPAPI,low velocity inconsistent
2026-02-18T11:32:14Z,2026-02-18,UK,YO-EKK2-FRCC,B00BWU7MNU,6.42,5.98,1,1,1,FBA,5.98,5.98,5,6,,,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,Z7-26PV-O9LR,B07J9JGZZV,9.2,9.08,1,1,1,FBA,9.08,9.74,8,7,,,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,ZT-QPY3-P24I,B0D3JBBGSB,79.97,79.63,1,1,1,FBA,27.1,79.63,13,3,,,SPAPI,
