last_updated_A003,seller_sku,title,brand_name,main_image,package_weight_value,package_weight_unit,package_length,package_width,package_height,package_dimension_unit,item_length,item_width,item_height,item_dimension_unit,size,product_type,supplier_code,supplier_name,supplier_pack_size,amazon_pack_size,pack_conversion_note,moq,supplier_catalog_price,last_purchase_price,target_margin,sale_status,vat_rate,notes,stock_total,stock_available,stock_reserved,stock_inbound,fba_fee_10,fba_fee_100,referral_fee_10,referral_fee_100,last_updated,last_updated_A001,last_updated_A002,last_updated_A003,last_updated_A004,live_listing_price,live_listing_price_currency,live_price_last_updated,last_sold_price,last_sold_price_currency,last_sold_price_updated,last_fba_fee_ex_vat,last_fba_fee_updated,last_fba_fee_source,last_fba_fee_candidate,last_fba_fee_candidate_seen,last_margin_pct,last_margin_updated,last_margin_source,last_commission_pct,last_commission_updated,last_commission_source,last_withheld_vat_flag,last_withheld_vat_updated,last_withheld_vat_source,last_vat_rate_pct,last_vat_rate_updated,last_vat_rate_source,last_vat_rate_candidate,last_vat_rate_candidate_seen,last_commission_pct_10,last_commission_pct_100,asin,last_fba_fee_ex_vat_10,last_fba_fee_ex_vat_100
2026-01-17T13:01:05.945038+00:00,09-CZ59-Q6OR,Stoddard Icon White Standard Interdental Brushes - 8 Brush Plus 2 Free Brush in 1 Pack,,https://m.media-amazon.com/images/I/717S2YgqeWL.jpg,0.03,kilograms,0.9,7.5,18.0,centimeters,,,,,10 count (Pack of 1),TOOTHBRUSH,,DHB,1,1,unconfirmed,,,,,dropped,20,,0,0,0,0,1.5,1.87,8.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,B2-5FFM-153A,Ravensburger Disney Princess 100 Piece Jigsaw Puzzles for Kids Age 6 Years Up,,https://m.media-amazon.com/images/I/81N07VEGGoL.jpg,0.49,kilograms,3.7,23.1,33.5,centimeters,33.5,23.1,3.7,centimeters,100 Parça,PUZZLES,,ABGee,1,1,unconfirmed,,,,,dropped,20,,0,0,0,0,3.13,3.13,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,XI-DUS3-PXC9,"Super Mario - 2,5 Deluxe Toad House Playset (413674)",,https://m.media-amazon.com/images/I/710YGjvZI4L.jpg,0.712,kilograms,10.4902,22.8092,40.4876,centimeters,16.0,4.0,9.0,inches,Medium,TOY_FIGURE_PLAYSET,413674,ABGee,1,1,unconfirmed,,,,,dropped,20,,0,0,0,0,4.87,4.87,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,0T-LQK2-KFCY,"Mattel WWE Ultimate Edition Asuka Action Figure & Accessories, 6-inch Collectible Set, Swappable Heads & Hands, Entrance Gear & 30 Articulation Points, HWP53",,https://m.media-amazon.com/images/I/917SgK2N-DL.jpg,0.259,kilograms,6.7056,19.1008,27.5082,centimeters,1.1811,3.1496,6.6929,inches,6 pulgadas,TOY_FIGURE,,ABGee,1,1,unconfirmed,,,,,dropped,20,,0,0,0,0,2.7,3.13,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,OL-F41R-EZEF,BRIO World Collapsing Bridge for Kids Age 3 Years Up - Compatible With All BRIO Railway Train Sets and Accessories,,https://m.media-amazon.com/images/I/71SYuSV+hcL.jpg,0.662,kilograms,9.398,14.7066,27.8892,centimeters,66.0,12.0,7.0,centimeters,66.7 x 12.5 x 7.7 centimeters,TOY_MODEL_VEHICLE_TRACK,,ABGee,1,1,unconfirmed,,,,,dropped,20,,0,0,0,0,3.13,3.13,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,NC-MA70-7OJ9,Learning Resources Playfoam Sparkle (Set of 4) EI-1910,,https://m.media-amazon.com/images/I/61ZL-BMxtdL.jpg,0.068,kilograms,3.5052,19.304,26.3906,centimeters,1.27,7.72,10.67,inches,M,TOYS_AND_GAMES,,ABGee,1,1,unconfirmed,,,,,dropped,20,,0,0,0,0,2.42,2.77,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,T7-NZWY-R44R,"The Original Plasticine, FunTUBulous, Original Modelling Clay, Soft and Non-Hardening, Includes 8 Bumper Sticks of Plasticine in Plastic Bucket with Carry Handle, Suitable for Ages 3+",,https://m.media-amazon.com/images/I/51DjBSiS5zL.jpg,0.695,kilograms,13.5,15.0,15.2,centimeters,13.5,13.5,15.5,centimeters,Medium,TOYS_AND_GAMES,,ABGee,1,1,unconfirmed,,,,,dropped,20,,0,0,0,0,3.15,3.15,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,I2-OJSR-TKZ6,BRIO World Wooden Tunnel Train for Kids Age 3 Years Up - Compatible with all BRIO Railway Sets & Accessories,,https://m.media-amazon.com/images/I/81rV5ilI-bL.jpg,0.69,kilograms,9.4,14.6,28.7,centimeters,23.4,8.5,10.7,centimeters,Standard,TOY_MODEL_VEHICLE_TRACK,,ABGee,1,1,unconfirmed,,,,,dropped,20,,0,0,0,0,3.13,3.13,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,9C-ZLCN-WWGK,Funko POP! Movies: Harry Potter - Severus Snape - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans - Model Figure for Collectors and Display,,https://m.media-amazon.com/images/I/51X1fLoBCRL.jpg,0.141,kilograms,9.1948,11.6078,16.1036,centimeters,3.5,3.5,3.75,inches,Standard,FIGURINE,985 5862,ABGee,1,1,unconfirmed,,,7.59,,dropped,20,,0,0,0,0,2.67,3.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,6L-LO0H-2WGF,"Make It Real Blooming Vibes Sketchbook - Princess Fashion Design Drawing and Craft Book - Fashion Designer Kits for Girls with Templates, Stencils, Stickers - Kids Arts and Crafts Sets, Creative Gifts",,https://m.media-amazon.com/images/I/81lqhgqcQjL.jpg,0.23,kilograms,1.1,18.3,25.5,centimeters,7.28,10.43,0.79,inches,15 x 18.5 x 25,TOYS_AND_GAMES,198 3202,ABGee,1,1,unconfirmed,,,3.33,,dropped,20,,0,0,0,0,1.87,2.16,8.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,7C-XI7G-FMUU,Funko POP! Vinyl: Disney: the Lion King: Mufasa - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans - Model Figure for Collectors and Display,,https://m.media-amazon.com/images/I/71c-DYBU4dL.jpg,0.2,kilograms,9.2,11.7,16.2,centimeters,2.5,2.5,3.75,inches,,FIGURINE,985 36391,ABGee,1,1,unconfirmed,,,7.59,,dropped,20,,0,0,0,0,2.7,3.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,W7-F06R-CW3C,Giga Pets AR Virtual Animal Pet Toy (Unicorn),,https://m.media-amazon.com/images/I/71twRRGGk5L.jpg,0.09,kilograms,2.2098,12.7,17.907,centimeters,2.0,1.0,2.25,inches,Small,PRELOADED_ELECTRONIC_GAME,,ABGee,1,1,unconfirmed,,,,,dropped,20,,0,0,0,0,1.8,2.18,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,D6-Y4EX-C9HL,Ravensburger Hey Duggee Mini Memory Game - Matching Picture Snap Pairs Game for Kids Age 3 Years Up,,https://m.media-amazon.com/images/I/71IbAg+4oUL.jpg,0.12,kilograms,3.56,14.73,14.99,centimeters,5.0,5.0,0.2,centimeters,"5 x 5 x 0,2 cm",TABLETOP_GAME,,ABGee,1,1,unconfirmed,,,,,dropped,20,,0,0,0,0,2.42,2.77,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,NB-UWOU-68PW,Funko Mystery Mini: Marvel Deadpool 30th - 1 Of 12 to Collect - Styles Vary - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Comic Books Fans and Display,,https://m.media-amazon.com/images/I/711+E-ENm-L.jpg,0.06,kilograms,6.9,8.2,9.2,centimeters,1.0,1.0,2.0,inches,standard size,FIGURINE,,ABGee,1,1,unconfirmed,,,,,dropped,20,,0,0,0,0,2.67,3.0,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,QG-6O1N-7HTR,Pokemon Piplup 8 inch Plush,,https://m.media-amazon.com/images/I/61VLPNwyHHL.jpg,0.1,kilograms,10.6,13.3,21.6,centimeters,12.7,15.2,20.3,centimeters,único,TOY_FIGURE,,ABGee,1,1,unconfirmed,,,,,dropped,20,,0,0,0,0,2.67,3.13,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,E7-LAKI-9FEO,"Ravensburger Disney Princess - Jigsaw Puzzles for Kids Age 3 Years Up, Multicolored, 4 in Box (12, 16, 20, 24 Piece)",,https://m.media-amazon.com/images/I/91imrUZlBdL.jpg,0.29,kilograms,4.7,20.1,23.5,centimeters,19.0,14.0,0.2,centimeters,0,PUZZLES,,ABGee,1,1,unconfirmed,,,,,dropped,20,,0,0,0,0,2.65,3.0,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,FQ-DRSZ-XVJI,"Purse Pets, Glamicorn Unicorn Interactive Purse Pet with Over 25 Sounds and Reactions, Kids Toys for Girls Ages 5 and up",,https://m.media-amazon.com/images/I/91D-ngZHERL.jpg,0.358,kilograms,7.3914,21.4884,23.6982,centimeters,8.13,2.88,8.0,inches,Glamicorn Unicorn,TOYS_AND_GAMES,,ABGee,1,1,unconfirmed,,,,,dropped,20,,0,0,0,0,2.7,3.02,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,WY-Z6LP-JOMV,Ravensburger Super Mario 100 Piece XXL Jigsaw Puzzles for Kids Age 6 Years Up - Extra Large Pieces,,https://m.media-amazon.com/images/I/81CUvQsVPbL.jpg,0.481,kilograms,3.4036,23.0124,33.401,centimeters,3.7,23.1,0.1,centimeters,"1000 Pezzi, XXL",PUZZLES,542 12001074,ABGee,1,1,unconfirmed,,,,,dropped,20,,0,0,0,0,3.13,3.13,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,IX-E0R5-6P6G,Ravensburger Super Mario 3x 49 Piece Jigsaw Puzzles for Kids Age 5 Years Up,,https://m.media-amazon.com/images/I/51RpYtwv6PL.jpg,0.331,kilograms,3.4036,18.9992,27.2034,centimeters,17.8,17.8,0.1,centimeters,49-delars pussel,PUZZLES,,ABGee,1,1,unconfirmed,,,,,dropped,20,,0,0,0,0,2.42,2.77,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,J7-QL4P-4SOM,ThinkFun Cold Case Files A Pinch of Murder - Murder Mystery Game for Adults and Kids Age 14 Years Up - 1 to 4 Players,,https://m.media-amazon.com/images/I/71ERGa-yLwS.jpg,0.259,kilograms,2.3876,24.511,31.1912,centimeters,9.0,0.5,12.0,inches,"9 Zoll x 12 Zoll x 0,5 Zoll",TABLETOP_GAME,,ABGee,1,1,unconfirmed,,,,,dropped,20,,0,0,0,0,2.7,3.09,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,UF-8XYI-JUTX,ThinkFun Cold Case Files A Pinch of Murder - Murder Mystery Game for Adults and Kids Age 14 Years Up - 1 to 4 Players,,https://m.media-amazon.com/images/I/71ERGa-yLwS.jpg,0.259,kilograms,2.3876,24.511,31.1912,centimeters,9.0,0.5,12.0,inches,"9 Zoll x 12 Zoll x 0,5 Zoll",TABLETOP_GAME,,ABGee,1,1,unconfirmed,,,,,dropped,20,,0,0,0,0,2.7,3.09,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,LG-AZOP-KOUU,ThinkFun Cold Case Files A Pinch of Murder - Murder Mystery Game for Adults and Kids Age 14 Years Up - 1 to 4 Players,,https://m.media-amazon.com/images/I/71ERGa-yLwS.jpg,0.259,kilograms,2.3876,24.511,31.1912,centimeters,9.0,0.5,12.0,inches,"9 Zoll x 12 Zoll x 0,5 Zoll",TABLETOP_GAME,,ABGee,1,1,unconfirmed,,,,,dropped,20,,0,0,0,0,2.7,3.09,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,0K-6BX5-D5AH,"SUPERTHINGS Balloon Boxer – Large vehicle plus two attachable vehicles, 3 SuperThings and 1 exclusive Kazoom Kid",,https://m.media-amazon.com/images/I/71bN1sKoFDL.jpg,0.44,kilograms,7.4,24.3,25.3,centimeters,26.0,28.0,31.0,centimeters,Large,NON_RIDING_TOY_VEHICLE,856 PSTSP414IN0,ABGee,1,1,unconfirmed,,,7.51,,dropped,20,,0,0,0,0,3.05,3.05,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,Z3-HICR-CPBW,Funko Action Figure: Five Nights At Freddy's (FNAF) - Toxic Springtrap - Glow In the Dark - Collectable Toy - Gift Idea - Official Merchandise,,https://m.media-amazon.com/images/I/81IsgXrrosL.jpg,0.109,kilograms,5.8928,14.9098,20.5994,centimeters,2.5,2.5,3.75,inches,Mittelgroß,TOY_FIGURE,985 59686,ABGee,1,1,unconfirmed,,,7.76,,dropped,20,,0,0,0,0,2.65,3.0,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
