amazon_order_id,asin,seller_sku,order_item_id,title,quantity_ordered,quantity_shipped,item_price_amount,item_price_currency,item_tax_amount,item_tax_currency,shipping_price_amount,shipping_price_currency,shipping_tax_amount,shipping_tax_currency,giftwrap_price_amount,giftwrap_price_currency,giftwrap_tax_amount,giftwrap_tax_currency,promotion_discount_amount,promotion_discount_currency,promotion_discount_tax_amount,promotion_discount_tax_currency,is_gift,is_transparency,condition_id,condition_subtype_id,ProductInfo,BuyerInfo,ItemTax,QuantityShipped,ItemPrice,ASIN,SellerSKU,Title,IsGift,IsTransparency,QuantityOrdered,PromotionDiscountTax,PromotionDiscount,OrderItemId,AmazonOrderId,ShippingTax,ShippingPrice,ShippingDiscount,ShippingDiscountTax,AmazonPrograms,PromotionIds,TaxCollection,IossNumber,DeemedResellerCategory
402-6627334-5377906,B000FGECAI,Z3-ORV9-K8XD,57130010111002,"Learning Resources Kanoodle 3D Brain Teaser Puzzle, Travel Game for Adults and Kids Ages 7 8 9 10+, Gift for Boys and Girls, Featuring over 200 Challenges",0,0,,,,,,,,,,,,,,,,,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
402-7242287-4963533,B0CN5KRVXB,TU-8I14-25ZR,57423969263322,Yu Gi Oh! Legendary Decks 2 2024 Unlimited Reprint,1,1,29.78,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
402-8155963-7800318,9188805646,LV-425G-BY4X,57396018727282,"Free League Publishing MÖRK Borg (Fantasy OSR RPG, Hardback, Full Color",1,1,35.36,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
402-8521705-7805935,B0CN5KRVXB,TU-8I14-25ZR,58149701498482,Yu Gi Oh! Legendary Decks 2 2024 Unlimited Reprint,0,0,,,,,,,,,,,,,,,,,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
402-9111771-2845961,B06XXDNH1P,SR-6OBB-WC03,58631827366602,Dragon Shield ART11105 White (60) Matte Japanese Size Sleeves 60pk,1,1,8.66,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
403-0324237-7264339,B000FGECAI,Z3-ORV9-K8XD,57144349197042,"Learning Resources Kanoodle 3D Brain Teaser Puzzle, Travel Game for Adults and Kids Ages 7 8 9 10+, Gift for Boys and Girls, Featuring over 200 Challenges",1,1,15.19,EUR,0.00,EUR,3.99,EUR,0.00,EUR,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
403-0668649-2347558,B08DR97BX2,UL-D0Y8-ZNI5,57835316554402,"Cliganic Organic Argan Oil, 100% Pure, 500 ml, Moroccan Argan Oil for Hair, Face & Skin, Natural Cold-Pressed Carrier Oil",1,1,49.20,EUR,0.00,EUR,3.99,EUR,0.00,EUR,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
403-1566588-0286763,B000FGECAI,Z3-ORV9-K8XD,57315007456562,"Learning Resources Kanoodle 3D Brain Teaser Puzzle, Travel Game for Adults and Kids Ages 7 8 9 10+, Gift for Boys and Girls, Featuring over 200 Challenges",1,1,16.35,EUR,0.00,EUR,3.99,EUR,0.00,EUR,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
403-3446142-4198733,B06XXDNH1P,SR-6OBB-WC03,57841714538682,Dragon Shield ART11105 White (60) Matte Japanese Size Sleeves 60pk,1,1,9.84,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
403-3901352-2638756,B06XXDNH1P,SR-6OBB-WC03,59045252083242,Dragon Shield ART11105 White (60) Matte Japanese Size Sleeves 60pk,1,1,8.70,EUR,0.00,EUR,,,,,,,,,0.00,EUR,0.00,EUR,false,False,,,,,,,,,,,,,,,,,,,,,,,,,,
