token_id,seller_sku,asin,lot_id,purchase_order_id,order_confirmation_id,invoice_id,shipment_id,cost_per_unit,currency,status,received_date,allocated_order_id,allocated_date,return_order_id,return_date,notes
A2-T2AC-TW3L1-0027,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0028,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0029,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0030,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0031,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0032,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0033,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0034,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0035,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0036,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0037,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0038,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0039,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0040,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0041,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
