pnl_category,amount,item_scope_total,delta,window_start,window_end
COMPENSATED_CLAWBACK,-10.47,0.0,10.47,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
Commission_Total,-1086.88,0.0,1086.88,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
Digital_Fee_Total,-52.71,0.0,52.71,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
FBA_Fee_Total,-1636.82,0.0,1636.82,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
Inbound Transportation Fee,-23.74,0.0,23.74,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
Price_Total,5747.240000000001,6781.19,1033.949999999999,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
Price_VAT,1115.2200000000003,1133.76,18.539999999999736,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
Promotion_Total,-6.5,-0.68,5.82,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
REVERSAL_REIMBURSEMENT,50.91,0.0,-50.91,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
Refund_Commission,-6.46,0.0,6.46,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
RemovalComplete,-2.76,0.0,2.76,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
Shipping_Chargeback,-71.22,0.0,71.22,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
Shipping_Total,62.77,96.96000000000001,34.190000000000005,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
Shipping_VAT,16.7,10.4,-6.299999999999999,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
WAREHOUSE_LOST,8.04,0.0,-8.04,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
