missing_in_order_ledger,extra_in_order_ledger
203-1278024-4087562,202-1715806-1017961
203-1422438-6776355,202-1734202-1665969
203-1474831-1813110,202-1847239-8889133
203-1669045-0673921,202-1919149-9506716
203-1821009-6593114,202-1948112-0443524
203-1864018-5714769,202-1992250-8625106
203-2152520-0356327,202-2057047-5257146
203-2156008-9079528,202-2371212-2292305
203-2220364-0659536,202-2462722-1060340
203-2260586-9529120,202-2605993-9194753
203-2376799-2001132,202-2776220-8113935
203-2461498-1349149,202-2858479-4455561
203-2531513-2069934,202-3006102-9887557
203-3039276-7911525,202-3191556-7745144
203-3106217-1921134,202-3236194-8898727
203-3231743-0569955,202-3277616-6146764
203-3598001-3104329,202-3564164-8989967
203-3602199-9661920,202-4120545-2837940
203-3729007-6215550,202-4183537-2548315
203-3891640-9222717,202-4199238-7489960
203-4070395-8222739,202-4244985-5873157
203-4127436-9879567,202-4493054-3528329
203-4286627-8012344,202-4495787-3426717
203-4297654-1214755,202-4623698-5765917
203-4377559-6623528,202-4702427-0581105
203-4725047-6981950,202-4710424-8197959
203-4725185-4839539,202-4789004-8671508
203-4854808-4111539,202-4925964-6033162
203-5140921-1375515,202-4957417-9021140
203-5166987-1078708,202-5006872-8168369
203-5310213-8417112,202-5038540-2893946
203-5327986-3809918,202-5443256-6636366
203-5424203-3485120,202-5450615-4826762
203-5669751-5801961,202-5483849-9816350
203-5842837-6520309,202-5569243-3881939
203-5951262-0109953,202-5650285-0350702
203-6002773-7945900,202-5681233-2063530
203-6356880-2223517,202-5727441-1921102
203-6526894-8569166,202-5766967-4389119
203-6732768-8715531,202-5948125-9189927
203-6857234-8351533,202-6098497-4290721
203-6931682-2500348,202-6408339-5516335
203-6946009-3736361,202-6434551-2193947
203-7186521-7921900,202-6474092-8271519
203-7210992-6480352,202-6520170-2876357
203-7479118-1848348,202-6531242-1637134
203-7653117-9553959,202-6586659-5511535
203-8247006-8596356,202-6801355-3786728
203-8427504-7923502,202-6852876-6861920
203-8430894-9126739,202-6929990-5281917
203-8434168-9066722,202-6958995-9577108
203-8461816-0998710,202-7055105-4897160
203-8485022-4297955,202-7055993-3200345
203-8597686-0284347,202-7087393-8621940
203-8999154-4807518,202-7132558-2053916
203-9107901-0440369,202-7153316-5975501
203-9109032-4643550,202-7183215-4543566
203-9140350-7033931,202-7250955-2237941
203-9141155-2925967,202-7312506-5145907
203-9179979-1612360,202-7341207-8962749
203-9552361-6809102,202-7375339-6565108
203-9555760-0349942,202-7471624-2785116
203-9676727-4847563,202-7513332-1685139
203-9697672-9384324,202-7615599-6692331
203-9852126-6106755,202-7722402-0113904
203-9968599-0957119,202-7813016-8839540
204-0095634-7249107,202-7828210-9098715
204-0107899-6024314,202-7884448-4544313
204-0291248-8964372,202-7902179-5145937
204-0354885-3135542,202-8025672-2900349
204-0361002-2686757,202-8097399-7302733
204-0445235-8404306,202-8322445-7341963
204-0533387-5701152,202-8374447-2766752
204-0585319-6341121,202-8386040-1209942
204-0634626-1356301,202-8608298-0969127
204-0796076-3693163,202-8616386-0937940
204-1025061-9389148,202-8689074-9154730
204-1192860-2955520,202-8737821-6491503
204-1249683-2109114,202-8779431-8989906
204-1432516-1153143,202-8828299-1901144
204-1477759-3127536,202-8860486-5110735
204-1501359-9595536,202-8992194-5053919
204-1535897-5020346,202-9049619-5813933
204-1574132-2977905,202-9130347-3793957
204-1580853-8077947,202-9404116-5650758
204-1912548-8325169,202-9423782-7945110
204-1950876-8338764,202-9502915-9661949
204-1993539-8822718,202-9560613-7714761
204-2125610-6978723,202-9657299-3725117
204-2130575-0332328,202-9924679-4001149
204-2238399-9722740,202-9939626-9381935
204-2301715-8082700,203-0254398-6882728
204-2327821-5625163,203-0276566-4885935
204-2361115-2381121,203-0277848-4005175
204-2407710-7728306,203-0291736-7170776
204-2671399-0899556,203-0358208-0829114
204-3105850-9147560,203-0386763-7885112
204-3412212-8345147,203-0387202-4072306
204-3426011-6751561,203-0507977-8896320
204-3568175-9383510,203-0577936-4872355
204-3579030-2557137,203-0619999-7716368
204-3691298-7649152,203-0759731-1501154
204-3782066-2984309,203-0783777-1929913
204-3913888-6916331,203-0846783-0609166
204-3929773-4101116,203-0870476-9893969
