section,date,order_id,sku,qty,price_total,price_vat,price_exvat,shipping_total,shipping_vat,shipping_exvat,gift_total,gift_vat,gift_exvat,promotion_total,promotion_vat,promotion_exvat,cogs_total,fba_fee_total,fba_fee_vat,fba_fee_exvat,commission_total,commission_vat,commission_exvat,digital_fee_total,digital_fee_vat,digital_fee_exvat,token_ids,token_cost_total,token_currency,pnl_row,pnl_amount,transaction_type,breakdown_type,description,amount_value,currency,category,category_group,inbound_shipment_id
order,2026-01-25,202-5995819-8189960,R7-98IN-2PW8,1.0,5.83,0.97,4.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,-1.8,-0.3,-1.5,-0.56,-0.09,-0.47,-0.05,-0.01,-0.04,R7-98IN-2PW8-2025-09-09-row858-0050,2.5,GBP,,,,,,,,,,
order,2026-01-25,206-7252664-7906707,3B-3H3V-Z93T,1.0,7.09,1.18,5.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,-3.2,-0.53,-2.67,-1.27,-0.21,-1.06,-0.08,-0.01,-0.07,3B-3H3V-Z93T-2026-01-05-row957-0020,1.6,GBP,,,,,,,,,,
order,2026-01-25,204-3193644-4101960,GJ-2OZK-0GCA,1.0,39.99,6.66,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GJ-2OZK-0GCA-2026-01-05-row958-0013,17.5,GBP,,,,,,,,,,
order,2026-01-25,206-0241010-3644358,A2-T2AC-TW3L,1.0,11.89,1.98,9.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51,-3.44,-0.57,-2.87,-1.86,-0.31,-1.55,-0.11,-0.02,-0.09,A2-T2AC-TW3L-2026-01-05-row956-0116,4.51,GBP,,,,,,,,,,
order,2026-01-25,206-8616534-3411566,L3-ZQ8U-A7LQ,1.0,9.99,1.66,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,-1.75,-0.29,-1.46,-1.8,-0.3,-1.5,-0.07,-0.01,-0.06,L3-ZQ8U-A7LQ-2025-10-06-row910-0050,3.7,GBP,,,,,,,,,,
order,2026-01-25,202-6735443-5295524,3B-3H3V-Z93T,1.0,7.09,1.18,5.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,-3.2,-0.53,-2.67,-1.27,-0.21,-1.06,-0.08,-0.01,-0.07,3B-3H3V-Z93T-2026-01-05-row957-0018,1.6,GBP,,,,,,,,,,
order,2026-01-25,203-8190248-9265158,8R-E0Y9-0LAU,1.0,79.99,13.33,66.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1,-3.34,-0.56,-2.78,-14.4,-2.4,-12.0,-0.36,-0.06,-0.3,8R-E0Y9-0LAU-2026-01-12-row959-0006,38.1,GBP,,,,,,,,,,
order,2026-01-25,203-8610504-0562703,3B-3H3V-Z93T,1.0,7.09,1.18,5.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,-3.2,-0.53,-2.67,-1.27,-0.21,-1.06,-0.08,-0.01,-0.07,3B-3H3V-Z93T-2026-01-05-row957-0019,1.6,GBP,,,,,,,,,,
order,2026-01-25,026-2689098-1215541,3B-3H3V-Z93T,1.0,7.09,1.18,5.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,-3.2,-0.53,-2.67,-1.27,-0.21,-1.06,-0.08,-0.01,-0.07,3B-3H3V-Z93T-2026-01-05-row957-0016,1.6,GBP,,,,,,,,,,
order,2026-01-25,204-0487628-2023529,3B-3H3V-Z93T,1.0,7.09,1.18,5.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,-3.2,-0.53,-2.67,-1.27,-0.21,-1.06,-0.08,-0.01,-0.07,3B-3H3V-Z93T-2026-01-05-row957-0017,1.6,GBP,,,,,,,,,,
order,2026-01-25,203-0571233-1503568,L1-54EX-56YC,1.0,15.74,2.62,13.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35,-3.35,-0.56,-2.79,-2.83,-0.47,-2.36,-0.13,-0.02,-0.11,L1-54EX-56YC-2025-09-15-row875-0022,5.35,GBP,,,,,,,,,,
order,2026-01-25,202-8743360-7342712,3B-3H3V-Z93T,1.0,7.09,1.18,5.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,-3.2,-0.53,-2.67,-1.27,-0.21,-1.06,-0.08,-0.01,-0.07,3B-3H3V-Z93T-2026-01-05-row957-0015,1.6,GBP,,,,,,,,,,
order,2026-01-25,202-6685261-8246721,DC-K5WH-R7F5,1.0,3.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,-1.75,-0.29,-1.46,-0.3,-0.05,-0.25,-0.05,-0.01,-0.04,DC-K5WH-R7F5-2025-11-10-row935-0153,0.68,GBP,,,,,,,,,,
order,2026-01-25,203-9845897-1237134,WX-L5UA-UB1Q,1.0,5.59,0.93,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,-1.82,-0.3,-1.52,-0.88,-0.15,-0.73,-0.05,-0.01,-0.04,WX-L5UA-UB1Q-2025-06-19-row757-0216,1.72,GBP,,,,,,,,,,
order,2026-01-25,204-0052150-9187517,WX-L5UA-UB1Q,1.0,5.59,0.93,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,-1.82,-0.3,-1.52,-0.88,-0.15,-0.73,-0.05,-0.01,-0.04,WX-L5UA-UB1Q-2025-06-19-row757-0215,1.72,GBP,,,,,,,,,,
order,2026-01-25,203-6326571-6298711,3B-3H3V-Z93T,1.0,7.09,1.18,5.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,-3.2,-0.53,-2.67,-1.27,-0.21,-1.06,-0.08,-0.01,-0.07,3B-3H3V-Z93T-2026-01-05-row957-0014,1.6,GBP,,,,,,,,,,
order,2026-01-25,203-4827423-1515524,3B-3H3V-Z93T,1.0,7.09,1.18,5.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,-3.2,-0.53,-2.67,-1.27,-0.21,-1.06,-0.08,-0.01,-0.07,3B-3H3V-Z93T-2026-01-05-row957-0013,1.6,GBP,,,,,,,,,,
order,2026-01-25,202-8358178-3680330,TU-8I14-25ZR,1.0,27.63,4.61,23.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.67,-3.76,-0.63,-3.13,-4.97,-0.83,-4.14,-0.17,-0.03,-0.14,TU-8I14-25ZR-2025-10-06-row883-0018,12.67,GBP,,,,,,,,,,
order,2026-01-25,204-7030706-9168343,3B-3H3V-Z93T,1.0,7.09,1.18,5.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,-3.2,-0.53,-2.67,-1.27,-0.21,-1.06,-0.08,-0.01,-0.07,3B-3H3V-Z93T-2026-01-05-row957-0012,1.6,GBP,,,,,,,,,,
order,2026-01-25,203-7139957-2910720,L3-ZQ8U-A7LQ,1.0,9.99,1.66,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,-1.75,-0.29,-1.46,-1.8,-0.3,-1.5,-0.07,-0.01,-0.06,L3-ZQ8U-A7LQ-2025-10-06-row910-0049,3.7,GBP,,,,,,,,,,
order,2026-01-25,026-9695928-3681113,3B-3H3V-Z93T,1.0,7.09,1.18,5.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,-3.2,-0.53,-2.67,-1.27,-0.21,-1.06,-0.08,-0.01,-0.07,3B-3H3V-Z93T-2026-01-05-row957-0011,1.6,GBP,,,,,,,,,,
order,2026-01-25,202-7682096-6840307,DC-K5WH-R7F5,2.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,-3.5,-0.58,-2.92,-0.6,-0.1,-0.5,-0.08,-0.02,-0.08,DC-K5WH-R7F5-2025-11-10-row935-0151|DC-K5WH-R7F5-2025-11-10-row935-0152,1.36,GBP,,,,,,,,,,
order,2026-01-25,026-6344892-6892327,WX-L5UA-UB1Q,1.0,5.59,0.93,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,-1.82,-0.3,-1.52,-0.88,-0.15,-0.73,-0.05,-0.01,-0.04,WX-L5UA-UB1Q-2025-06-19-row757-0214,1.72,GBP,,,,,,,,,,
order,2026-01-25,205-8227127-9767504,A2-T2AC-TW3L,1.0,11.89,1.98,9.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51,-3.44,-0.57,-2.87,-1.86,-0.31,-1.55,-0.11,-0.02,-0.09,A2-T2AC-TW3L-2026-01-05-row956-0115,4.51,GBP,,,,,,,,,,
order,2026-01-25,206-6373934-4168342,3B-3H3V-Z93T,1.0,7.09,1.18,5.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,-3.2,-0.53,-2.67,-1.27,-0.21,-1.06,-0.08,-0.01,-0.07,3B-3H3V-Z93T-2026-01-05-row957-0010,1.6,GBP,,,,,,,,,,
order,2026-01-25,202-9969160-4806717,WX-L5UA-UB1Q,1.0,5.59,0.93,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,-1.82,-0.3,-1.52,-0.88,-0.15,-0.73,-0.05,-0.01,-0.04,WX-L5UA-UB1Q-2025-06-19-row757-0213,1.72,GBP,,,,,,,,,,
order,2026-01-25,206-7670755-7033965,L3-ZQ8U-A7LQ,1.0,9.99,1.66,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,-1.75,-0.29,-1.46,-1.8,-0.3,-1.5,-0.07,-0.01,-0.06,L3-ZQ8U-A7LQ-2025-10-06-row910-0048,3.7,GBP,,,,,,,,,,
order,2026-01-25,206-2045508-7645901,DC-K5WH-R7F5,1.0,3.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,-1.75,-0.29,-1.46,-0.3,-0.05,-0.25,-0.05,-0.01,-0.04,DC-K5WH-R7F5-2025-11-10-row935-0150,0.68,GBP,,,,,,,,,,
order,2026-01-25,203-8165959-2654748,6V-EEC1-2S9Z,1.0,7.99,1.33,6.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,-1.94,-0.32,-1.62,-1.25,-0.21,-1.04,-0.06,-0.01,-0.05,6V-EEC1-2S9Z-2025-11-10-row939-0005,2.25,GBP,,,,,,,,,,
order,2026-01-25,203-4550858-2467567,NN-TSZ1-X2RD,1.0,7.97,1.49,6.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,-1.54,-0.29,-1.25,-0.79,-0.15,-0.64,-0.05,-0.01,-0.04,NN-TSZ1-X2RD-2025-12-16-row953-0015,3.99,GBP,,,,,,,,,,
order,2026-01-25,204-7288365-8497158,3B-3H3V-Z93T,2.0,14.18,2.36,11.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,-6.42,-1.08,-5.34,-2.56,-0.42,-2.12,-0.18,-0.02,-0.14,3B-3H3V-Z93T-2026-01-05-row957-0008|3B-3H3V-Z93T-2026-01-05-row957-0009,3.2,GBP,,,,,,,,,,
refund,2026-01-25,203-1763941-3872345,6V-EEC1-2S9Z,0.0,-7.99,-1.33,-6.66,-4.99,-0.83,-4.16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.17,0.83,0.13,0.02,0.11,,,,,,,,,,,,,
