seller_sku,lot_id,order_date,ordered,sent_to_fba,used_for_stock,used_for_orders,unused,cost_per_unit
8M-NHB7-T8TR,8M-NHB7-T8TR-2025-09-09-row847,2025-09-09,24,24,0,4,20,11.57
8R-E0Y9-0LAU,8R-E0Y9-0LAU-2026-01-12-row959,2026-01-12,10,10,7,3,0,38.1
8R-E0Y9-0LAU,8R-E0Y9-0LAU-2025-11-10-row945,2025-11-10,24,24,0,24,0,34.65
8U-QPFH-3EKQ,8U-QPFH-3EKQ-2025-12-16-row952,2025-12-16,4,4,0,4,0,2.93
8U-QPFH-3EKQ,8U-QPFH-3EKQ-2025-03-04-row474,2025-03-04,10,10,0,8,2,2.93
9X-7TBD-NA16,9X-7TBD-NA16-2025-06-23-row763,2025-06-23,90,90,0,28,62,1.99
9X-HL62-83C7,9X-HL62-83C7-2025-03-10-row490,2025-03-10,10,10,6,0,4,1.99
A1-KSU1-GZMS,A1-KSU1-GZMS-2025-11-01-row1658,2025-11-01,17,17,17,0,0,0.95
A2-T2AC-TW3L,A2-T2AC-TW3L-2026-01-05-row956,2026-01-05,360,120,120,240,0,4.51
A2-T2AC-TW3L,A2-T2AC-TW3L-2025-11-10-row940,2025-11-10,450,450,66,273,111,4.51
A9-2Y9G-M2K7,A9-2Y9G-M2K7-2025-06-23-row773,2025-06-23,73,73,0,1,72,1.52
AF-KIHX-ANYY,AF-KIHX-ANYY-2025-02-24-row451,2025-02-24,110,110,60,27,23,0.84
AX-NKNU-29C1,AX-NKNU-29C1-2025-04-14-row587,2025-04-14,200,200,136,47,17,0.61
BB-ZT14-1QQA,BB-ZT14-1QQA-2025-08-25-row819,2025-08-25,35,35,0,11,24,3.19
BL-WX51-KQOK,BL-WX51-KQOK-2025-05-05-row652,2025-05-05,10,10,6,2,2,3.4
BQ-O3OI-FTJU,BQ-O3OI-FTJU-2024-08-30-row35,2024-08-30,40,40,2,37,1,6.5
CJ-X0SS-QOUW,CJ-X0SS-QOUW-2025-05-20-row691,2025-05-20,12,12,9,3,0,4.16
CX-SMCH-4DYA,CX-SMCH-4DYA-2025-06-23-row770,2025-06-23,21,21,7,3,11,3.95
CY-5VNG-I5M8,CY-5VNG-I5M8-2025-10-07-row921,2025-10-07,7,7,0,2,5,2.22
D0-C7C0-H6LN,D0-C7C0-H6LN-2025-10-06-row915,2025-10-06,24,24,19,3,2,2.74
