seller_sku,asin,cpt_gbp,cpt_status,cpt_last_refresh_utc,cpt_error_summary
6V-EEC1-2S9Z,B06WW79DX5,21.41,OK,2026-02-14T14:19:00Z,
JB-RGB6-LZOJ,B0001P0DLU,6.15,OK,2026-02-14T14:19:32Z,
XH-0LAE-FQO5,B00AOES9GE,,MISSING,2026-02-14T14:20:04Z,
YC-3L3M-BV48,B0CTD6Q6KY,,MISSING,2026-02-14T14:20:37Z,
