pnl_category,amount,order_scope_total,column,delta,window_start,window_end
COMPENSATED_CLAWBACK,-10.47,0.0,,10.47,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
Commission_Total,-1086.88,-206.03,Commission_Total_GBP,880.8500000000001,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
Digital_Fee_Total,-52.71,-11.440000000000001,Digital_Fee_Total_GBP,41.269999999999996,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
FBA_Fee_Total,-1636.82,-383.51,FBA_Fee_Total_GBP,1253.31,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
Inbound Transportation Fee,-23.74,0.0,,23.74,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
Price_Total,5747.240000000001,2769.06,Price_Total_GBP,-2978.1800000000007,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
Price_VAT,1115.2200000000003,463.16,Price_VAT_GBP,-652.0600000000002,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
Promotion_Total,-6.5,0.0,Promotion_Total_GBP,6.5,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
REVERSAL_REIMBURSEMENT,50.91,0.0,,-50.91,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
Refund_Commission,-6.46,0.0,,6.46,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
RemovalComplete,-2.76,0.0,,2.76,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
Shipping_Chargeback,-71.22,0.0,,71.22,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
Shipping_Total,62.77,39.04,Shipping_Total_GBP,-23.730000000000004,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
Shipping_VAT,16.7,6.51,Shipping_VAT_GBP,-10.19,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
WAREHOUSE_LOST,8.04,0.0,,-8.04,10.11.2025 13:50:00 UTC,24.11.2025 13:50:00 UTC
