order_id,amount_type,is_fee,total_amount,tax_present,currency,derived_ex_vat,derived_vat
026-0026748-2325970,Refund_DigitalServicesFee,True,0.01,False,GBP,0.01,0.0
026-0026748-2325970,Refund_FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0026748-2325970,Refund_GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0026748-2325970,Refund_Principal,False,-3.57,False,GBP,-2.98,-0.59
026-0026748-2325970,Refund_RefundCommission,True,-0.13,False,GBP,-0.11,-0.02
026-0026748-2325970,Refund_ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0026748-2325970,Refund_Tax,False,-0.71,False,GBP,-0.59,-0.12
026-0026748-2325970,Refund_VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0026748-2325970,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0026748-2325970,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0026748-2325970,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0026748-2325970,Tax,False,0.71,False,GBP,0.59,0.12
026-0026748-2325970,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0028000-2969919,Commission,True,-2.28,False,GBP,-1.9,-0.38
026-0028000-2969919,DigitalServicesFee,True,-0.12,False,GBP,-0.1,-0.02
026-0028000-2969919,FBAPerUnitFulfillmentFee,True,-3.89,False,GBP,-3.24,-0.65
026-0028000-2969919,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0028000-2969919,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0028000-2969919,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0028000-2969919,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0028000-2969919,Principal,False,12.12,False,GBP,10.1,2.02
026-0028000-2969919,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0028000-2969919,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0028000-2969919,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0028000-2969919,Tax,False,2.42,False,GBP,2.02,0.4
026-0028000-2969919,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0035193-8613121,Commission,True,-1.05,False,GBP,-0.88,-0.17
026-0035193-8613121,DigitalServicesFee,True,-0.05,False,GBP,-0.04,-0.01
026-0035193-8613121,FBAPerUnitFulfillmentFee,True,-1.95,False,GBP,-1.62,-0.33
026-0035193-8613121,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0035193-8613121,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0035193-8613121,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0035193-8613121,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0035193-8613121,Principal,False,5.62,False,GBP,4.68,0.94
026-0035193-8613121,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0035193-8613121,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0035193-8613121,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0035193-8613121,Tax,False,1.13,False,GBP,0.94,0.19
026-0035193-8613121,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0039744-2632363,Commission,True,-1.24,False,GBP,-1.03,-0.21
026-0039744-2632363,DigitalServicesFee,True,-0.06,False,GBP,-0.05,-0.01
026-0039744-2632363,FBAPerUnitFulfillmentFee,True,-1.94,False,GBP,-1.62,-0.32
026-0039744-2632363,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0039744-2632363,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0039744-2632363,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0039744-2632363,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0039744-2632363,Principal,False,6.62,False,GBP,5.52,1.1
026-0039744-2632363,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0039744-2632363,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0039744-2632363,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0039744-2632363,Tax,False,1.32,False,GBP,1.1,0.22
026-0039744-2632363,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0044175-5485160,Commission,True,-1.68,False,GBP,-1.4,-0.28
026-0044175-5485160,DigitalServicesFee,True,-0.1,False,GBP,-0.08,-0.02
026-0044175-5485160,FBAPerUnitFulfillmentFee,True,-3.07,False,GBP,-2.56,-0.51
026-0044175-5485160,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0044175-5485160,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0044175-5485160,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0044175-5485160,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0044175-5485160,Principal,False,8.98,False,GBP,7.48,1.5
026-0044175-5485160,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0044175-5485160,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0044175-5485160,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0044175-5485160,Tax,False,1.8,False,GBP,1.5,0.3
026-0044175-5485160,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0059142-6449934,Commission,True,-1.71,False,GBP,-1.43,-0.28
026-0059142-6449934,DigitalServicesFee,True,-0.1,False,GBP,-0.08,-0.02
026-0059142-6449934,FBAPerUnitFulfillmentFee,True,-3.02,False,GBP,-2.52,-0.5
026-0059142-6449934,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0059142-6449934,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0059142-6449934,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0059142-6449934,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0059142-6449934,Principal,False,9.12,False,GBP,7.6,1.52
026-0059142-6449934,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0059142-6449934,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0059142-6449934,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0059142-6449934,Tax,False,1.83,False,GBP,1.53,0.3
026-0059142-6449934,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0061970-0064305,Commission,True,-1.74,False,GBP,-1.45,-0.29
026-0061970-0064305,DigitalServicesFee,True,-0.09,False,GBP,-0.07,-0.02
026-0061970-0064305,FBAPerUnitFulfillmentFee,True,-3.03,False,GBP,-2.52,-0.51
026-0061970-0064305,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0061970-0064305,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0061970-0064305,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0061970-0064305,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0061970-0064305,Principal,False,9.32,False,GBP,7.77,1.55
026-0061970-0064305,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0061970-0064305,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0061970-0064305,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0061970-0064305,Tax,False,1.86,False,GBP,1.55,0.31
026-0061970-0064305,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0062036-4409960,Commission,True,-1.03,False,GBP,-0.86,-0.17
026-0062036-4409960,DigitalServicesFee,True,-0.06,False,GBP,-0.05,-0.01
026-0062036-4409960,FBAPerUnitFulfillmentFee,True,-1.97,False,GBP,-1.64,-0.33
026-0062036-4409960,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0062036-4409960,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0062036-4409960,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0062036-4409960,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0062036-4409960,Principal,False,5.54,False,GBP,4.62,0.92
026-0062036-4409960,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0062036-4409960,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0062036-4409960,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0062036-4409960,Tax,False,1.11,False,GBP,0.93,0.18
026-0062036-4409960,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0064468-5546719,Commission,True,-4.68,False,GBP,-3.9,-0.78
026-0064468-5546719,DigitalServicesFee,True,-0.2,False,GBP,-0.17,-0.03
026-0064468-5546719,FBAPerUnitFulfillmentFee,True,-5.26,False,GBP,-4.38,-0.88
026-0064468-5546719,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0064468-5546719,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0064468-5546719,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0064468-5546719,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0064468-5546719,Principal,False,21.72,False,GBP,18.1,3.62
026-0064468-5546719,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0064468-5546719,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0064468-5546719,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0064468-5546719,Tax,False,4.35,False,GBP,3.62,0.73
026-0064468-5546719,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0065117-1664370,Commission,True,-1.31,False,GBP,-1.09,-0.22
026-0065117-1664370,DigitalServicesFee,True,-0.09,False,GBP,-0.07,-0.02
026-0065117-1664370,FBAPerUnitFulfillmentFee,True,-3.02,False,GBP,-2.52,-0.5
026-0065117-1664370,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0065117-1664370,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0065117-1664370,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0065117-1664370,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0065117-1664370,Principal,False,7.01,False,GBP,5.84,1.17
026-0065117-1664370,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0065117-1664370,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0065117-1664370,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0065117-1664370,Tax,False,1.4,False,GBP,1.17,0.23
026-0065117-1664370,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0073185-5189967,Commission,True,-2.52,False,GBP,-2.1,-0.42
026-0073185-5189967,DigitalServicesFee,True,-0.12,False,GBP,-0.1,-0.02
026-0073185-5189967,FBAPerUnitFulfillmentFee,True,-3.32,False,GBP,-2.77,-0.55
026-0073185-5189967,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0073185-5189967,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0073185-5189967,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0073185-5189967,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0073185-5189967,Principal,False,11.69,False,GBP,9.74,1.95
026-0073185-5189967,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0073185-5189967,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0073185-5189967,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0073185-5189967,Tax,False,2.34,False,GBP,1.95,0.39
026-0073185-5189967,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0073458-5403516,Commission,True,-5.94,False,GBP,-4.95,-0.99
026-0073458-5403516,DigitalServicesFee,True,-0.19,False,GBP,-0.16,-0.03
026-0073458-5403516,FBAPerUnitFulfillmentFee,True,-3.83,False,GBP,-3.19,-0.64
026-0073458-5403516,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0073458-5403516,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0073458-5403516,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0073458-5403516,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0073458-5403516,Principal,False,27.5,False,GBP,22.92,4.58
026-0073458-5403516,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0073458-5403516,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0073458-5403516,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0073458-5403516,Tax,False,5.5,False,GBP,4.58,0.92
026-0073458-5403516,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0075070-1777135,Commission,True,-0.48,False,GBP,-0.4,-0.08
026-0075070-1777135,DigitalServicesFee,True,-0.05,False,GBP,-0.04,-0.01
026-0075070-1777135,FBAPerUnitFulfillmentFee,True,-1.8,False,GBP,-1.5,-0.3
026-0075070-1777135,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0075070-1777135,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0075070-1777135,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0075070-1777135,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0075070-1777135,Principal,False,4.15,False,GBP,3.46,0.69
026-0075070-1777135,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0075070-1777135,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0075070-1777135,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0075070-1777135,Tax,False,0.83,False,GBP,0.69,0.14
026-0075070-1777135,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0076055-3531566,Commission,True,-4.51,False,GBP,-3.76,-0.75
026-0076055-3531566,DigitalServicesFee,True,-0.17,False,GBP,-0.14,-0.03
026-0076055-3531566,FBAPerUnitFulfillmentFee,True,-3.78,False,GBP,-3.15,-0.63
