posted_date,transaction_type,amount_type,is_fee,amount,currency,tax_amount,tax_currency,order_id,shipment_id,inbound_shipment_id,fee_reason,fee_description,parsed_fba_shipment_id,date,date_source
,ServiceFee,FBALongTermStorageFee,True,-0.47,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.01,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-2.11,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.46,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.13,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.09,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.14,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.04,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.15,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.05,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.1,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.42,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.76,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.05,EUR,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.07,EUR,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,0.0,EUR,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-3.18,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-5.35,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.83,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.2,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.19,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-2.39,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-4.76,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-9.66,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-3.08,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.27,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-9.09,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.24,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-6.07,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.15,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.64,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.0,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-5.46,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-8.89,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.14,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.23,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-8.83,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.79,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.3,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.7,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-7.02,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-5.44,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-8.4,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-4.42,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.1,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.44,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-3.65,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.74,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.24,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.01,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-2.53,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-4.29,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-3.78,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.84,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-13.7,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.96,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-7.27,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.69,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-2.36,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.28,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.12,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.6,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.43,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.98,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.25,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.34,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.33,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.07,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.31,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.27,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,0.0,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-1.34,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.12,EUR,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.08,EUR,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.01,EUR,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-7.36,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-2.26,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-6.56,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-2.33,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-3.51,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.31,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-4.58,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.75,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.85,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-3.82,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-4.39,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-6.4,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.71,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.37,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-7.2,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.13,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-5.16,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.2,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.4,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-2.38,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.75,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-2.43,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-3.49,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.39,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-12.17,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-2.19,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-2.75,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-6.1,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.46,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.09,EUR,,,,,,,,,2026-06-10,estimated
