order_id,order_date,seller_sku,quantity,token_id,token_cost,currency,allocation_date,source_level,notes
203-2212921-1515513,2026-01-02T16:10:34Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0016,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-3962439-0622748,2026-01-02T16:39:19Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0017,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-5032618-1317134,2026-01-02T17:31:12Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0018,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
204-3727581-4384367,2026-01-02T18:50:09Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0019,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
202-7696024-8478734,2026-01-03T04:30:31Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0020,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
206-6029551-2840364,2026-01-03T08:41:23Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0021,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
026-8509770-4616326,2026-01-03T09:47:40Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0022,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-0038284-6083558,2026-01-03T10:34:01Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0023,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
026-3403796-9547565,2026-01-03T10:49:16Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0024,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-2203692-1143545,2026-01-03T11:11:05Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0025,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
206-2436816-8181134,2026-01-03T13:40:24Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0026,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-3000530-4443554,2026-01-03T14:00:42Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0027,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
202-5930395-7369110,2026-01-03T15:39:57Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0028,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
206-2868903-7333923,2026-01-03T16:59:48Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0029,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
026-0382544-1488321,2026-01-03T17:28:36Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0030,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-0120357-1485966,2026-01-03T18:08:30Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0031,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-0120357-1485966,2026-01-03T18:08:30Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0032,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-0120357-1485966,2026-01-03T18:08:30Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0033,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
