Date,Order ID,SKU,Quantity Ordered,Price_Total,Price_VAT,Price_ExVAT,lvl
2026-01-13T00:30:51Z,204-4437502-7855542,8U-QPFH-3EKQ,3,19.41,3.24,16.17,2
2026-01-13T00:53:46Z,026-9109072-3652341,8U-QPFH-3EKQ,1,6.47,1.08,5.39,2
2026-01-13T01:48:37Z,203-8969358-9148345,MW-9K5M-VKW8,1,27.00,4.50,22.50,2
2026-01-13T02:01:35Z,202-3265200-5496308,4F-HT42-FD26,1,8.98,1.50,7.48,2
2026-01-13T04:28:57Z,204-8504610-7422707,6V-EEC1-2S9Z,1,7.95,1.33,6.62,1
2026-01-13T08:54:33Z,205-8465086-7197923,WX-L5UA-UB1Q,1,5.77,0.96,4.81,2
2026-01-13T09:03:08Z,205-0010865-0173134,WX-L5UA-UB1Q,1,5.77,0.96,4.81,2
2026-01-13T10:09:15Z,204-4963943-4113941,MW-9K5M-VKW8,1,27.00,4.50,22.50,2
2026-01-13T10:27:04Z,205-2864175-7448359,XE-YPAI-HX9F,6,62.94,10.50,52.44,2
2026-01-13T10:44:37Z,202-3735392-9928306,6V-EEC1-2S9Z,1,7.95,1.33,6.62,1
2026-01-13T10:45:17Z,026-6307031-2176302,XE-YPAI-HX9F,1,10.49,1.75,8.74,2
2026-01-13T10:49:29Z,204-9755697-2997140,MW-9K5M-VKW8,1,27.00,4.50,22.50,2
2026-01-13T11:38:42Z,204-3164050-8695521,MW-9K5M-VKW8,1,27.00,4.50,22.50,2
2026-01-13T11:45:49Z,026-1742568-2625110,6V-EEC1-2S9Z,4,31.80,5.30,26.50,1
2026-01-13T11:48:29Z,204-6341093-0665936,MW-9K5M-VKW8,1,27.00,4.50,22.50,2
2026-01-13T11:58:34Z,026-7028819-9514761,PE-G94Y-4PYO,2,17.48,2.92,14.56,2
2026-01-13T12:06:52Z,203-8702503-3693151,6V-EEC1-2S9Z,1,7.95,1.33,6.62,1
2026-01-13T12:07:11Z,026-9935814-5079508,6V-EEC1-2S9Z,1,7.61,1.27,6.34,2
2026-01-13T12:37:19Z,026-1319155-1408338,6V-EEC1-2S9Z,4,31.80,5.30,26.50,1
2026-01-13T12:42:58Z,203-4217948-6389941,6V-EEC1-2S9Z,1,7.95,1.33,6.62,1
2026-01-13T12:51:21Z,203-0258832-5588322,SU-5LQH-2DVN,1,8.49,1.42,7.07,2
2026-01-13T13:06:10Z,204-9390927-0443503,6V-EEC1-2S9Z,3,22.83,3.81,19.02,2
2026-01-13T13:06:31Z,026-4627445-1833958,MW-9K5M-VKW8,1,27.00,4.50,22.50,2
2026-01-13T13:20:53Z,204-3658690-8873103,WX-L5UA-UB1Q,1,5.77,0.96,4.81,2
2026-01-13T13:27:30Z,203-3326317-8747557,MW-9K5M-VKW8,1,27.00,4.50,22.50,2
2026-01-13T13:39:25Z,206-1686104-6618703,6V-EEC1-2S9Z,1,7.95,1.33,6.62,1
2026-01-13T14:50:57Z,204-4633014-7589121,K0-71JR-UNLF,1,7.59,0.00,7.59,2
2026-01-13T15:36:20Z,026-0017416-5297920,6V-EEC1-2S9Z,2,15.98,2.66,13.32,2
2026-01-13T15:39:17Z,203-3372451-3477144,WX-L5UA-UB1Q,1,5.77,0.96,4.81,2
2026-01-13T15:53:12Z,202-1371500-8857956,6V-EEC1-2S9Z,1,7.99,1.33,6.66,2
2026-01-13T15:55:07Z,203-8507716-6189932,TU-8I14-25ZR,0,,,,0
2026-01-13T16:20:00Z,202-9213633-1573912,F7-PMJ2-SG6A,1,7.90,1.32,6.58,2
2026-01-13T17:31:16Z,205-0071847-4313963,MW-9K5M-VKW8,1,27.00,4.50,22.50,2
2026-01-13T17:43:00Z,026-2146713-2501948,XE-YPAI-HX9F,1,10.58,1.76,8.82,2
2026-01-13T18:17:26Z,206-7459459-1431501,WX-L5UA-UB1Q,1,5.77,0.96,4.81,2
2026-01-13T18:19:12Z,206-2833113-6489126,DC-K5WH-R7F5,1,3.00,0.50,2.50,2
2026-01-13T18:35:59Z,026-6462308-6906729,DC-K5WH-R7F5,1,3.00,0.50,2.50,2
2026-01-13T18:39:17Z,205-0111623-5667566,WX-L5UA-UB1Q,1,5.77,0.96,4.81,1
2026-01-13T19:29:31Z,205-9900329-9619536,XE-YPAI-HX9F,2,21.22,3.54,17.68,2
2026-01-13T20:05:11Z,206-8837196-8000343,MW-9K5M-VKW8,1,27.00,4.50,22.50,2
2026-01-13T20:07:31Z,206-8750921-7620329,DC-K5WH-R7F5,1,3.00,0.50,2.50,2
2026-01-13T20:09:15Z,202-4083928-8239517,WX-L5UA-UB1Q,1,5.77,0.96,4.81,1
2026-01-13T20:16:51Z,206-4312339-7341126,WX-L5UA-UB1Q,1,5.77,0.96,4.81,2
2026-01-13T20:52:43Z,205-7719933-7589921,WX-L5UA-UB1Q,1,5.77,0.96,4.81,2
