snapshot_file,asof_date,marketplace,sku,seller_id,offers_seen,rank_by_landed_price,best_landed_price_gbp,seller_landed_price_latest_gbp,seller_landed_price_min_gbp,seller_landed_price_max_gbp,seller_landed_price_median_gbp,gap_to_best_landed_gbp,min_delivery_days,prime_seen_flag,tier,tier_reason,source
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,VF-3T0K-DR5O,A6LWA092O6PLA,1,1,4.79,4.79,4.79,4.79,4.79,,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,VF-3T0K-DR5O,A1PDJFYGLPZ86M,1,2,4.79,4.84,4.84,4.84,4.84,0.05,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,VF-3T0K-DR5O,A2MSCEFUU7IF9P,2,3,4.79,4.84,4.84,4.84,4.84,0.05,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,VF-3T0K-DR5O,A2JHK2RGHEOXUY,1,4,4.79,4.85,4.85,4.85,4.85,0.06,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,VF-3T0K-DR5O,A21NMD767VKPKA,1,5,4.79,4.89,4.89,4.89,4.89,0.10,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,XE-YPAI-HX9F,A1JC7HNS9WAGK9,1,1,8.09,8.09,8.09,8.09,8.09,,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,XE-YPAI-HX9F,ASUZJJAO5898W,1,2,8.09,8.09,8.09,8.09,8.09,,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,XH-0LAE-FQO5,ASUZJJAO5898W,1,1,6.13,6.13,6.13,6.13,6.13,,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,XH-0LAE-FQO5,A2YMCJJAZ04D29,1,2,6.13,6.70,6.70,6.70,6.70,0.57,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,XH-0LAE-FQO5,A2V6U7OVTWHOIQ,1,3,6.13,6.80,6.80,6.80,6.80,0.67,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,XH-0LAE-FQO5,A1EGWKJ2C3AMWH,1,4,6.13,6.90,6.90,6.90,6.90,0.77,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,XY-UM2X-TPS3,A31WWR0DZ1UNBI,1,1,9.99,9.99,9.99,9.99,9.99,,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,XY-UM2X-TPS3,AWANDGFK915DA,1,2,9.99,9.99,9.99,9.99,9.99,,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,XY-UM2X-TPS3,A1JBSHTRJ4VCVO,1,3,9.99,10.25,10.25,10.25,10.25,0.26,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,XY-UM2X-TPS3,A3HM7WA2CBSOPA,1,4,9.99,10.92,10.92,10.92,10.92,0.93,4.00,0,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,XY-UM2X-TPS3,A2F2QWF9KOYS5K,1,5,9.99,10.99,10.99,10.99,10.99,1.00,1.00,0,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,YC-3L3M-BV48,AQ20HDTW7QNBM,1,1,79.00,79.00,79.00,79.00,79.00,,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
