seller_sku,inventory_available,inventory_available_effective,inventory_unsellable,inventory_researching,inventory_inbound_shipped,inventory_inbound_receiving,inventory_inbound_total,inventory_total,token_total,token_available,token_unsellable,token_research_pending,token_returned_pending,token_ordered,token_warehouse,token_allocated,sold_qty,refunded_qty,net_sold_qty,expected_token_total,token_total_effective,expected_token_total_effective,delta_available,delta_unsellable,delta_researching,delta_total,delta_total_effective,updated_at
02-7AZG-O0CV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
03-7TNF-U2A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
04-FYSA-YCV0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
04-PU0K-EVHU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
05-CH74-4EW3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
06-6WC0-UGFH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
08-3ABG-PL11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
09-CZ59-Q6OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
0A-HHXO-QF32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
0B-IC3D-6S96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
0B-KZD0-FZB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
0B-OUCV-UQE9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
0C-AOG2-B23Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
0D-0039-WEPJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
0F-MLCO-206G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
0G-0234-E9NG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
0G-JB6S-PN34,122,122,0,0,0,0,0,122,148,122,0,0,0,0,0,26,26,0,26,148,148,148,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
0H-5V53-GPG4,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,46,46,4,42,42,46,42,0,0,0,4,4,2026-01-30T13:09:49.217287+00:00
0K-6BX5-D5AH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
0N-JV0B-5UNV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
0N-VZG5-JH06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
0N-X5KF-213D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
0O-KL3Z-ZTQ9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
0Q-F5R3-333E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
0R-31MX-8MNY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
0R-GRRH-W0Z9,6,6,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
0T-2B9X-7G65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
0T-LQK2-KFCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
0W-VJRK-9VCG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
0X-VJWI-4OT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
0Z-Y60V-499R,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,3,3,3,3,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
10-JQEP-V8I7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
10-KNVB-4BRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
10-PGVO-YV15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
12-3VTE-5T3Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
12-749B-9EB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
16-5NE0-75DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
18-WD7G-J8U4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
1A-S381-J09C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
1B-X7OV-DC22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
1C-WYGV-IW8O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
1D-E3I8-TUK8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
1I-68NK-QBN0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
1L-X5VM-8E2W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
1P-BRGG-P0N6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
1Q-OTO8-JG8E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
1S-ZFUI-RE1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
1U-1W76-M840,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,2026-01-30T13:09:49.217287+00:00
1U-YF3T-TR74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
1V-9D9W-WOZP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
1W-8WI9-7AUU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
2G-AYBQ-TUQG,8,8,0,0,0,0,0,8,15,8,0,0,0,0,0,7,7,0,7,15,15,15,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
2L-M26G-560I,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,3,3,3,3,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
2U-4KLP-68HB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
2X-8XI7-C9T5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
3B-3H3V-Z93T,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,39,39,0,39,39,39,39,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
3C-5W5L-CT0T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
3E-62Y1-WPYU,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
3E-KHO2-YIAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
3N-WGU4-MT5X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
3Q-8PJ1-BLBC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
3Q-JVVB-BIT7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
3T-6QPR-E2MV,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,22,22,0,22,22,22,22,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
3X-EXDD-TD2K,6,6,1,0,0,0,0,6,27,6,0,0,0,0,0,21,21,6,15,21,27,22,0,-1,0,6,5,2026-01-30T13:09:49.217287+00:00
3Z-03PB-Q1A8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
3Z-45IC-N1H4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
49-4UKW-G81R,7,7,0,0,0,0,0,7,60,7,0,0,0,0,0,53,53,0,53,60,60,60,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
4B-HMJG-PHW4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
4D-BI2L-5PZ8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,5,5,5,5,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
4F-HT42-FD26,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,31,31,0,31,31,31,31,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
4F-I024-EY2R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
4J-IY7T-6LBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
4U-9ZL6-9G0Y,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
4U-XT39-AMUJ,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,4,4,4,4,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
4V-19KJ-15J4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
4W-VS57-BV6A,21,21,0,0,0,0,0,21,27,21,0,0,0,0,0,6,6,0,6,27,27,27,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
51-79LN-GGLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
52-BC73-O7B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
5H-EJ59-AZPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
5M-QO6K-LNH0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,1,2,2,3,2,0,0,0,1,1,2026-01-30T13:09:49.217287+00:00
5Q-LUQ1-L14K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
5Z-6Z0P-9TQQ,12,12,0,0,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,12,12,12,0,0,0,0,0,2026-01-30T13:09:49.217287+00:00
