type,sku,delta_available,delta_unsellable,delta_total,token_id,age_days
recon_mismatch,C6-XGZB-J6QA,-24.0,0.0,-30.0,,
recon_mismatch,6V-EEC1-2S9Z,0.0,0.0,16.0,,
recon_mismatch,R7-98IN-2PW8,0.0,-1.0,14.0,,
recon_mismatch,WX-L5UA-UB1Q,-1.0,0.0,11.0,,
recon_mismatch,W3-8FN7-FSP0,-9.0,0.0,-10.0,,
recon_mismatch,LP-QMNJ-J49G,-9.0,0.0,-10.0,,
recon_mismatch,8U-QPFH-3EKQ,0.0,0.0,-8.0,,
recon_mismatch,3X-EXDD-TD2K,0.0,-1.0,6.0,,
recon_mismatch,NN-TSZ1-X2RD,2.0,0.0,6.0,,
recon_mismatch,DC-K5WH-R7F5,1.0,0.0,5.0,,
recon_mismatch,TU-8I14-25ZR,0.0,0.0,4.0,,
recon_mismatch,XH-0LAE-FQO5,-23.0,0.0,4.0,,
recon_mismatch,A2-T2AC-TW3L,1.0,0.0,4.0,,
recon_mismatch,H4-86XG-NLX6,0.0,0.0,4.0,,
recon_mismatch,MW-9K5M-VKW8,0.0,-2.0,4.0,,
recon_mismatch,0H-5V53-GPG4,0.0,0.0,4.0,,
recon_mismatch,IB-U5FA-BO2Y,0.0,-1.0,4.0,,
recon_mismatch,G8-L8EI-INMK,0.0,0.0,3.0,,
recon_mismatch,Z7-26PV-O9LR,-1.0,0.0,3.0,,
recon_mismatch,VF-3T0K-DR5O,0.0,0.0,3.0,,
returned_pending_aging,RB-82FL-T88J,,,,RB-82FL-T88J-232025-row394-0014,50.0
returned_pending_aging,R7-98IN-2PW8,,,,R7-98IN-2PW8-090925-row857-0030,25.0
returned_pending_aging,R7-98IN-2PW8,,,,R7-98IN-2PW8-090925-row857-0031,28.0
returned_pending_aging,R7-98IN-2PW8,,,,R7-98IN-2PW8-090925-row857-0044,12.0
returned_pending_aging,R7-98IN-2PW8,,,,R7-98IN-2PW8-090925-row857-0045,11.0
returned_pending_aging,XY-UM2X-TPS3,,,,XY-UM2X-TPS3-140525-row687-0022,39.0
returned_pending_aging,MY-KL21-NMV5,,,,MY-KL21-NMV5-10212024-row217-0004,53.0
returned_pending_aging,EV-CHU5-XU3G,,,,EV-CHU5-XU3G-061025-row881-0053,45.0
returned_pending_aging,EV-CHU5-XU3G,,,,EV-CHU5-XU3G-061025-row881-0172,16.0
returned_pending_aging,GH-PONH-K4WQ,,,,GH-PONH-K4WQ-061025-row883-0013,13.0
returned_pending_aging,F7-PMJ2-SG6A,,,,F7-PMJ2-SG6A-061025-row885-0068,39.0
returned_pending_aging,TU-8I14-25ZR,,,,TU-8I14-25ZR-061025-row882-0080,31.0
returned_pending_aging,JL-VTP2-JF3Q,,,,JL-VTP2-JF3Q-3252025-row551-0007,56.0
returned_pending_aging,KI-CR51-18J3,,,,KI-CR51-18J3-3252025-row547-0004,41.0
returned_pending_aging,AX-NKNU-29C1,,,,AX-NKNU-29C1-140425-row586-0037,55.0
returned_pending_aging,AX-NKNU-29C1,,,,AX-NKNU-29C1-140425-row586-0038,55.0
returned_pending_aging,AX-NKNU-29C1,,,,AX-NKNU-29C1-140425-row586-0048,15.0
returned_pending_aging,MW-9K5M-VKW8,,,,MW-9K5M-VKW8-061025-row898-0061,21.0
returned_pending_aging,MW-9K5M-VKW8,,,,MW-9K5M-VKW8-061025-row898-0070,24.0
returned_pending_aging,IB-U5FA-BO2Y,,,,IB-U5FA-BO2Y-061025-row907-0005,42.0
returned_pending_aging,IB-U5FA-BO2Y,,,,IB-U5FA-BO2Y-061025-row907-0006,42.0
returned_pending_aging,DC-K5WH-R7F5,,,,DC-K5WH-R7F5-101125-row934-0179,55.0
returned_pending_aging,DC-K5WH-R7F5,,,,DC-K5WH-R7F5-101125-row934-0180,55.0
returned_pending_aging,DC-K5WH-R7F5,,,,DC-K5WH-R7F5-101125-row934-0181,55.0
returned_pending_aging,DC-K5WH-R7F5,,,,DC-K5WH-R7F5-101125-row934-0278,37.0
returned_pending_aging,DC-K5WH-R7F5,,,,DC-K5WH-R7F5-101125-row934-0365,16.0
returned_pending_aging,DC-K5WH-R7F5,,,,DC-K5WH-R7F5-101125-row934-0380,12.0
returned_pending_aging,Z3-ORV9-K8XD,,,,Z3-ORV9-K8XD-050525-row646-0008,62.0
returned_pending_aging,BQ-O3OI-FTJU,,,,BQ-O3OI-FTJU-30824-row34-0030,37.0
returned_pending_aging,SR-6OBB-WC03,,,,SR-6OBB-WC03-250825-row819-0056,45.0
returned_pending_aging,SR-6OBB-WC03,,,,SR-6OBB-WC03-250825-row819-0099,10.0
returned_pending_aging,SU-JM8R-2U82,,,,SU-JM8R-2U82-1022024-row113-0002,63.0
returned_pending_aging,CX-SMCH-4DYA,,,,CX-SMCH-4DYA-230625-row769-0003,61.0
