order_id,asin,sku,posted_date,transaction_type,amount_type,is_fee,amount,currency,tax_amount,tax_currency,tax_present
026-3568305-7635556,,G8-L8EI-INMK,2025-11-04T19:24:49Z,Refund,Refund_Tax,False,-1.0,GBP,,,False
026-3568305-7635556,,G8-L8EI-INMK,2025-11-04T19:24:49Z,Refund,Refund_Principal,False,-4.99,GBP,,,False
026-3568305-7635556,,G8-L8EI-INMK,2025-11-04T19:24:49Z,Refund,Refund_Commission,True,0.57,GBP,,,False
026-3568305-7635556,,G8-L8EI-INMK,2025-11-04T19:24:49Z,Refund,Refund_FixedClosingFee,True,,GBP,,,False
026-3568305-7635556,,G8-L8EI-INMK,2025-11-04T19:24:49Z,Refund,Refund_GiftwrapChargeback,True,,GBP,,,False
026-3568305-7635556,,G8-L8EI-INMK,2025-11-04T19:24:49Z,Refund,Refund_RefundCommission,True,-0.12,GBP,,,False
026-3568305-7635556,,G8-L8EI-INMK,2025-11-04T19:24:49Z,Refund,Refund_ShippingChargeback,True,,GBP,,,False
026-3568305-7635556,,G8-L8EI-INMK,2025-11-04T19:24:49Z,Refund,Refund_VariableClosingFee,True,,GBP,,,False
026-3568305-7635556,,G8-L8EI-INMK,2025-11-04T19:24:49Z,Refund,Refund_DigitalServicesFee,True,0.01,GBP,,,False
026-6701783-5260316,,3X-EXDD-TD2K,2025-11-06T20:20:13Z,Refund,Refund_Tax,False,-7.5,GBP,,,False
026-6701783-5260316,,3X-EXDD-TD2K,2025-11-06T20:20:13Z,Refund,Refund_ShippingTax,False,-0.13,GBP,,,False
026-6701783-5260316,,3X-EXDD-TD2K,2025-11-06T20:20:13Z,Refund,Refund_ShippingCharge,False,-0.62,GBP,,,False
026-6701783-5260316,,3X-EXDD-TD2K,2025-11-06T20:20:13Z,Refund,Refund_Principal,False,-37.47,GBP,,,False
026-6701783-5260316,,3X-EXDD-TD2K,2025-11-06T20:20:13Z,Refund,Refund_Commission,True,8.1,GBP,,,False
026-6701783-5260316,,3X-EXDD-TD2K,2025-11-06T20:20:13Z,Refund,Refund_FixedClosingFee,True,,GBP,,,False
026-6701783-5260316,,3X-EXDD-TD2K,2025-11-06T20:20:13Z,Refund,Refund_GiftwrapChargeback,True,,GBP,,,False
026-6701783-5260316,,3X-EXDD-TD2K,2025-11-06T20:20:13Z,Refund,Refund_RefundCommission,True,-1.62,GBP,,,False
026-6701783-5260316,,3X-EXDD-TD2K,2025-11-06T20:20:13Z,Refund,Refund_ShippingChargeback,True,,GBP,,,False
026-6701783-5260316,,3X-EXDD-TD2K,2025-11-06T20:20:13Z,Refund,Refund_VariableClosingFee,True,,GBP,,,False
026-6701783-5260316,,3X-EXDD-TD2K,2025-11-06T20:20:13Z,Refund,Refund_DigitalServicesFee,True,0.16,GBP,,,False
206-9193877-3592366,,XE-YPAI-HX9F,2025-11-07T02:22:48Z,Refund,Refund_Tax,False,-1.67,GBP,,,False
206-9193877-3592366,,XE-YPAI-HX9F,2025-11-07T02:22:48Z,Refund,Refund_Principal,False,-8.33,GBP,,,False
206-9193877-3592366,,XE-YPAI-HX9F,2025-11-07T02:22:48Z,Refund,Refund_Commission,True,0.96,GBP,,,False
206-9193877-3592366,,XE-YPAI-HX9F,2025-11-07T02:22:48Z,Refund,Refund_FixedClosingFee,True,,GBP,,,False
206-9193877-3592366,,XE-YPAI-HX9F,2025-11-07T02:22:48Z,Refund,Refund_GiftwrapChargeback,True,,GBP,,,False
206-9193877-3592366,,XE-YPAI-HX9F,2025-11-07T02:22:48Z,Refund,Refund_RefundCommission,True,-0.19,GBP,,,False
206-9193877-3592366,,XE-YPAI-HX9F,2025-11-07T02:22:48Z,Refund,Refund_ShippingChargeback,True,,GBP,,,False
206-9193877-3592366,,XE-YPAI-HX9F,2025-11-07T02:22:48Z,Refund,Refund_VariableClosingFee,True,,GBP,,,False
206-9193877-3592366,,XE-YPAI-HX9F,2025-11-07T02:22:48Z,Refund,Refund_DigitalServicesFee,True,0.02,GBP,,,False
205-1327653-0650741,,6V-EEC1-2S9Z,2025-11-07T15:49:55Z,Refund,Refund_Tax,False,-1.13,GBP,,,False
205-1327653-0650741,,6V-EEC1-2S9Z,2025-11-07T15:49:55Z,Refund,Refund_Principal,False,-5.67,GBP,,,False
205-1327653-0650741,,6V-EEC1-2S9Z,2025-11-07T15:49:55Z,Refund,Refund_Commission,True,1.05,GBP,,,False
205-1327653-0650741,,6V-EEC1-2S9Z,2025-11-07T15:49:55Z,Refund,Refund_FixedClosingFee,True,,GBP,,,False
205-1327653-0650741,,6V-EEC1-2S9Z,2025-11-07T15:49:55Z,Refund,Refund_GiftwrapChargeback,True,,GBP,,,False
205-1327653-0650741,,6V-EEC1-2S9Z,2025-11-07T15:49:55Z,Refund,Refund_RefundCommission,True,-0.22,GBP,,,False
205-1327653-0650741,,6V-EEC1-2S9Z,2025-11-07T15:49:55Z,Refund,Refund_ShippingChargeback,True,,GBP,,,False
205-1327653-0650741,,6V-EEC1-2S9Z,2025-11-07T15:49:55Z,Refund,Refund_VariableClosingFee,True,,GBP,,,False
205-1327653-0650741,,6V-EEC1-2S9Z,2025-11-07T15:49:55Z,Refund,Refund_DigitalServicesFee,True,0.02,GBP,,,False
