timestamp_utc,asof_date,marketplace,sku,asin,seller_id,seller_seen_flag,offer_price_gbp,offer_shipping_price_gbp,offer_landed_price_gbp,is_prime,fulfilment_channel,min_delivery_days,max_delivery_days,delivery_range_days,source,notes,seller_detail_status,seller_detail_attempted_flag,seller_detail_offer_row_count,seller_detail_snapshot_ts_utc,seller_detail_resolution_status,seller_detail_retry_attempt_count,seller_detail_rotation_skip_count,seller_detail_empty_response_count,seller_detail_api_error_count,seller_detail_force_attempt_flag,seller_detail_retry_exhausted_flag,seller_detail_operator_reason,retry_next_run_flag
2026-02-07T00:00:00Z,2026-02-07,UK,VF-3T0K-DR5O,B08KFFY86W,A2MSCEFUU7IF9P,1,4.85,,,1,FBA,0,0,0,SPAPI,,,,,,,,,,,,,,
2026-02-07T00:00:00Z,2026-02-07,UK,VF-3T0K-DR5O,B08KFFY86W,A1PDJFYGLPZ86M,1,4.88,,,1,FBA,0,0,0,SPAPI,,,,,,,,,,,,,,
2026-02-07T00:00:00Z,2026-02-07,UK,VF-3T0K-DR5O,B08KFFY86W,A21NMD767VKPKA,1,4.89,,,1,FBA,0,0,0,SPAPI,,,,,,,,,,,,,,
2026-02-07T00:00:00Z,2026-02-07,UK,VF-3T0K-DR5O,B08KFFY86W,A1EGWKJ2C3AMWH,1,5.05,,,1,FBA,0,0,0,SPAPI,,,,,,,,,,,,,,
2026-02-07T00:00:00Z,2026-02-07,UK,VF-3T0K-DR5O,B08KFFY86W,A2YMCJJAZ04D29,1,5.05,,,1,FBA,0,0,0,SPAPI,,,,,,,,,,,,,,
2026-02-07T00:00:00Z,2026-02-07,UK,VF-3T0K-DR5O,B08KFFY86W,A2E1OBJJDHI305,1,5.14,,,0,FBM,1,1,0,SPAPI,,,,,,,,,,,,,,
2026-02-07T00:00:00Z,2026-02-07,UK,VF-3T0K-DR5O,B08KFFY86W,A328TDCKZBQUHR,1,5.15,,,1,FBA,0,1,1,SPAPI,,,,,,,,,,,,,,
2026-02-07T00:00:00Z,2026-02-07,UK,VF-3T0K-DR5O,B08KFFY86W,A31WWR0DZ1UNBI,1,5.24,,,1,FBA,0,0,0,SPAPI,,,,,,,,,,,,,,
2026-02-07T00:00:00Z,2026-02-07,UK,VF-3T0K-DR5O,B08KFFY86W,A3P5ROKL5A1OLE,1,5.29,,,1,FBA,0,0,0,SPAPI,,,,,,,,,,,,,,
2026-02-07T00:00:00Z,2026-02-07,UK,VF-3T0K-DR5O,B08KFFY86W,AB5OM860MS57Z,1,5.35,,,1,FBA,0,0,0,SPAPI,,,,,,,,,,,,,,
