posted_date,transaction_id,transaction_type,breakdown_type,breakdown_amount,breakdown_currency,description,inbound_shipment_id
2026-06-09T18:46:38Z,nJdGP2GI-QK6fAzhm9a641keNzvN6MbqycHay38cW6Q,Shipment,Sales,8.4,GBP,Order Payment,
2026-06-09T18:46:38Z,nJdGP2GI-QK6fAzhm9a641keNzvN6MbqycHay38cW6Q,Shipment,Expenses,-3.33,GBP,Order Payment,
2026-06-09T19:20:26Z,l7ZfeqkfpDPDkYyea60ZlzrD0mPiRasp2RDS_FMWoW8,Shipment,Sales,6.98,GBP,Order Payment,
2026-06-09T19:20:26Z,l7ZfeqkfpDPDkYyea60ZlzrD0mPiRasp2RDS_FMWoW8,Shipment,Expenses,-3.07,GBP,Order Payment,
2026-06-09T19:20:56Z,249BQwUIHi9zivR9V4BolQ3s5EBAqcBmx9kPOOnISzs,Shipment,Sales,5.03,GBP,Order Payment,
2026-06-09T19:20:56Z,249BQwUIHi9zivR9V4BolQ3s5EBAqcBmx9kPOOnISzs,Shipment,Expenses,-2.36,GBP,Order Payment,
2026-06-09T19:28:05Z,PBg50UDB6aZdCJecLWEqOgKOzRTKbwZjYVrHuMkgpWc,Shipment,Sales,11.25,GBP,Order Payment,
2026-06-09T19:28:05Z,PBg50UDB6aZdCJecLWEqOgKOzRTKbwZjYVrHuMkgpWc,Shipment,Expenses,-4.92,GBP,Order Payment,
2026-06-09T19:30:01Z,3gj_gvdCV6vStXU0XbdIrliRUIMddq3g6UxFZksSIi4,Shipment,Sales,25.07,GBP,Order Payment,
2026-06-09T19:30:01Z,3gj_gvdCV6vStXU0XbdIrliRUIMddq3g6UxFZksSIi4,Shipment,Expenses,-7.29,GBP,Order Payment,
2026-06-09T19:48:09Z,KuMg7YymcWorThRMSsewZFl_J5lFIjWohm4ojZpB6Js,Shipment,Sales,6.98,GBP,Order Payment,
2026-06-09T19:48:09Z,KuMg7YymcWorThRMSsewZFl_J5lFIjWohm4ojZpB6Js,Shipment,Expenses,-3.13,GBP,Order Payment,
2026-06-09T19:49:18Z,BIqy9BRC6JEuHPAzNnkwf5C0qwiVIUbBFr_sw_zIBcA,Shipment,Sales,13.96,GBP,Order Payment,
2026-06-09T19:49:18Z,BIqy9BRC6JEuHPAzNnkwf5C0qwiVIUbBFr_sw_zIBcA,Shipment,Expenses,-6.14,GBP,Order Payment,
2026-06-09T20:00:43Z,E7_WZ15fBl4ggUWZwc1dJtVJGrahljZTNCvbT9CtS50,Shipment,Sales,27.0,GBP,Order Payment,
2026-06-09T20:00:43Z,E7_WZ15fBl4ggUWZwc1dJtVJGrahljZTNCvbT9CtS50,Shipment,Expenses,-8.4,GBP,Order Payment,
2026-06-09T20:07:32Z,zVzTJarH3r7Khphk-Ow-nxqXsvdp5GilTSr6TDnkRBY,Shipment,Sales,16.8,GBP,Order Payment,
2026-06-09T20:07:32Z,zVzTJarH3r7Khphk-Ow-nxqXsvdp5GilTSr6TDnkRBY,Shipment,Expenses,-6.57,GBP,Order Payment,
