order_id,posted_date,settlement_id,amount_type,amount,currency,transaction_type,amount_description,is_estimate,data_level,price_source,raw_json
202-6994178-6437922,2025-12-09T22:36:43Z,,ShippingCharge,0.71,GBP,Estimated,Estimated shipping charge,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.388653+00:00"",""order_id"":""202-6994178-6437922"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""ShippingCharge""}"
202-6994178-6437922,2025-12-09T22:36:43Z,,ShippingChargeback,-0.71,GBP,Estimated,Estimated shipping rebate,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.388653+00:00"",""order_id"":""202-6994178-6437922"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""ShippingChargeback""}"
202-6994178-6437922,2025-12-09T22:36:43Z,,ShippingTax,0.12,GBP,Estimated,Estimated shipping tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.388653+00:00"",""order_id"":""202-6994178-6437922"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""ShippingTax""}"
202-6994178-6437922,2025-12-09T22:36:43Z,,ShippingTaxChargeback,-0.12,GBP,Estimated,Estimated shipping tax rebate,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.388653+00:00"",""order_id"":""202-6994178-6437922"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""ShippingTaxChargeback""}"
026-8466505-0736313,2025-12-10T03:22:29Z,,Principal,2.97,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.388653+00:00"",""order_id"":""026-8466505-0736313"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
026-8466505-0736313,2025-12-10T03:22:29Z,,Tax,0.5,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.388653+00:00"",""order_id"":""026-8466505-0736313"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
205-9049267-6510751,2025-12-10T12:21:00Z,,Principal,5.98,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.388653+00:00"",""order_id"":""205-9049267-6510751"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
205-9049267-6510751,2025-12-10T12:21:00Z,,Tax,1.0,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.388653+00:00"",""order_id"":""205-9049267-6510751"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
204-5309691-2987548,2025-12-10T10:43:30Z,,Principal,2.97,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.389652+00:00"",""order_id"":""204-5309691-2987548"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
204-5309691-2987548,2025-12-10T10:43:30Z,,Tax,0.5,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.389652+00:00"",""order_id"":""204-5309691-2987548"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
205-2116710-0606701,2025-12-09T13:45:07Z,,Principal,6.7,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.389652+00:00"",""order_id"":""205-2116710-0606701"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
205-2116710-0606701,2025-12-09T13:45:07Z,,Tax,1.12,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.389652+00:00"",""order_id"":""205-2116710-0606701"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
203-0053532-5335521,2025-12-09T23:12:06Z,,Principal,6.2,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.390653+00:00"",""order_id"":""203-0053532-5335521"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
203-0053532-5335521,2025-12-09T23:12:06Z,,Tax,1.03,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.390653+00:00"",""order_id"":""203-0053532-5335521"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
203-4097026-3817909,2025-12-10T13:01:52Z,,Principal,6.42,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.390653+00:00"",""order_id"":""203-4097026-3817909"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
203-4097026-3817909,2025-12-10T13:01:52Z,,Tax,1.07,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.390653+00:00"",""order_id"":""203-4097026-3817909"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
202-7588157-0544311,2025-12-09T16:56:18Z,,Principal,10.99,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.391652+00:00"",""order_id"":""202-7588157-0544311"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
