seller_sku,asin,cpt_gbp,cpt_status,cpt_last_refresh_utc,cpt_error_summary
4W-VS57-BV6A,B0C9LJNJWZ,35.00,OK,2026-02-14T14:06:21Z,
6V-EEC1-2S9Z,B06WW79DX5,,ERROR,2026-02-14T14:06:31Z,http_429
AX-NKNU-29C1,B08M52B4M5,1.15,OK,2026-02-14T14:06:48Z,
JB-RGB6-LZOJ,B0001P0DLU,,ERROR,2026-02-14T14:07:05Z,http_429
VF-3T0K-DR5O,B08KFFY86W,5.29,OK,2026-02-14T14:07:22Z,
XH-0LAE-FQO5,B00AOES9GE,,ERROR,2026-02-14T14:07:34Z,http_429
XY-UM2X-TPS3,B003VTZAM0,10.85,OK,2026-02-14T14:07:52Z,
YC-3L3M-BV48,B0CTD6Q6KY,,ERROR,2026-02-14T14:08:04Z,http_429
