Order ID,cogs_exvat,qty,sb_cogs,sb_qty,cogs_diff,qty_diff,abs_diff
026-6913307-1715501,-2.73,1,-2.46,1.0,-0.27,0.0,0.27
203-4763592-6333920,-2.73,1,-2.46,1.0,-0.27,0.0,0.27
203-8381898-2659535,-2.73,1,-2.46,1.0,-0.27,0.0,0.27
205-9979731-9513929,-2.73,1,-2.46,1.0,-0.27,0.0,0.27
202-0163562-6882721,-4.44,1,-4.3,1.0,-0.14000000000000057,0.0,0.14000000000000057
206-7207471-8289903,-4.44,1,-4.3,1.0,-0.14000000000000057,0.0,0.14000000000000057
204-9395592-8498701,-4.44,1,-4.3,1.0,-0.14000000000000057,0.0,0.14000000000000057
202-0316846-4033959,-4.44,1,-4.3,1.0,-0.14000000000000057,0.0,0.14000000000000057
204-5110114-7020348,-4.44,1,-4.3,1.0,-0.14000000000000057,0.0,0.14000000000000057
026-8563039-1840362,-4.44,1,-4.3,1.0,-0.14000000000000057,0.0,0.14000000000000057
026-9762495-0064333,-2.25,1,-2.25,1.0,0.0,0.0,0.0
202-3373455-3385164,-2.19,1,-2.19,1.0,0.0,0.0,0.0
026-2835431-4003514,-0.68,1,-0.68,1.0,0.0,0.0,0.0
026-0698469-9353960,-2.25,1,-2.25,1.0,0.0,0.0,0.0
026-7958218-8920369,0.0,0,,,0.0,0.0,0.0
026-5313246-8599533,-2.25,1,-2.25,1.0,0.0,0.0,0.0
026-9424504-4957967,-20.51,1,-20.51,1.0,0.0,0.0,0.0
026-4398509-3197117,-2.19,1,-2.19,1.0,0.0,0.0,0.0
203-2356632-3105919,-2.19,1,-2.19,1.0,0.0,0.0,0.0
202-8895078-2724346,-2.25,1,-2.25,1.0,0.0,0.0,0.0
202-7925719-5142763,-2.42,1,-2.42,1.0,0.0,0.0,0.0
202-7815713-6541940,-2.25,1,-2.25,1.0,0.0,0.0,0.0
202-7434904-0586728,-2.25,1,-2.25,1.0,0.0,0.0,0.0
202-7322617-9563537,-2.19,1,-2.19,1.0,0.0,0.0,0.0
203-5551125-1557926,-1.72,1,-1.72,1.0,0.0,0.0,0.0
203-5895207-3495524,-2.25,1,-2.25,1.0,0.0,0.0,0.0
204-3764574-1853903,-2.19,1,-2.19,1.0,0.0,0.0,0.0
204-0718203-8947547,0.0,0,,,0.0,0.0,0.0
204-6398425-2686723,-1.72,1,-1.72,1.0,0.0,0.0,0.0
204-6220941-7393909,-1.72,1,-1.72,1.0,0.0,0.0,0.0
204-7473730-8647512,-2.25,1,-2.25,1.0,0.0,0.0,0.0
204-7553228-2684351,-2.25,1,-2.25,1.0,0.0,0.0,0.0
203-3784865-8868353,-2.25,1,-2.25,1.0,0.0,0.0,0.0
203-3755986-8779530,-2.25,1,-2.25,1.0,0.0,0.0,0.0
204-8509333-1419566,-1.72,1,-1.72,1.0,0.0,0.0,0.0
204-8122313-4281919,-2.25,1,-2.25,1.0,0.0,0.0,0.0
205-0291358-9417951,-6.08,2,-6.08,2.0,0.0,0.0,0.0
204-9658283-5620365,-4.5,2,-4.5,2.0,0.0,0.0,0.0
205-4179902-1289924,-1.72,1,-1.72,1.0,0.0,0.0,0.0
205-7112528-8351519,-1.72,1,-1.72,1.0,0.0,0.0,0.0
205-7643303-3324362,-2.25,1,-2.25,1.0,0.0,0.0,0.0
204-9879523-5781124,-4.58,1,-4.58,1.0,0.0,0.0,0.0
205-9658159-4177914,-1.72,1,-1.72,1.0,0.0,0.0,0.0
206-0647215-7566760,-3.33,1,-3.33,1.0,0.0,0.0,0.0
206-4495253-2835556,-2.25,1,-2.25,1.0,0.0,0.0,0.0
206-4646853-8024367,-2.19,1,-2.19,1.0,0.0,0.0,0.0
206-9537384-7986709,-1.72,1,-1.72,1.0,0.0,0.0,0.0
404-4880052-9365131,-12.67,1,-12.67,1.0,0.0,0.0,0.0
405-3654800-4548357,-12.67,1,-12.67,1.0,0.0,0.0,0.0
408-6032581-8743553,-1.36,2,-1.36,2.0,0.0,0.0,0.0
