inbound_shipment_id,sku,expected_qty,received_qty,in_flight_qty,status,updated_at_utc,mature_on_utc,is_mature
FBA15KTYHQ71,DC-K5WH-R7F5,1,1,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15L1PWF0V,VF-3T0K-DR5O,-4,-4,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15L21ZCFP,WX-L5UA-UB1Q,1,1,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15L36T2CC,DC-K5WH-R7F5,-154,-154,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15L6K9B1T,6V-EEC1-2S9Z,250,250,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15L78M9QR,6V-EEC1-2S9Z,250,250,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15L79JTG7,A2-T2AC-TW3L,94,94,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15L7SCQ0S,SU-5LQH-2DVN,75,75,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15L7T1K53,3X-EXDD-TD2K,13,141,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15L7T1K53,8U-QPFH-3EKQ,4,141,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15L7T1K53,DV-USYD-8WR2,1,141,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15L7T1K53,IB-U5FA-BO2Y,4,141,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15L7T1K53,NN-TSZ1-X2RD,94,141,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15L7T1K53,XE-YPAI-HX9F,24,141,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
FBA15L7T1K53,ZT-QPY3-P24I,1,141,0,complete,2026-03-12 11:13:14.308476+00:00,2026-03-26 11:13:14.308476+00:00,False
