snapshot_file,asof_date,marketplace,sku,seller_id,offers_seen,rank_by_landed_price,best_landed_price_gbp,seller_landed_price_latest_gbp,seller_landed_price_min_gbp,seller_landed_price_max_gbp,seller_landed_price_median_gbp,gap_to_best_landed_gbp,min_delivery_days,prime_seen_flag,tier,tier_reason,source
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,6V-EEC1-2S9Z,AB5OM860MS57Z,1,1,6.97,6.97,6.97,6.97,6.97,,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,6V-EEC1-2S9Z,A11RGASXV3EWM4,3,2,6.97,8.49,8.40,8.49,8.40,1.52,,0,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,6V-EEC1-2S9Z,A1UHI79WF0S8P4,1,3,6.97,8.79,8.79,8.79,8.79,1.82,1.00,0,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,6V-EEC1-2S9Z,AM6QF58KGUUM9,2,4,6.97,9.02,8.91,9.02,8.96,2.05,,0,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,6V-EEC1-2S9Z,AF7SFPZODQXB4,1,5,6.97,9.04,9.04,9.04,9.04,2.07,1.00,0,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,6V-EEC1-2S9Z,A3U2X3GFET2F9D,1,6,6.97,9.99,9.99,9.99,9.99,3.02,,0,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,6V-EEC1-2S9Z,AH9CERPVAQVPQ,1,7,6.97,9.99,9.99,9.99,9.99,3.02,1.00,0,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,6V-EEC1-2S9Z,A12MJ1FK852SYB,2,8,6.97,10.39,6.98,10.39,8.69,3.42,,1,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,6V-EEC1-2S9Z,ATUCW8T149Y55,1,9,6.97,17.98,17.98,17.98,17.98,11.01,1.00,0,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,VF-3T0K-DR5O,A1SK95XB6LRO2K,2,1,4.78,4.78,4.78,4.78,4.78,,,0,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,VF-3T0K-DR5O,A2YMCJJAZ04D29,2,10,4.78,5.05,4.89,5.05,4.97,0.27,,1,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,VF-3T0K-DR5O,A328TDCKZBQUHR,1,11,4.78,5.15,5.15,5.15,5.15,0.37,,1,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,VF-3T0K-DR5O,AWDEFA1PV5DF7,1,12,4.78,6.50,6.50,6.50,6.50,1.72,,0,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,VF-3T0K-DR5O,A1H3B251NW5F99,1,13,4.78,7.49,7.49,7.49,7.49,2.71,,0,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,VF-3T0K-DR5O,A3P5ROKL5A1OLE,2,2,4.78,4.79,4.79,4.79,4.79,0.01,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,VF-3T0K-DR5O,A2V6U7OVTWHOIQ,1,3,4.78,4.82,4.82,4.82,4.82,0.04,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,VF-3T0K-DR5O,A1PDJFYGLPZ86M,1,4,4.78,4.84,4.84,4.84,4.84,0.06,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,VF-3T0K-DR5O,A2GHOPP670QLBT,1,5,4.78,4.98,4.98,4.98,4.98,0.20,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,VF-3T0K-DR5O,A21NMD767VKPKA,1,6,4.78,4.99,4.99,4.99,4.99,0.21,,1,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,VF-3T0K-DR5O,A31WWR0DZ1UNBI,1,7,4.78,5.00,5.00,5.00,5.00,0.22,,1,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,VF-3T0K-DR5O,A1EGWKJ2C3AMWH,1,8,4.78,5.03,5.03,5.03,5.03,0.25,,1,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,VF-3T0K-DR5O,AB5OM860MS57Z,1,9,4.78,5.03,5.03,5.03,5.03,0.25,,1,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,XY-UM2X-TPS3,A31WWR0DZ1UNBI,1,1,9.54,9.54,9.54,9.54,9.54,,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,XY-UM2X-TPS3,A1PHPZYBEHC5HP,1,10,9.54,12.75,12.75,12.75,12.75,3.21,1.00,0,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,XY-UM2X-TPS3,A26DO76QVK1JFR,1,11,9.54,12.99,12.99,12.99,12.99,3.45,,1,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,XY-UM2X-TPS3,ATUCW8T149Y55,1,12,9.54,19.98,19.98,19.98,19.98,10.44,1.00,0,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,XY-UM2X-TPS3,AWANDGFK915DA,1,2,9.54,9.59,9.59,9.59,9.59,0.05,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,XY-UM2X-TPS3,A2F2QWF9KOYS5K,1,3,9.54,10.99,10.99,10.99,10.99,1.45,1.00,0,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,XY-UM2X-TPS3,A2I9GFK5QTOYYM,1,4,9.54,11.44,11.44,11.44,11.44,1.90,,1,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,XY-UM2X-TPS3,A39VTM0CZSRJZA,1,5,9.54,11.49,11.49,11.49,11.49,1.95,,0,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,XY-UM2X-TPS3,AHND7IKI8FHV3,1,6,9.54,11.54,11.54,11.54,11.54,2.00,1.00,0,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,XY-UM2X-TPS3,A31LES58YOQ58B,1,7,9.54,11.60,11.60,11.60,11.60,2.06,,1,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,XY-UM2X-TPS3,A292BGT65ET8F0,1,8,9.54,11.70,11.70,11.70,11.70,2.16,1.00,0,background_basic,outside_soi_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_latest.csv,2026-06-10,UK,XY-UM2X-TPS3,AB5OM860MS57Z,1,9,9.54,11.83,11.83,11.83,11.83,2.29,,1,background_basic,outside_soi_gate,run_H_pricing_cycle
