seller_sku,net_demand,stock_needed,target_tokens,tokens_created,orders_allocated,stock_shortfall,order_shortfall,status,updated_at
H4-86XG-NLX6,21,0,21,21,21,0,0,ok,2026-01-24T18:03:04Z
H6-E7MP-EBPD,2,25,27,27,2,0,0,ok,2026-01-24T18:03:04Z
HL-03ZR-QPHH,1,4,5,5,1,0,0,ok,2026-01-24T18:03:04Z
HO-LSOY-8R05,0,3,3,3,0,0,0,ok,2026-01-24T18:03:04Z
HS-R5IP-7E1C,0,2,2,2,0,0,0,ok,2026-01-24T18:03:04Z
I2-6YKQ-CIBP,32,0,32,32,32,0,0,ok,2026-01-24T18:03:04Z
IB-U5FA-BO2Y,8,1,9,9,8,0,0,ok,2026-01-24T18:03:04Z
IJ-V0PQ-4CZ4,1,8,9,9,1,0,0,ok,2026-01-24T18:03:04Z
IM-AYXV-79NJ,5,0,5,5,5,0,0,ok,2026-01-24T18:03:04Z
JB-RGB6-LZOJ,10,95,105,105,10,0,0,ok,2026-01-24T18:03:04Z
JH-97NP-GJDG,2,0,2,2,2,0,0,ok,2026-01-24T18:03:04Z
JL-VTP2-JF3Q,7,1,8,8,7,0,0,ok,2026-01-24T18:03:04Z
JV-D1TI-6UF6,35,0,35,35,35,0,0,ok,2026-01-24T18:03:04Z
K0-71JR-UNLF,3,0,3,3,3,0,0,ok,2026-01-24T18:03:04Z
KI-CR51-18J3,6,0,6,6,6,0,0,ok,2026-01-24T18:03:04Z
L1-54EX-56YC,8,22,30,30,8,0,0,ok,2026-01-24T18:03:04Z
L3-ZQ8U-A7LQ,32,55,87,87,32,0,0,ok,2026-01-24T18:03:04Z
L5-PF3B-WHU4,9,13,22,22,9,0,0,ok,2026-01-24T18:03:04Z
LF-X542-9TDZ,5,0,5,5,5,0,0,ok,2026-01-24T18:03:04Z
LR-7GM6-1RCH,4,13,17,17,4,0,0,ok,2026-01-24T18:03:04Z
LV-425G-BY4X,47,0,47,47,47,0,0,ok,2026-01-24T18:03:04Z
M5-71MK-T0DL,1,0,1,1,1,0,0,ok,2026-01-24T18:03:04Z
MF-TPXM-F8AF,1,0,1,1,1,0,0,ok,2026-01-24T18:03:04Z
MW-9K5M-VKW8,100,0,100,100,100,0,0,ok,2026-01-24T18:03:04Z
MY-KL21-NMV5,11,0,11,11,11,0,0,ok,2026-01-24T18:03:04Z
N7-A24N-WJA7,48,0,48,48,48,0,0,ok,2026-01-24T18:03:04Z
NN-TSZ1-X2RD,229,17,246,246,229,0,0,ok,2026-01-24T18:03:04Z
NX-0Q7A-XR6H,6,0,6,6,6,0,0,ok,2026-01-24T18:03:04Z
OV-LVEL-DQL6,2,9,11,11,2,0,0,ok,2026-01-24T18:03:04Z
PE-G94Y-4PYO,11,5,16,16,11,0,0,ok,2026-01-24T18:03:04Z
PY-XV78-3OG5,7,0,7,7,7,0,0,ok,2026-01-24T18:03:04Z
R4-0AXZ-ZZ9D,9,5,14,14,9,0,0,ok,2026-01-24T18:03:04Z
R7-98IN-2PW8,40,50,90,90,40,0,0,ok,2026-01-24T18:03:04Z
RB-82FL-T88J,14,0,14,14,14,0,0,ok,2026-01-24T18:03:04Z
RI-VSUS-0YTD,7,16,23,23,7,0,0,ok,2026-01-24T18:03:04Z
RW-AZK6-O4M2,11,31,42,42,11,0,0,ok,2026-01-24T18:03:04Z
RZ-6ZL9-CZ7J,10,50,60,60,10,0,0,ok,2026-01-24T18:03:04Z
SC-LYFM-ORXK,16,0,16,16,16,0,0,ok,2026-01-24T18:03:04Z
SQ-7QYT-5D5B,11,1,12,12,11,0,0,ok,2026-01-24T18:03:04Z
SR-6OBB-WC03,91,12,103,103,91,0,0,ok,2026-01-24T18:03:04Z
SU-5LQH-2DVN,57,20,77,77,57,0,0,ok,2026-01-24T18:03:04Z
SU-JM8R-2U82,5,0,5,5,5,0,0,ok,2026-01-24T18:03:04Z
T8-6UWL-I3E1,4,69,73,73,4,0,0,ok,2026-01-24T18:03:04Z
TE-Y18U-S2O1,5,0,5,5,5,0,0,ok,2026-01-24T18:03:04Z
TJ-6LOP-OPEU,3,16,19,19,3,0,0,ok,2026-01-24T18:03:04Z
TK-E7QE-T40G,5,17,22,22,5,0,0,ok,2026-01-24T18:03:04Z
TU-8I14-25ZR,95,19,114,114,95,0,0,ok,2026-01-24T18:03:04Z
U1-M5BM-8F5W,9,0,9,9,9,0,0,ok,2026-01-24T18:03:04Z
UL-D0Y8-ZNI5,7,0,7,7,7,0,0,ok,2026-01-24T18:03:04Z
UR-Q7TM-1F3I,3,1,4,4,3,0,0,ok,2026-01-24T18:03:04Z
US-AK96-YFSB,0,3,3,3,0,0,0,ok,2026-01-24T18:03:04Z
VF-3T0K-DR5O,311,489,800,800,311,0,0,ok,2026-01-24T18:03:04Z
VL-48KZ-J3F2,46,0,46,46,46,0,0,ok,2026-01-24T18:03:04Z
VO-A6AR-18YS,2,1,3,3,2,0,0,ok,2026-01-24T18:03:04Z
VU-8KRA-QP5M,39,41,80,80,39,0,0,ok,2026-01-24T18:03:04Z
WE-1Z7L-SA2I,0,39,39,39,0,0,0,ok,2026-01-24T18:03:04Z
WJ-YHKC-EES5,2,1,3,3,2,0,0,ok,2026-01-24T18:03:04Z
WX-L5UA-UB1Q,590,219,809,809,590,0,0,ok,2026-01-24T18:03:04Z
X7-MY4W-H2I4,12,1,13,13,12,0,0,ok,2026-01-24T18:03:04Z
XE-27ZG-EZPZ,2,16,18,18,2,0,0,ok,2026-01-24T18:03:04Z
XE-YPAI-HX9F,85,0,85,85,85,0,0,ok,2026-01-24T18:03:04Z
XG-Z9LW-Z27Q,9,0,9,9,9,0,0,ok,2026-01-24T18:03:04Z
XH-0LAE-FQO5,301,24,325,325,301,0,0,ok,2026-01-24T18:03:04Z
XH-OMMJ-C7MT,7,0,7,7,7,0,0,ok,2026-01-24T18:03:04Z
XY-UM2X-TPS3,26,36,62,62,26,0,0,ok,2026-01-24T18:03:04Z
YC-3L3M-BV48,3,11,14,14,3,0,0,ok,2026-01-24T18:03:04Z
YO-EKK2-FRCC,5,7,12,12,5,0,0,ok,2026-01-24T18:03:04Z
Z3-ORV9-K8XD,195,0,195,195,195,0,0,ok,2026-01-24T18:03:04Z
Z7-26PV-O9LR,145,16,161,161,145,0,0,ok,2026-01-24T18:03:04Z
Z9-FBUQ-EZN3,12,0,12,12,12,0,0,ok,2026-01-24T18:03:04Z
ZI-1MA2-8QGC,5,0,5,5,5,0,0,ok,2026-01-24T18:03:04Z
ZT-QPY3-P24I,0,2,2,2,0,0,0,ok,2026-01-24T18:03:04Z
ZU-PFDN-JSYV,14,0,14,14,14,0,0,ok,2026-01-24T18:03:04Z
ZV-RLOD-Q0JI,10,0,10,10,10,0,0,ok,2026-01-24T18:03:04Z
