timestamp,orphan_count,window_start,window_end,action,earliest_orphan
2026-02-10T10:03:04Z,635,2026-01-27T09:37:47Z,2026-02-10T09:37:47Z,orphans_remain_after_lookback,
2026-02-10T11:20:16Z,635,2026-01-27T09:37:47Z,2026-02-10T09:37:47Z,orphans_remain_after_lookback,
2026-02-10T12:40:55Z,635,2026-01-27T12:18:05Z,2026-02-10T12:18:05Z,b004_failed_after_recovery_rc_1,
2026-02-10T13:44:22Z,635,2026-01-27T13:15:07Z,2026-02-10T13:15:07Z,b004_failed_after_recovery_rc_1,
2026-02-10T14:50:48Z,635,2026-01-27T14:28:41Z,2026-02-10T14:28:41Z,b004_failed_after_recovery_rc_1,
2026-02-10T15:52:29Z,635,2026-01-27T15:28:33Z,2026-02-10T15:28:33Z,b004_failed_after_recovery_rc_1,
2026-02-10T16:37:07Z,635,2026-01-27T16:27:22Z,2026-02-10T16:27:22Z,orphans_remain_after_lookback,
2026-02-10T17:56:10Z,635,2026-01-27T16:44:38Z,2026-02-10T16:44:38Z,b004_failed_after_recovery_rc_1,
2026-02-10T18:57:35Z,635,2026-01-27T17:35:58Z,2026-02-10T17:35:58Z,b004_failed_after_recovery_rc_1,
2026-02-10T19:58:52Z,635,2026-01-27T19:28:10Z,2026-02-10T19:28:10Z,b004_failed_after_recovery_rc_1,
2026-02-10T20:43:07Z,635,2026-01-27T20:35:44Z,2026-02-10T20:35:44Z,orphans_remain_after_lookback,
2026-02-10T22:05:43Z,635,2026-01-27T21:32:14Z,2026-02-10T21:32:14Z,b007_failed_after_recovery_rc_1,
2026-02-10T23:02:30Z,635,2026-01-27T21:32:14Z,2026-02-10T21:32:14Z,b004_failed_after_recovery_rc_1,
2026-02-11T00:03:05Z,635,2026-01-27T23:03:55Z,2026-02-10T23:03:55Z,b004_failed_after_recovery_rc_1,
2026-02-11T01:04:40Z,635,2026-01-27T23:44:57Z,2026-02-10T23:44:57Z,b004_failed_after_recovery_rc_1,
2026-02-11T01:50:19Z,635,2026-01-27T23:44:57Z,2026-02-10T23:44:57Z,orphans_remain_after_lookback,
2026-02-11T03:09:48Z,635,2026-01-27T23:44:57Z,2026-02-10T23:44:57Z,b004_failed_after_recovery_rc_1,
