Parameter/Date,2025-11-01,2025-11-02,2025-11-03,2025-11-04,2025-11-05,2025-11-06,2025-11-07,2025-11-08,2025-11-09,2025-11-10,2025-11-11,2025-11-12,2025-11-13,2025-11-14,2025-11-15,2025-11-16,2025-11-17,2025-11-18,2025-11-19,2025-11-20,2025-11-21,2025-11-22,2025-11-23,2025-11-24,2025-11-25,2025-11-26,2025-11-27,2025-11-28,2025-11-29,2025-11-30,2025-12-01,2025-12-02,2025-12-03,2025-12-04,2025-12-05,2025-12-06,2025-12-07,2025-12-08,2025-12-09,2025-12-10,2025-12-11,2025-12-12,2025-12-13,2025-12-14,2025-12-15,2025-12-16,2025-12-17,2025-12-18,2025-12-19,2025-12-20,2025-12-21,2025-12-22,2025-12-23,2025-12-24,2025-12-25,2025-12-26,2025-12-27,2025-12-28,2025-12-29,2025-12-30,2025-12-31,2026-01-01,2026-01-02,2026-01-03,2026-01-04,2026-01-05,2026-01-06,2026-01-07,2026-01-08,2026-01-09,2026-01-10,2026-01-11,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-17,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25,2026-01-26,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-01-31,2026-02-01,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-07,2026-02-08,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-13,2026-02-14,2026-02-15,2026-02-16,2026-02-17,2026-02-18,Total
Commission_Total,-87.99,-93.82,-77.59,-46.34,-32.03,-60.03,-95.69,-70.83,-61.8,-81.37,-84.38,-126.73,-72.83,-61.81,-62.37,-87.27,-83.19,-127.33,-68.19,-153.68,-139.07,-138.43,-180.58,-164.85,-251.75,-150.56,-282.54,-530.01,-171.81,-157.92,-156.34,-173.96,-161.61,-153.76,-172.16,-168.45,-124.77,-212.05,-177.11,-108.02,-97.29,-95.8,-81.15,-111.66,-121.08,-112.24,-73.8,-116.86,-79.55,-98.31,-102.7,-78.61,-55.24,-60.76,-49.77,-109.83,-141.33,-149.67,-143.01,-100.83,-66.29,-71.5,-107.58,-104.04,-78.58,-117.31,-84.13,-123.12,-68.79,-74.93,-122.81,-74.92,-90.51,-144.22,-114.29,-162.88,-145.25,-127.88,-94.12,-84.82,-92.24,-145.32,-107.55,-103.65,-98.82,-116.12,-79.56,-113.6,-129.41,-138.72,-92.81,-119.2,-82.44,-77.53,-41.96,-45.26,-103.44,-89.44,-95.8,-107.11,-99.12,-46.69,-93.87,-39.56,-64.25,-49.27,-42.01,-29.19,-23.3,0.0,-11915.71
Commission_VAT,-14.65,-15.65,-12.94,-7.75,-5.33,-10.01,-15.98,-11.81,-10.3,-13.6,-14.04,-21.14,-12.15,-10.29,-10.4,-14.54,-13.8,-18.99,-11.3,-25.6,-23.23,-18.41,-30.03,-27.45,-41.96,-25.03,-47.1,-88.25,-28.59,-26.23,-25.96,-28.97,-26.96,-25.65,-28.7,-26.93,-20.79,-35.39,-29.54,-17.81,-16.2,-15.98,-13.61,-18.68,-20.27,-18.7,-12.33,-19.5,-13.29,-16.41,-17.14,-13.17,-9.19,-10.12,-8.29,-18.35,-22.89,-24.97,-23.85,-16.79,-10.97,-11.88,-17.87,-17.22,-13.05,-19.59,-14.01,-20.38,-11.49,-12.49,-20.45,-12.47,-14.53,-23.19,-18.29,-25.94,-24.25,-19.75,-15.58,-13.08,-15.45,-22.91,-17.32,-15.29,-16.52,-19.12,-13.24,-18.93,-21.56,-23.16,-14.8,-19.68,-13.74,-12.94,-6.99,-7.4,-14.41,-14.95,-14.78,-17.07,-15.04,-7.68,-14.28,-6.47,-9.91,-8.22,-7.01,-4.89,-3.91,0.0,-1957.13
Commission_ExVAT,-73.33,-78.17,-64.65,-38.59,-26.7,-50.02,-79.71,-59.02,-51.5,-67.77,-70.34,-105.59,-60.68,-51.51,-51.97,-72.72,-69.39,-108.34,-56.88,-128.08,-115.84,-120.03,-150.55,-137.4,-209.78,-125.53,-235.44,-441.76,-143.22,-131.69,-130.38,-144.99,-134.65,-128.11,-143.46,-141.52,-103.98,-176.66,-147.56,-90.21,-81.09,-79.82,-67.54,-92.97,-100.81,-93.54,-61.47,-97.36,-66.26,-81.9,-85.56,-65.44,-46.05,-50.64,-41.48,-91.48,-118.44,-124.7,-119.16,-84.04,-55.32,-59.62,-89.71,-86.82,-65.53,-97.72,-70.12,-102.74,-57.3,-62.44,-102.36,-62.45,-75.98,-121.03,-96.0,-136.94,-121.0,-108.13,-78.54,-71.74,-76.79,-122.41,-90.23,-88.36,-82.3,-97.0,-66.32,-94.67,-107.85,-115.56,-78.01,-99.52,-68.7,-64.6,-34.97,-37.86,-89.03,-74.49,-81.02,-90.04,-84.08,-39.01,-79.59,-33.09,-54.34,-41.05,-35.0,-24.3,-19.39,0.0,-9958.58
Digital_Fee_Total,-4.45,-5.0,-3.57,-2.32,-1.54,-3.08,-4.02,-3.29,-3.22,-3.8,-4.74,-6.6,-4.3,-3.33,-3.88,-4.06,-3.3,-7.19,-3.1,-7.67,-6.92,-7.62,-8.64,-7.18,-11.96,-7.42,-10.94,-24.05,-6.7,-6.97,-8.32,-8.06,-7.06,-8.4,-8.13,-8.73,-6.21,-9.61,-8.73,-5.82,-5.29,-4.74,-4.41,-6.73,-6.9,-5.51,-3.94,-4.55,-3.77,-5.63,-5.15,-4.25,-3.05,-2.93,-2.54,-5.51,-5.57,-6.62,-6.9,-5.63,-3.78,-3.14,-5.76,-4.89,-3.97,-5.44,-4.08,-4.83,-3.22,-3.7,-5.38,-3.2,-3.9,-6.77,-5.07,-6.58,-5.82,-5.1,-4.49,-3.5,-4.43,-5.73,-4.17,-4.28,-3.87,-5.3,-4.14,-4.6,-5.35,-5.55,-4.33,-4.71,-3.07,-4.29,-2.21,-1.93,-5.26,-4.82,-4.82,-5.67,-4.93,-2.18,-4.48,-1.9,-2.43,-2.44,-2.02,-1.53,-1.06,0.0,-563.67
Digital_Fee_VAT,-0.74,-0.83,-0.58,-0.36,-0.25,-0.5,-0.69,-0.57,-0.49,-0.62,-0.81,-1.1,-0.72,-0.57,-0.64,-0.7,-0.46,-1.09,-0.51,-1.26,-1.15,-0.94,-1.5,-1.24,-2.06,-1.18,-1.86,-3.99,-1.16,-1.22,-1.41,-1.36,-1.24,-1.48,-1.43,-1.46,-1.0,-1.66,-1.51,-0.99,-0.92,-0.8,-0.77,-1.15,-1.1,-0.95,-0.68,-0.73,-0.65,-0.96,-0.89,-0.72,-0.53,-0.51,-0.42,-0.93,-0.96,-1.11,-1.19,-0.94,-0.63,-0.5,-0.94,-0.77,-0.66,-0.92,-0.63,-0.75,-0.51,-0.54,-0.88,-0.55,-0.64,-1.14,-0.88,-1.1,-0.97,-0.85,-0.74,-0.56,-0.72,-0.97,-0.73,-0.74,-0.62,-0.88,-0.72,-0.74,-0.87,-0.9,-0.74,-0.79,-0.54,-0.69,-0.36,-0.34,-0.91,-0.81,-0.82,-0.97,-0.84,-0.36,-0.78,-0.33,-0.42,-0.43,-0.37,-0.27,-0.18,0.0,-94.24
Digital_Fee_ExVAT,-3.71,-4.17,-2.99,-1.96,-1.29,-2.58,-3.33,-2.72,-2.73,-3.18,-3.93,-5.5,-3.58,-2.76,-3.24,-3.36,-2.84,-6.1,-2.59,-6.41,-5.77,-6.68,-7.14,-5.94,-9.9,-6.24,-9.08,-20.06,-5.54,-5.75,-6.91,-6.7,-5.82,-6.92,-6.7,-7.27,-5.21,-7.95,-7.22,-4.83,-4.37,-3.94,-3.64,-5.58,-5.8,-4.56,-3.26,-3.82,-3.12,-4.67,-4.26,-3.53,-2.52,-2.42,-2.12,-4.58,-4.61,-5.51,-5.71,-4.69,-3.15,-2.64,-4.82,-4.12,-3.31,-4.52,-3.45,-4.08,-2.71,-3.16,-4.5,-2.65,-3.26,-5.63,-4.19,-5.48,-4.85,-4.25,-3.75,-2.94,-3.71,-4.76,-3.44,-3.54,-3.25,-4.42,-3.42,-3.86,-4.48,-4.65,-3.59,-3.92,-2.53,-3.6,-1.85,-1.59,-4.35,-4.01,-4.0,-4.7,-4.09,-1.82,-3.7,-1.57,-2.01,-2.01,-1.65,-1.26,-0.88,0.0,-469.43
Gross_Profit_ExVAT,283.3,273.82,216.14,160.53,116.31,240.01,288.67,227.4,183.03,242.8,294.63,383.04,232.35,200.56,215.78,275.24,248.28,369.69,291.57,521.33,417.39,360.54,551.3,521.01,709.55,457.95,700.95,1258.8,501.76,413.79,491.5,511.86,465.05,463.95,463.81,514.16,371.56,551.68,486.15,347.81,292.45,287.54,267.34,334.19,381.9,348.1,247.8,340.71,260.14,255.33,320.28,223.45,158.12,164.39,138.06,298.11,369.29,379.78,356.8,290.04,208.89,230.86,328.09,305.53,221.79,371.09,259.75,336.81,206.75,186.79,275.11,203.01,209.95,351.69,302.68,398.45,409.77,347.66,281.53,364.79,289.14,425.02,324.33,284.94,290.74,325.27,245.68,319.3,320.49,381.32,267.88,338.26,247.09,247.44,135.02,120.26,333.45,237.54,293.04,331.51,332.35,161.56,304.83,133.69,189.99,155.8,127.89,97.79,71.61,0.0,34673.06
Contribution_Profit_ExVAT,92.38,79.67,67.31,62.81,44.7,128.44,110.5,94.22,53.37,73.29,85.43,123.64,62.14,72.61,74.8,101.73,124.03,123.37,154.14,177.22,104.82,104.44,197.2,220.23,196.2,128.89,217.6,265.7,254.53,134.62,135.29,145.74,153.91,111.25,114.78,155.91,118.99,139.93,128.4,104.59,78.57,91.08,80.02,67.32,103.47,101.25,66.26,135.94,101.29,40.29,103.44,48.71,40.92,50.58,33.41,77.51,114.03,93.75,89.33,61.47,60.88,77.33,85.8,98.76,72.0,131.68,81.15,106.52,65.85,52.39,61.25,61.7,43.24,107.37,90.56,104.66,143.29,109.73,87.56,194.65,118.38,152.25,113.03,76.82,84.59,97.2,66.5,119.11,116.79,121.04,81.22,101.26,86.46,68.2,47.87,33.56,125.06,15.73,88.87,79.99,111.81,62.52,97.4,55.3,69.49,48.11,38.6,35.79,26.17,0.0,10792.95
Refund_Sales_Total,-6.8,-80.26,-33.68,-13.89,0.0,-45.72,-23.63,-20.46,-40.78,-32.99,-47.82,-6.8,-18.13,-7.21,-11.53,0.0,-8.99,-17.74,-6.8,-49.99,-9.16,-18.87,-21.98,-39.06,0.0,-51.24,-8.61,-14.92,-23.69,-47.94,-4.34,-5.98,-69.01,-4.34,-34.16,-42.78,-63.49,-29.78,0.0,-6.8,-89.44,-109.09,-21.07,-7.01,-13.6,-36.48,-44.36,-132.26,-18.98,0.0,0.0,-50.86,-32.08,-47.26,0.0,-88.3,0.0,0.0,-93.9,-45.9,-16.96,0.0,0.0,-32.22,0.0,0.0,-169.1,-119.8,0.0,-40.74,-99.98,-55.98,0.0,0.0,0.0,-11.66,0.0,-69.36,-95.64,-11.66,-17.49,-14.7,0.0,-18.22,-368.82,-12.98,-21.86,-81.0,0.0,-5.98,0.0,0.0,-19.88,-15.87,-6.8,-11.66,-3.3,-17.25,-7.41,0.0,0.0,0.0,0.0,-7.23,-4.24,0.0,-52.48,0.0,0.0,-6.09,-3216.32
Refund_Expenses_Total,0.86,11.65,3.77,1.62,0.0,6.64,2.12,2.68,5.88,4.46,6.67,0.87,2.33,0.57,1.56,0.0,1.33,2.11,0.86,7.38,1.35,2.66,2.99,5.77,0.0,7.34,1.14,1.43,1.56,6.76,0.55,0.76,9.36,0.55,5.05,4.53,9.21,4.29,0.0,0.86,13.96,16.11,1.94,0.55,1.66,4.12,4.86,19.14,1.52,0.0,0.0,6.68,4.08,4.42,0.0,12.34,0.0,0.0,13.16,5.94,1.62,0.0,0.0,4.4,0.0,0.0,24.98,16.4,0.0,5.72,14.76,7.88,0.0,0.0,0.0,0.96,0.0,8.62,12.56,0.92,1.41,1.11,0.0,2.15,32.82,1.13,3.12,11.97,0.0,0.12,0.0,0.0,2.56,1.71,0.85,1.73,0.26,1.62,1.1,0.0,0.0,0.0,0.0,0.14,0.54,0.0,7.42,0.0,0.0,0.77,411.35
Inbound_Transportation_Fee,0.0,0.0,0.0,0.0,-10.54,0.0,-16.18,0.0,0.0,0.0,-9.85,0.0,0.0,-23.73,-9.84,-13.87,0.0,-4.42,0.0,0.0,-4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.44,0.0,0.0,0.0,0.0,0.0,-8.11,0.0,0.0,-12.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.42,0.0,0.0,0.0,-4.42,-10.94,0.0,0.0,0.0,0.0,0.0,0.0,-4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-146.73
Removal_Fee,0.0,-2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.04,-1.97,0.0,0.0,0.0,0.0,0.0,-0.49,0.0,0.0,0.0,0.0,0.0,-1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.12
Disposal_Fee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.15,0.0,0.0,0.0,-2.28,0.0,0.0,-0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.63
Customer_Returns_Fee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.7
Warehouse_Lost_Reimbursement,0.0,0.0,2.31,1.44,1.44,0.0,0.0,1.72,1.44,0.0,0.0,0.0,3.97,0.0,0.0,1.44,0.0,0.0,0.0,0.0,7.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,3.34,0.0,1.67,0.0,1.72,2.89,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.17,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,5.16,0.0,0.0,0.0,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.45
Reversal_Reimbursement,0.95,0.0,0.0,0.0,0.0,0.0,3.52,1.04,3.34,2.67,0.0,0.0,0.0,0.0,8.23,0.0,4.1,2.67,1.04,10.78,0.0,3.35,0.0,2.67,2.02,0.0,0.42,0.0,5.03,0.0,0.0,0.0,5.58,0.48,0.0,0.0,5.17,0.42,4.25,3.49,3.15,0.0,1.51,0.0,1.51,0.0,32.6,9.58,0.0,0.0,0.0,2.67,0.0,2.67,0.0,0.0,0.0,0.0,6.87,2.67,0.0,0.0,3.5,0.0,0.95,29.8,0.0,0.0,0.0,2.22,12.02,4.44,4.89,13.07,8.95,0.0,0.0,3.1,14.78,0.0,2.22,0.0,5.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.02
Retrocharge_Total,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,-1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71
Inventory_Reimbursement,0.0,0.0,0.0,-3.18,-1.59,0.0,0.0,-6.69,0.0,0.0,1.38,0.0,1.42,0.0,-2.67,-2.67,-1.67,0.0,0.0,0.0,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.53,0.0,-3.17,0.0,-2.52,0.0,0.0,0.0,0.0,-4.25,0.0,0.0,0.0,0.0,2.74,-1.78,8.04,0.0,0.0,0.0,-5.09,1.12,4.61,0.0,0.0,0.0,0.0,0.0,0.0,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.47,0.0,0.0,0.0,0.0,0.0,-1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.11
Compensated_Clawback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Refund_Commission,0.84,11.35,3.67,1.59,0.0,6.48,2.06,2.57,5.74,4.35,6.5,0.84,2.25,0.56,1.52,0.0,1.3,2.07,0.84,7.2,1.32,2.59,2.88,5.63,0.0,7.34,1.1,1.39,1.52,6.6,0.54,0.74,9.11,0.54,4.93,4.42,8.99,4.29,0.0,0.84,13.79,15.72,1.89,0.54,1.66,3.94,4.84,18.64,1.46,0.0,0.0,6.52,4.0,4.32,0.0,12.04,0.0,0.0,12.86,5.74,1.48,0.0,0.0,4.36,0.0,0.0,24.38,16.02,0.0,5.58,14.4,7.68,0.0,0.0,0.0,0.92,0.0,8.42,12.2,0.9,1.38,1.08,0.0,2.14,32.09,1.0,3.04,11.67,0.0,0.0,0.0,0.0,2.48,1.68,0.83,1.68,0.25,1.59,1.07,0.0,0.0,0.0,0.0,0.0,0.53,0.0,7.2,0.0,0.0,0.75,401.26
Shipping_Chargeback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Storage_Charges,0.0,0.0,0.0,0.0,0.0,0.0,-112.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-130.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-102.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-384.76
Subscription_Fee_Total,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.0
Subscription_Fee_VAT,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0
Subscription_Fee_ExVAT,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.0
Service_Fee_VAT,0.0,-0.56,0.0,0.0,-2.11,0.0,-25.7,0.0,0.0,0.0,-2.1,0.0,0.0,-4.75,-1.97,-2.77,0.0,-0.89,0.0,-0.98,-3.94,0.0,0.0,-0.15,0.0,0.0,0.0,0.0,-0.88,0.0,0.0,0.0,0.0,0.0,-0.1,-0.23,-26.17,0.0,0.0,-0.46,-0.89,0.0,-0.15,0.0,0.0,0.0,-3.62,0.0,0.0,-4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.61,-1.33,-20.72,0.0,-0.89,0.0,0.0,-0.1,-0.88,-2.19,0.0,0.0,0.0,-0.36,0.0,-2.9,-0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-114.62
Net_Profit_ExVAT,63.23,19.63,43.38,50.39,34.8,95.84,78.39,75.08,28.99,51.78,41.65,118.55,53.98,42.8,62.07,86.63,120.1,108.06,150.08,147.66,104.56,94.17,181.09,194.51,198.22,92.33,211.65,253.6,234.53,100.04,102.51,141.26,105.78,108.48,87.6,121.77,78.87,119.15,135.99,96.45,17.26,13.82,66.2,64.29,97.44,72.72,54.17,51.04,85.29,27.58,98.35,14.84,21.53,14.73,33.41,13.59,114.03,93.75,53.49,33.89,47.02,52.33,90.97,75.3,72.95,161.48,-46.63,14.58,65.11,30.33,-1.97,25.72,48.13,122.83,95.09,74.55,142.21,60.51,31.46,183.0,105.9,138.55,114.24,62.89,-219.32,86.35,50.8,61.75,116.79,115.18,81.22,101.26,71.62,55.72,42.75,25.31,122.27,1.69,83.63,79.99,111.81,62.52,97.4,48.21,66.32,48.11,0.74,35.79,26.17,-4.57,8413.13
