Parameter/Date,2025-11-01,2025-11-02,2025-11-03,2025-11-04,2025-11-05,2025-11-06,2025-11-07,2025-11-08,2025-11-09,2025-11-10,2025-11-11,2025-11-12,2025-11-13,2025-11-14,2025-11-15,2025-11-16,2025-11-17,2025-11-18,2025-11-19,2025-11-20,2025-11-21,2025-11-22,2025-11-23,2025-11-24,2025-11-25,2025-11-26,2025-11-27,2025-11-28,2025-11-29,2025-11-30,2025-12-01,2025-12-02,2025-12-03,2025-12-04,2025-12-05,2025-12-06,2025-12-07,2025-12-08,2025-12-09,2025-12-10,2025-12-11,2025-12-12,2025-12-13,2025-12-14,2025-12-15,2025-12-16,2025-12-17,2025-12-18,2025-12-19,2025-12-20,2025-12-21,2025-12-22,2025-12-23,2025-12-24,2025-12-25,2025-12-26,2025-12-27,2025-12-28,2025-12-29,2025-12-30,2025-12-31,2026-01-01,2026-01-02,2026-01-03,2026-01-04,2026-01-05,2026-01-06,2026-01-07,2026-01-08,2026-01-09,2026-01-10,2026-01-11,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-17,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25,2026-01-26,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-01-31,2026-02-01,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-07,2026-02-08,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-13,2026-02-14,2026-02-15,2026-02-16,2026-02-17,2026-02-18,Total
Gift_ExVAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,0.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98
Promotion_Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26,0.0,0.0,0.0,0.0,0.0,-0.56,0.0,0.0,-0.55,0.0,-0.56,-0.56,-0.28,-0.28,-0.28,0.0,-0.28,0.0,0.0,0.0,0.0,0.0,-0.28,0.0,-0.56,0.0,0.0,0.0,-0.26,-0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,-0.28,-0.56,0.0,-0.34,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.0,0.0,0.0,-0.66,-0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.66,0.0,0.0,0.0,0.0,0.0,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,0.0,0.0,-0.66,0.0,0.0,-0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.32
Promotion_VAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,-0.12,0.0,0.0,-0.12,0.0,-0.12,-0.12,-0.06,-0.06,-0.06,0.0,-0.06,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,-0.12,0.0,0.0,0.0,-0.05,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.06,-0.12,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,0.0,0.0,0.0,-0.14,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,0.0,0.0,-0.14,0.0,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.19
Promotion_ExVAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22,0.0,0.0,0.0,0.0,0.0,-0.45,0.0,0.0,-0.45,0.0,-0.46,-0.45,-0.23,-0.23,-0.23,0.0,-0.23,0.0,0.0,0.0,0.0,0.0,-0.23,0.0,-0.45,0.0,0.0,0.0,-0.22,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23,-0.23,-0.45,0.0,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,-0.26,0.0,0.0,0.0,-0.52,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.52,0.0,0.0,0.0,0.0,0.0,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,-0.52,0.0,0.0,-0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.32
COGS_Total,-237.18,-257.47,-211.36,-144.98,-103.24,-222.62,-301.87,-173.7,-158.32,-242.43,-281.25,-480.95,-193.4,-160.68,-147.61,-230.55,-272.15,-394.18,-118.49,-420.12,-411.25,-331.86,-504.13,-478.27,-747.98,-459.99,-897.38,-1620.84,-534.66,-491.11,-470.92,-525.48,-493.05,-494.7,-535.59,-479.17,-347.56,-598.05,-495.09,-324.02,-281.11,-275.25,-226.52,-322.94,-370.27,-307.88,-213.24,-306.84,-212.86,-247.1,-258.97,-213.85,-155.62,-173.86,-136.06,-303.32,-429.9,-445.97,-451.53,-271.65,-169.43,-192.39,-322.66,-285.6,-214.55,-279.08,-216.15,-345.89,-180.17,-240.28,-372.92,-224.8,-252.79,-411.86,-341.28,-499.54,-394.22,-384.54,-247.55,-93.9,-249.57,-401.06,-292.52,-304.21,-252.27,-312.21,-219.48,-342.35,-397.9,-413.43,-276.12,-353.16,-256.82,-229.64,-138.49,-135.79,-316.96,-273.82,-284.06,-306.33,-259.16,-117.86,-261.71,-91.81,-174.39,-127.04,-106.18,-76.32,-65.6,0.0,-34304.25
COGS_VAT,-36.34,-41.9,-32.93,-22.07,-14.75,-36.04,-41.65,-26.94,-24.47,-34.0,-44.54,-80.88,-32.4,-23.36,-24.4,-36.81,-45.78,-58.6,-16.47,-70.55,-67.94,-44.73,-76.96,-76.42,-120.1,-73.19,-127.64,-257.47,-85.21,-75.27,-67.03,-74.5,-65.98,-82.4,-86.54,-73.72,-51.38,-85.49,-76.54,-49.64,-38.65,-37.0,-33.01,-50.15,-57.64,-44.97,-35.53,-44.62,-35.47,-41.18,-43.17,-34.45,-25.94,-28.97,-22.66,-50.05,-65.79,-73.94,-75.42,-45.52,-28.34,-27.63,-56.37,-46.72,-35.72,-46.41,-35.84,-57.44,-30.02,-40.05,-61.13,-37.54,-40.21,-63.23,-53.99,-80.31,-65.73,-54.89,-41.35,-15.14,-41.66,-59.24,-44.98,-42.98,-34.29,-48.44,-36.63,-57.87,-66.83,-68.77,-41.22,-59.03,-41.51,-38.01,-23.4,-15.16,-47.26,-45.63,-41.24,-46.88,-37.24,-18.93,-37.34,-14.48,-25.02,-18.25,-14.55,-12.71,-10.93,0.0,-5355.7
COGS_ExVAT,-200.84,-215.57,-178.43,-122.91,-88.49,-186.58,-260.22,-146.76,-133.85,-208.43,-236.71,-400.07,-161.0,-137.32,-123.21,-193.74,-226.37,-335.58,-102.02,-349.57,-343.31,-287.13,-427.17,-401.85,-627.88,-386.8,-769.74,-1363.37,-449.45,-415.84,-403.89,-450.98,-427.07,-412.3,-449.05,-405.45,-296.18,-512.56,-418.55,-274.38,-242.46,-238.25,-193.51,-272.79,-312.63,-262.91,-177.71,-262.22,-177.39,-205.92,-215.8,-179.4,-129.68,-144.89,-113.4,-253.27,-364.11,-372.03,-376.11,-226.13,-141.09,-164.76,-266.29,-238.88,-178.83,-232.67,-180.31,-288.45,-150.15,-200.23,-311.79,-187.26,-212.58,-348.63,-287.29,-419.23,-328.49,-329.65,-206.2,-78.76,-207.91,-341.82,-247.54,-261.23,-217.98,-263.77,-182.85,-284.48,-331.07,-344.66,-234.9,-294.13,-215.31,-191.63,-115.09,-120.63,-269.7,-228.19,-242.82,-259.45,-221.92,-98.93,-224.37,-77.33,-149.37,-108.79,-91.63,-63.61,-54.67,0.0,-28948.55
FBA_Fee_Total,-140.28,-144.92,-104.1,-73.18,-56.07,-80.37,-122.13,-92.99,-92.39,-123.91,-165.63,-189.67,-133.58,-95.22,-117.51,-122.49,-70.45,-201.11,-99.9,-267.66,-243.41,-191.41,-252.56,-210.93,-372.88,-250.04,-306.22,-663.55,-141.89,-191.01,-276.01,-263.95,-224.57,-273.1,-242.74,-279.35,-182.32,-284.06,-256.51,-191.87,-163.71,-147.79,-140.93,-212.08,-219.78,-192.52,-148.03,-142.56,-112.33,-168.93,-155.45,-129.91,-91.28,-84.98,-78.26,-162.8,-168.76,-191.82,-188.48,-175.94,-114.62,-107.85,-179.8,-146.94,-114.03,-169.83,-133.52,-158.61,-102.85,-96.72,-135.98,-95.48,-113.63,-186.88,-143.43,-185.96,-181.82,-160.15,-138.0,-118.33,-126.47,-194.74,-152.93,-141.24,-145.4,-161.94,-136.94,-135.87,-128.58,-170.55,-134.44,-166.08,-115.74,-138.98,-65.06,-56.68,-196.89,-173.48,-162.2,-189.67,-162.83,-71.81,-150.21,-63.58,-81.41,-79.94,-63.06,-48.65,-30.18,0.0,-17298.28
FBA_Fee_VAT,-22.82,-24.13,-17.36,-11.61,-9.32,-12.68,-20.33,-15.21,-14.9,-20.62,-26.6,-30.62,-21.73,-15.57,-19.56,-19.41,-10.55,-33.48,-15.63,-43.98,-39.82,-27.0,-40.31,-34.12,-60.71,-38.79,-48.95,-105.48,-23.58,-31.45,-44.21,-43.41,-36.81,-45.43,-40.13,-45.44,-29.87,-46.37,-42.21,-30.42,-27.19,-23.58,-23.39,-34.95,-35.64,-30.79,-24.65,-21.74,-18.42,-28.09,-25.86,-21.11,-15.19,-14.13,-13.05,-26.44,-26.06,-31.4,-31.09,-29.04,-18.8,-16.18,-29.94,-22.98,-18.99,-27.87,-21.34,-25.24,-17.15,-13.96,-22.18,-15.86,-17.26,-29.54,-22.73,-28.78,-29.05,-25.05,-22.43,-18.25,-20.65,-28.92,-22.36,-19.94,-19.16,-26.56,-22.08,-21.64,-21.44,-26.04,-20.75,-26.28,-17.93,-22.29,-10.58,-8.27,-28.87,-28.83,-26.7,-30.62,-26.31,-11.78,-24.26,-10.24,-12.57,-12.99,-10.42,-8.05,-5.01,0.0,-2777.55
FBA_Fee_ExVAT,-117.46,-120.79,-86.74,-61.57,-46.75,-67.69,-101.8,-77.78,-77.49,-103.29,-139.03,-159.05,-111.85,-79.65,-97.95,-103.08,-59.9,-167.63,-84.27,-223.68,-203.59,-164.41,-212.25,-176.81,-312.17,-211.25,-257.27,-558.07,-118.31,-159.56,-231.8,-220.54,-187.76,-227.67,-202.61,-233.91,-152.45,-237.69,-214.3,-161.45,-136.52,-124.21,-117.54,-177.13,-184.14,-161.73,-123.38,-120.82,-93.91,-140.84,-129.59,-108.8,-76.09,-70.85,-65.21,-136.36,-142.7,-160.42,-157.39,-146.9,-95.82,-91.67,-149.86,-123.96,-95.04,-141.96,-112.18,-133.37,-85.7,-82.76,-113.8,-79.62,-96.37,-157.34,-120.7,-157.18,-152.77,-135.1,-115.57,-100.08,-105.82,-165.82,-130.57,-121.3,-126.24,-135.38,-114.86,-114.23,-107.14,-144.51,-113.69,-139.8,-97.81,-116.69,-54.48,-48.41,-168.02,-144.65,-135.5,-159.05,-136.52,-60.03,-125.95,-53.34,-68.84,-66.95,-52.64,-40.6,-25.17,0.0,-14520.73
