order_id,posted_date,settlement_id,amount_type,amount,currency
206-6913480-7480319,2025-12-11T17:49:20Z,206-6913480-7480319,FBAPerUnitFulfillmentFee,,GBP
206-6913480-7480319,2025-12-11T17:49:20Z,206-6913480-7480319,Commission,,GBP
206-6913480-7480319,2025-12-11T17:49:20Z,206-6913480-7480319,FixedClosingFee,,GBP
206-6913480-7480319,2025-12-11T17:49:20Z,206-6913480-7480319,GiftwrapChargeback,,GBP
206-6913480-7480319,2025-12-11T17:49:20Z,206-6913480-7480319,ShippingChargeback,,GBP
206-6913480-7480319,2025-12-11T17:49:20Z,206-6913480-7480319,VariableClosingFee,,GBP
206-6913480-7480319,2025-12-11T17:49:20Z,206-6913480-7480319,DigitalServicesFee,,GBP
204-6610466-6558758,2025-12-11T17:49:59Z,204-6610466-6558758,Principal,,GBP
204-6610466-6558758,2025-12-11T17:49:59Z,204-6610466-6558758,Tax,,GBP
204-6610466-6558758,2025-12-11T17:49:59Z,204-6610466-6558758,GiftWrap,,GBP
204-6610466-6558758,2025-12-11T17:49:59Z,204-6610466-6558758,GiftWrapTax,,GBP
204-6610466-6558758,2025-12-11T17:49:59Z,204-6610466-6558758,ShippingCharge,,GBP
204-6610466-6558758,2025-12-11T17:49:59Z,204-6610466-6558758,ShippingTax,,GBP
204-6610466-6558758,2025-12-11T17:49:59Z,204-6610466-6558758,FBAPerUnitFulfillmentFee,,GBP
204-6610466-6558758,2025-12-11T17:49:59Z,204-6610466-6558758,Commission,,GBP
204-6610466-6558758,2025-12-11T17:49:59Z,204-6610466-6558758,FixedClosingFee,,GBP
204-6610466-6558758,2025-12-11T17:49:59Z,204-6610466-6558758,GiftwrapChargeback,,GBP
204-6610466-6558758,2025-12-11T17:49:59Z,204-6610466-6558758,ShippingChargeback,,GBP
204-6610466-6558758,2025-12-11T17:49:59Z,204-6610466-6558758,VariableClosingFee,,GBP
204-6610466-6558758,2025-12-11T17:49:59Z,204-6610466-6558758,DigitalServicesFee,,GBP
204-8102398-9167514,2025-12-11T18:06:13Z,204-8102398-9167514,Principal,,GBP
204-8102398-9167514,2025-12-11T18:06:13Z,204-8102398-9167514,Tax,,GBP
204-8102398-9167514,2025-12-11T18:06:13Z,204-8102398-9167514,GiftWrap,,GBP
204-8102398-9167514,2025-12-11T18:06:13Z,204-8102398-9167514,GiftWrapTax,,GBP
204-8102398-9167514,2025-12-11T18:06:13Z,204-8102398-9167514,ShippingCharge,,GBP
204-8102398-9167514,2025-12-11T18:06:13Z,204-8102398-9167514,ShippingTax,,GBP
204-8102398-9167514,2025-12-11T18:06:13Z,204-8102398-9167514,FBAPerUnitFulfillmentFee,,GBP
204-8102398-9167514,2025-12-11T18:06:13Z,204-8102398-9167514,Commission,,GBP
204-8102398-9167514,2025-12-11T18:06:13Z,204-8102398-9167514,FixedClosingFee,,GBP
204-8102398-9167514,2025-12-11T18:06:13Z,204-8102398-9167514,GiftwrapChargeback,,GBP
204-8102398-9167514,2025-12-11T18:06:13Z,204-8102398-9167514,ShippingChargeback,,GBP
204-8102398-9167514,2025-12-11T18:06:13Z,204-8102398-9167514,VariableClosingFee,,GBP
204-8102398-9167514,2025-12-11T18:06:13Z,204-8102398-9167514,DigitalServicesFee,,GBP
205-2477073-9541127,2025-12-11T18:11:21Z,205-2477073-9541127,Principal,,GBP
205-2477073-9541127,2025-12-11T18:11:21Z,205-2477073-9541127,Tax,,GBP
205-2477073-9541127,2025-12-11T18:11:21Z,205-2477073-9541127,GiftWrap,,GBP
205-2477073-9541127,2025-12-11T18:11:21Z,205-2477073-9541127,GiftWrapTax,,GBP
205-2477073-9541127,2025-12-11T18:11:21Z,205-2477073-9541127,ShippingCharge,,GBP
205-2477073-9541127,2025-12-11T18:11:21Z,205-2477073-9541127,ShippingTax,,GBP
205-2477073-9541127,2025-12-11T18:11:21Z,205-2477073-9541127,FBAPerUnitFulfillmentFee,,GBP
205-2477073-9541127,2025-12-11T18:11:21Z,205-2477073-9541127,Commission,,GBP
205-2477073-9541127,2025-12-11T18:11:21Z,205-2477073-9541127,FixedClosingFee,,GBP
205-2477073-9541127,2025-12-11T18:11:21Z,205-2477073-9541127,GiftwrapChargeback,,GBP
205-2477073-9541127,2025-12-11T18:11:21Z,205-2477073-9541127,ShippingChargeback,,GBP
205-2477073-9541127,2025-12-11T18:11:21Z,205-2477073-9541127,VariableClosingFee,,GBP
205-2477073-9541127,2025-12-11T18:11:21Z,205-2477073-9541127,DigitalServicesFee,,GBP
206-0728841-6683505,2025-12-11T18:22:55Z,206-0728841-6683505,Principal,,GBP
206-0728841-6683505,2025-12-11T18:22:55Z,206-0728841-6683505,Tax,,GBP
206-0728841-6683505,2025-12-11T18:22:55Z,206-0728841-6683505,GiftWrap,,GBP
206-0728841-6683505,2025-12-11T18:22:55Z,206-0728841-6683505,GiftWrapTax,,GBP
206-0728841-6683505,2025-12-11T18:22:55Z,206-0728841-6683505,ShippingCharge,,GBP
206-0728841-6683505,2025-12-11T18:22:55Z,206-0728841-6683505,ShippingTax,,GBP
206-0728841-6683505,2025-12-11T18:22:55Z,206-0728841-6683505,FBAPerUnitFulfillmentFee,,GBP
206-0728841-6683505,2025-12-11T18:22:55Z,206-0728841-6683505,Commission,,GBP
206-0728841-6683505,2025-12-11T18:22:55Z,206-0728841-6683505,FixedClosingFee,,GBP
206-0728841-6683505,2025-12-11T18:22:55Z,206-0728841-6683505,GiftwrapChargeback,,GBP
206-0728841-6683505,2025-12-11T18:22:55Z,206-0728841-6683505,ShippingChargeback,,GBP
206-0728841-6683505,2025-12-11T18:22:55Z,206-0728841-6683505,VariableClosingFee,,GBP
206-0728841-6683505,2025-12-11T18:22:55Z,206-0728841-6683505,DigitalServicesFee,,GBP
026-0610074-2942711,2025-12-11T18:35:10Z,026-0610074-2942711,Principal,,GBP
026-0610074-2942711,2025-12-11T18:35:10Z,026-0610074-2942711,Tax,,GBP
026-0610074-2942711,2025-12-11T18:35:10Z,026-0610074-2942711,GiftWrap,,GBP
026-0610074-2942711,2025-12-11T18:35:10Z,026-0610074-2942711,GiftWrapTax,,GBP
026-0610074-2942711,2025-12-11T18:35:10Z,026-0610074-2942711,ShippingCharge,,GBP
026-0610074-2942711,2025-12-11T18:35:10Z,026-0610074-2942711,ShippingTax,,GBP
026-0610074-2942711,2025-12-11T18:35:10Z,026-0610074-2942711,FBAPerUnitFulfillmentFee,,GBP
026-0610074-2942711,2025-12-11T18:35:10Z,026-0610074-2942711,Commission,,GBP
026-0610074-2942711,2025-12-11T18:35:10Z,026-0610074-2942711,FixedClosingFee,,GBP
026-0610074-2942711,2025-12-11T18:35:10Z,026-0610074-2942711,GiftwrapChargeback,,GBP
026-0610074-2942711,2025-12-11T18:35:10Z,026-0610074-2942711,ShippingChargeback,,GBP
