token_id,seller_sku,asin,lot_id,purchase_order_id,order_confirmation_id,invoice_id,shipment_id,cost_per_unit,currency,status,received_date,allocated_order_id,allocated_date,return_order_id,return_date,notes
Z7-26PV-O9LR1-0035,Z7-26PV-O9LR,B07J9JGZZV,Z7-26PV-O9LR1,,,,,0.0,GBP,available,2024-10-02,,,,,seed_from_orders_sheet
Z7-26PV-O9LR1-0036,Z7-26PV-O9LR,B07J9JGZZV,Z7-26PV-O9LR1,,,,,0.0,GBP,available,2024-10-02,,,,,seed_from_orders_sheet
Z7-26PV-O9LR1-0037,Z7-26PV-O9LR,B07J9JGZZV,Z7-26PV-O9LR1,,,,,0.0,GBP,available,2024-10-02,,,,,seed_from_orders_sheet
Z7-26PV-O9LR1-0038,Z7-26PV-O9LR,B07J9JGZZV,Z7-26PV-O9LR1,,,,,0.0,GBP,available,2024-10-02,,,,,seed_from_orders_sheet
Z7-26PV-O9LR1-0039,Z7-26PV-O9LR,B07J9JGZZV,Z7-26PV-O9LR1,,,,,0.0,GBP,available,2024-10-02,,,,,seed_from_orders_sheet
Z7-26PV-O9LR1-0040,Z7-26PV-O9LR,B07J9JGZZV,Z7-26PV-O9LR1,,,,,0.0,GBP,available,2024-10-02,,,,,seed_from_orders_sheet
Z7-26PV-O9LR1-0041,Z7-26PV-O9LR,B07J9JGZZV,Z7-26PV-O9LR1,,,,,0.0,GBP,available,2024-10-02,,,,,seed_from_orders_sheet
Z7-26PV-O9LR1-0042,Z7-26PV-O9LR,B07J9JGZZV,Z7-26PV-O9LR1,,,,,0.0,GBP,available,2024-10-02,,,,,seed_from_orders_sheet
Z7-26PV-O9LR1-0043,Z7-26PV-O9LR,B07J9JGZZV,Z7-26PV-O9LR1,,,,,0.0,GBP,available,2024-10-02,,,,,seed_from_orders_sheet
Z7-26PV-O9LR1-0044,Z7-26PV-O9LR,B07J9JGZZV,Z7-26PV-O9LR1,,,,,0.0,GBP,available,2024-10-02,,,,,seed_from_orders_sheet
