transaction_type,breakdown_currency,rows,amount_total
FBAInventoryReimbursement,EUR,2,14.78
FBAInventoryReimbursement,GBP,38,48.480000000000004
Refund,GBP,58,-307.68
Retrocharge,GBP,4,0.0
ServiceFee,GBP,10,-26.5
Shipment,AED,14,659.76
Shipment,EUR,6,4.38
Shipment,GBP,2570,9067.88
Shipment,SAR,2,121.64999999999998
Transfer,GBP,2,4139.74
