order_id,sku,currency,quantity,cogs_total
026-0009940-5149166,6V-EEC1-2S9Z,GBP,1,2.25
026-0016519-4857923,EV-CHU5-XU3G,GBP,1,2.73
026-0017416-5297920,6V-EEC1-2S9Z,GBP,2,4.5
026-0039744-2632363,6V-EEC1-2S9Z,GBP,1,2.25
026-0061970-0064305,A2-T2AC-TW3L,GBP,1,4.51
026-0064468-5546719,I2-6YKQ-CIBP,GBP,3,11.879999999999999
026-0065117-1664370,SU-5LQH-2DVN,GBP,1,2.19
026-0073185-5189967,Z3-ORV9-K8XD,GBP,1,6.56
026-0075070-1777135,VF-3T0K-DR5O,GBP,1,2.05
026-0076055-3531566,2L-M26G-560I,GBP,1,13.52
026-0090907-3049146,9X-7TBD-NA16,GBP,1,1.99
026-0091939-0537175,LV-425G-BY4X,GBP,1,16.38
026-0115868-9345116,VF-3T0K-DR5O,GBP,2,4.1
026-0119586-0998778,6V-EEC1-2S9Z,GBP,1,2.25
026-0121291-4221946,EE-KTDC-KCFY,GBP,1,3.46
026-0143241-9573151,T8-6UWL-I3E1,GBP,1,1.48
026-0159943-8621117,A2-T2AC-TW3L,GBP,1,4.51
026-0162739-7538756,6V-EEC1-2S9Z,GBP,1,2.25
026-0171523-9579567,6V-EEC1-2S9Z,GBP,1,2.25
026-0177850-1952301,WX-L5UA-UB1Q,GBP,1,1.72
026-0182381-0585911,WX-L5UA-UB1Q,GBP,1,1.72
026-0183541-5427529,Z3-ORV9-K8XD,GBP,1,6.56
026-0188579-8210746,BQ-O3OI-FTJU,GBP,1,6.5
026-0198726-2724350,MW-9K5M-VKW8,GBP,1,13.65
026-0201591-1053910,EV-CHU5-XU3G,GBP,1,2.73
026-0207133-4775569,6V-EEC1-2S9Z,GBP,7,15.75
026-0223229-5763543,8M-NHB7-T8TR,GBP,1,15.26
026-0225329-3072307,DC-K5WH-R7F5,GBP,3,2.04
026-0226520-9150768,A2-T2AC-TW3L,GBP,1,4.51
026-0233761-3638722,G8-L8EI-INMK,GBP,2,2.24
026-0241975-6066777,T8-6UWL-I3E1,GBP,1,1.48
026-0246156-1560326,Z3-ORV9-K8XD,GBP,1,6.56
026-0255109-8910770,WX-L5UA-UB1Q,GBP,1,1.72
026-0259810-8913132,6V-EEC1-2S9Z,GBP,3,6.75
026-0260881-0417921,XH-0LAE-FQO5,GBP,1,2.9
026-0266405-3773136,SR-6OBB-WC03,GBP,1,2.86
026-0267807-9698708,F7-PMJ2-SG6A,GBP,1,2.7
026-0270586-4335554,6V-EEC1-2S9Z,GBP,1,2.25
026-0294734-3212319,A2-T2AC-TW3L,GBP,1,4.51
026-0299931-6340376,A2-T2AC-TW3L,GBP,1,4.51
026-0300437-3789956,SR-6OBB-WC03,GBP,2,5.72
026-0303142-6893153,F7-PMJ2-SG6A,GBP,1,2.7
026-0305182-5891571,9X-7TBD-NA16,GBP,4,7.96
026-0305232-7223513,NN-TSZ1-X2RD,GBP,1,3.99
026-0307454-2203530,Z3-ORV9-K8XD,GBP,1,6.56
026-0316295-8425169,6V-EEC1-2S9Z,GBP,1,2.25
026-0317321-5157963,EV-CHU5-XU3G,GBP,1,2.73
026-0337379-2309117,6V-EEC1-2S9Z,GBP,2,4.5
026-0345946-7176328,T8-6UWL-I3E1,GBP,1,1.48
026-0365344-6392304,A2-T2AC-TW3L,GBP,1,4.51
026-0367564-7559568,F7-PMJ2-SG6A,GBP,1,2.7
026-0368452-0057160,6V-EEC1-2S9Z,GBP,1,2.25
026-0382544-1488321,WX-L5UA-UB1Q,GBP,1,1.72
026-0384917-4230710,2L-M26G-560I,GBP,1,13.52
026-0404968-8963548,DC-K5WH-R7F5,GBP,1,0.68
026-0405615-2679526,WX-L5UA-UB1Q,GBP,1,1.72
026-0436410-6085942,6V-EEC1-2S9Z,GBP,1,2.25
026-0443692-7285929,WX-L5UA-UB1Q,GBP,1,1.72
026-0451894-6795505,6V-EEC1-2S9Z,GBP,1,2.25
026-0489894-9867506,F7-PMJ2-SG6A,GBP,1,2.7
026-0491502-0161108,6V-EEC1-2S9Z,GBP,1,2.25
026-0511730-5638733,A2-T2AC-TW3L,GBP,1,4.51
026-0520580-4333126,6V-EEC1-2S9Z,GBP,2,4.5
026-0539677-9757166,WX-L5UA-UB1Q,GBP,3,5.16
026-0567112-1309159,WX-L5UA-UB1Q,GBP,1,1.72
026-0567117-9076334,6V-EEC1-2S9Z,GBP,1,2.1
026-0567222-9546769,NN-TSZ1-X2RD,GBP,1,3.49
026-0576592-3863560,LV-425G-BY4X,GBP,1,16.38
026-0581615-3170760,6V-EEC1-2S9Z,GBP,1,2.25
026-0586323-7493107,6V-EEC1-2S9Z,GBP,1,2.25
026-0586688-4878737,Z7-26PV-O9LR,GBP,1,4.44
026-0607867-8161169,Z7-26PV-O9LR,GBP,1,4.44
026-0608252-6696319,EV-CHU5-XU3G,GBP,1,2.73
026-0610074-2942711,6V-EEC1-2S9Z,GBP,1,2.25
026-0613679-3793954,VL-48KZ-J3F2,GBP,2,2.12
026-0613835-6937969,6V-EEC1-2S9Z,GBP,1,2.25
026-0619465-2453165,N7-A24N-WJA7,GBP,1,3.01
026-0628225-2602709,XH-0LAE-FQO5,GBP,1,2.9
026-0645659-4564332,WX-L5UA-UB1Q,GBP,1,1.72
026-0649846-7709115,XE-YPAI-HX9F,GBP,1,4.79
026-0673638-9065153,A2-T2AC-TW3L,GBP,2,9.02
026-0684936-8761934,X7-MY4W-H2I4,GBP,1,2.28
026-0685194-3860348,EV-CHU5-XU3G,GBP,1,2.73
026-0692888-7313968,WX-L5UA-UB1Q,GBP,1,1.72
026-0698469-9353960,6V-EEC1-2S9Z,GBP,1,2.25
026-0710342-8838716,6V-EEC1-2S9Z,GBP,1,2.25
026-0712582-3360359,VF-3T0K-DR5O,GBP,1,2.05
026-0725125-5007568,XH-0LAE-FQO5,GBP,1,2.9
026-0730833-5688363,DC-K5WH-R7F5,GBP,1,0.68
026-0734040-8725951,XE-YPAI-HX9F,GBP,1,4.58
026-0743819-4845137,A2-T2AC-TW3L,GBP,1,4.51
026-0760886-9475530,N7-A24N-WJA7,GBP,1,3.01
026-0761404-9347546,DC-K5WH-R7F5,GBP,1,0.68
026-0767077-8230719,N7-A24N-WJA7,GBP,1,3.01
026-0772945-5705920,ZV-RLOD-Q0JI,GBP,1,7.55
026-0810388-0730717,WX-L5UA-UB1Q,GBP,1,1.72
026-0810443-2696329,6V-EEC1-2S9Z,GBP,1,2.25
026-0825436-2789169,4D-BI2L-5PZ8,GBP,5,36.75
026-0849505-6998717,0H-5V53-GPG4,GBP,1,4.85
026-0850307-6032364,6V-EEC1-2S9Z,GBP,1,2.25
026-0853066-4435541,I2-6YKQ-CIBP,GBP,1,3.96
026-0858789-2125169,DC-K5WH-R7F5,GBP,1,0.68
026-0866038-1812338,D7-MGBX-RX2P,GBP,1,2.43
026-0874016-9215520,6V-EEC1-2S9Z,GBP,1,2.25
026-0879102-0810712,6V-EEC1-2S9Z,GBP,1,2.25
026-0890051-9545913,6V-EEC1-2S9Z,GBP,1,2.25
026-0905037-0074719,R7-98IN-2PW8,GBP,1,2.5
026-0909730-5818756,PY-XV78-3OG5,GBP,1,20.51
026-0918356-0652363,SR-6OBB-WC03,GBP,1,2.86
026-0935308-0231525,DC-K5WH-R7F5,GBP,1,0.68
026-0941249-2529160,8R-E0Y9-0LAU,GBP,2,76.2
026-0949805-1842722,SU-5LQH-2DVN,GBP,1,2.19
026-0960272-1194768,6V-EEC1-2S9Z,GBP,1,2.25
026-0965724-3079503,I2-6YKQ-CIBP,GBP,1,3.96
026-0969181-0856335,VF-3T0K-DR5O,GBP,1,2.05
026-0978976-1217106,N7-A24N-WJA7,GBP,1,3.01
026-0984481-7744337,DC-K5WH-R7F5,GBP,1,0.68
026-0986053-9934730,6V-EEC1-2S9Z,GBP,1,2.25
026-0989704-0081914,A2-T2AC-TW3L,GBP,1,4.51
026-0991071-2289140,ZI-1MA2-8QGC,GBP,1,8.48
026-0998029-8336301,XH-0LAE-FQO5,GBP,2,5.8
026-1011308-0911533,6V-EEC1-2S9Z,GBP,1,2.25
026-1027654-0365132,I2-6YKQ-CIBP,GBP,1,3.96
026-1049278-2120319,6V-EEC1-2S9Z,GBP,3,6.75
026-1057750-6708325,XH-0LAE-FQO5,GBP,1,2.9
026-1057903-6124338,6V-EEC1-2S9Z,GBP,1,2.25
026-1062716-7301133,WX-L5UA-UB1Q,GBP,1,1.72
026-1064066-9092360,EV-CHU5-XU3G,GBP,1,2.73
026-1073397-1356322,0G-JB6S-PN34,GBP,1,2.74
026-1075126-4973905,T8-6UWL-I3E1,GBP,1,1.48
026-1104959-8044307,6V-EEC1-2S9Z,GBP,1,2.25
026-1107466-8660304,IM-AYXV-79NJ,GBP,1,2.25
026-1109123-1832347,WX-L5UA-UB1Q,GBP,1,1.72
026-1117597-0899563,VU-8KRA-QP5M,GBP,1,4.32
026-1118372-0684320,0H-5V53-GPG4,GBP,1,4.85
026-1119607-9196322,DC-K5WH-R7F5,GBP,1,0.68
026-1122710-9589112,6V-EEC1-2S9Z,GBP,1,2.25
026-1124553-0666706,XH-0LAE-FQO5,GBP,1,2.9
026-1129955-5209169,6V-EEC1-2S9Z,GBP,1,2.25
026-1160344-3358730,XE-YPAI-HX9F,GBP,1,4.7
026-1183499-1039567,VF-3T0K-DR5O,GBP,4,8.2
026-1199151-9433916,6V-EEC1-2S9Z,GBP,1,2.25
026-1199560-7160348,XH-0LAE-FQO5,GBP,1,2.9
026-1213119-5142735,WX-L5UA-UB1Q,GBP,1,1.72
026-1222963-2019531,WX-L5UA-UB1Q,GBP,1,1.72
026-1223800-2834732,A2-T2AC-TW3L,GBP,1,4.51
026-1225921-8883538,A2-T2AC-TW3L,GBP,1,4.51
026-1226851-7476367,Z9-FBUQ-EZN3,GBP,1,2.89
026-1234251-4278734,6V-EEC1-2S9Z,GBP,1,2.25
026-1246687-1037931,A2-T2AC-TW3L,GBP,1,4.51
026-1260449-1718723,LF-X542-9TDZ,GBP,1,7.74
026-1267419-6101907,VF-3T0K-DR5O,GBP,1,2.05
026-1276872-5875543,DC-K5WH-R7F5,GBP,1,0.68
026-1279149-0563562,WX-L5UA-UB1Q,GBP,1,1.72
026-1292542-7626706,F7-PMJ2-SG6A,GBP,1,2.7
026-1303074-2495529,VF-3T0K-DR5O,GBP,1,2.05
026-1308303-2021967,6V-EEC1-2S9Z,GBP,1,2.25
026-1312985-9491520,A2-T2AC-TW3L,GBP,1,4.51
026-1319155-1408338,6V-EEC1-2S9Z,GBP,4,9.0
026-1336574-9723536,JB-RGB6-LZOJ,GBP,1,2.47
026-1337778-6849900,A2-T2AC-TW3L,GBP,1,4.51
026-1341359-9556341,Z3-ORV9-K8XD,GBP,1,6.56
026-1351865-0726754,XY-UM2X-TPS3,GBP,1,4.57
026-1369157-4958763,6V-EEC1-2S9Z,GBP,1,2.25
026-1371011-5523539,3T-6QPR-E2MV,GBP,1,4.65
026-1383566-9541908,A2-T2AC-TW3L,GBP,1,4.51
026-1388668-6346704,XE-YPAI-HX9F,GBP,1,4.7
026-1395846-3899502,3B-3H3V-Z93T,GBP,1,1.6
026-1405057-0462702,A2-T2AC-TW3L,GBP,1,4.51
026-1414819-6657927,6V-EEC1-2S9Z,GBP,4,9.0
026-1421856-4758741,JV-D1TI-6UF6,GBP,1,3.6
026-1422681-2892313,WX-L5UA-UB1Q,GBP,1,1.72
026-1438107-4489903,WX-L5UA-UB1Q,GBP,1,1.72
026-1445175-2373137,DC-K5WH-R7F5,GBP,1,0.68
026-1456021-5601146,WX-L5UA-UB1Q,GBP,1,1.72
026-1462862-6757109,Z3-ORV9-K8XD,GBP,2,13.12
026-1477800-3145158,VF-3T0K-DR5O,GBP,1,2.05
026-1488797-2185954,6V-EEC1-2S9Z,GBP,1,2.25
026-1494034-6517904,WX-L5UA-UB1Q,GBP,1,1.72
026-1496496-3041144,WX-L5UA-UB1Q,GBP,1,1.72
026-1498958-9952352,AX-NKNU-29C1,GBP,2,1.22
026-1514710-9263554,D7-MGBX-RX2P,GBP,1,2.43
026-1520982-2468323,A2-T2AC-TW3L,GBP,1,4.51
026-1535340-9737943,6V-EEC1-2S9Z,GBP,1,2.25
026-1545490-8169963,6V-EEC1-2S9Z,GBP,1,2.25
026-1550713-8705159,T8-6UWL-I3E1,GBP,1,1.48
026-1565961-3125137,6V-EEC1-2S9Z,GBP,1,2.25
026-1566605-5431569,R7-98IN-2PW8,GBP,1,2.5
026-1579374-1066722,JB-RGB6-LZOJ,GBP,1,2.47
026-1597122-1764337,BQ-O3OI-FTJU,GBP,1,6.5
026-1597246-2787535,M5-71MK-T0DL,GBP,1,4.32
026-1606604-3789164,WX-L5UA-UB1Q,GBP,1,1.72
026-1628765-5649140,DC-K5WH-R7F5,GBP,1,0.68
026-1640638-1187561,VF-3T0K-DR5O,GBP,1,2.05
026-1644812-4202728,Z3-ORV9-K8XD,GBP,1,6.56
026-1693693-6169930,L3-ZQ8U-A7LQ,GBP,1,3.7
026-1703551-1367522,TK-E7QE-T40G,GBP,1,3.8
026-1710738-3736322,AX-NKNU-29C1,GBP,1,0.61
026-1711155-8929951,6V-EEC1-2S9Z,GBP,1,2.25
026-1712978-6883506,Z7-26PV-O9LR,GBP,1,4.44
026-1733260-9249102,6V-EEC1-2S9Z,GBP,1,2.25
026-1737791-2117125,A2-T2AC-TW3L,GBP,1,4.51
026-1741151-7109105,6V-EEC1-2S9Z,GBP,1,2.25
026-1742568-2625110,6V-EEC1-2S9Z,GBP,4,9.0
026-1744741-2526767,DC-K5WH-R7F5,GBP,1,0.68
026-1745549-4839541,A2-T2AC-TW3L,GBP,1,4.51
026-1756944-4558705,6V-EEC1-2S9Z,GBP,1,2.25
026-1797540-3145948,AF-KIHX-ANYY,GBP,1,0.84
026-1798186-4502753,XH-0LAE-FQO5,GBP,3,8.7
026-1805313-8780324,WX-L5UA-UB1Q,GBP,1,1.72
026-1816314-5349906,XE-YPAI-HX9F,GBP,1,4.58
026-1828273-0931507,A2-T2AC-TW3L,GBP,1,4.51
026-1829092-5500351,T8-6UWL-I3E1,GBP,1,1.48
026-1833187-5753940,I2-6YKQ-CIBP,GBP,1,3.96
026-1840742-8556306,WX-L5UA-UB1Q,GBP,1,1.72
026-1841301-4656314,DC-K5WH-R7F5,GBP,1,0.68
026-1841479-0865129,TU-8I14-25ZR,GBP,1,12.67
026-1845727-3653961,TU-8I14-25ZR,GBP,1,12.67
026-1846925-9009968,8M-NHB7-T8TR,GBP,1,15.26
026-1858953-4773144,WX-L5UA-UB1Q,GBP,1,1.72
026-1863307-3745911,F7-PMJ2-SG6A,GBP,1,2.7
026-1864241-2521129,JV-D1TI-6UF6,GBP,2,7.2
026-1865834-6853920,DC-K5WH-R7F5,GBP,1,0.68
026-1879855-9197143,U1-M5BM-8F5W,GBP,1,13.0
026-1897723-8389102,XH-0LAE-FQO5,GBP,1,2.9
026-1900461-1521116,WX-L5UA-UB1Q,GBP,1,1.72
026-1925907-4873165,D7-MGBX-RX2P,GBP,2,4.86
026-1949319-6927569,NN-TSZ1-X2RD,GBP,1,3.79
026-1955271-1957145,NN-TSZ1-X2RD,GBP,1,3.99
026-1967590-7340310,SR-6OBB-WC03,GBP,1,2.86
026-1971348-1056326,0H-5V53-GPG4,GBP,1,4.85
026-1978718-7277166,A2-T2AC-TW3L,GBP,1,4.51
026-1978749-9134732,LV-425G-BY4X,GBP,1,16.38
026-1992006-0632314,Z3-ORV9-K8XD,GBP,1,6.56
026-2010782-6370725,6V-EEC1-2S9Z,GBP,1,2.25
026-2011694-6739558,6V-EEC1-2S9Z,GBP,1,2.25
026-2019011-4013956,EE-KTDC-KCFY,GBP,1,3.46
026-2023212-0295513,WX-L5UA-UB1Q,GBP,1,1.72
026-2031408-2774728,WX-L5UA-UB1Q,GBP,1,1.72
026-2055078-5653967,LV-425G-BY4X,GBP,1,16.38
026-2064664-4825143,DC-K5WH-R7F5,GBP,1,0.68
026-2068431-2910750,Z7-26PV-O9LR,GBP,2,8.88
026-2069992-2329918,WX-L5UA-UB1Q,GBP,1,1.72
026-2074399-3156354,6V-EEC1-2S9Z,GBP,4,9.0
026-2079021-8868306,XH-OMMJ-C7MT,GBP,1,2.45
026-2087518-1353168,MW-9K5M-VKW8,GBP,1,13.65
026-2100465-2217928,SR-6OBB-WC03,GBP,1,2.86
026-2125199-6382720,6V-EEC1-2S9Z,GBP,1,2.25
026-2127050-7929948,Z7-26PV-O9LR,GBP,1,4.44
026-2131436-8962709,SR-6OBB-WC03,GBP,1,2.86
026-2140928-6446758,WX-L5UA-UB1Q,GBP,1,1.72
026-2146713-2501948,XE-YPAI-HX9F,GBP,1,4.7
026-2147591-5497922,Z3-ORV9-K8XD,GBP,1,6.56
026-2165564-9773132,VF-3T0K-DR5O,GBP,1,2.05
026-2172794-2753905,D7-MGBX-RX2P,GBP,1,2.43
026-2174357-6853140,3X-EXDD-TD2K,GBP,1,20.51
026-2176896-4563567,3B-3H3V-Z93T,GBP,1,1.6
026-2179568-2513128,6V-EEC1-2S9Z,GBP,1,2.25
026-2184418-0778701,VU-8KRA-QP5M,GBP,1,4.32
026-2194270-0510769,6V-EEC1-2S9Z,GBP,1,2.25
026-2202696-9913942,VL-48KZ-J3F2,GBP,1,1.06
026-2223564-3681938,A2-T2AC-TW3L,GBP,1,4.51
026-2227847-5353934,Z7-26PV-O9LR,GBP,1,4.44
026-2228512-5848326,T8-6UWL-I3E1,GBP,1,1.48
026-2240061-2302715,6V-EEC1-2S9Z,GBP,1,2.25
026-2242299-2230758,A2-T2AC-TW3L,GBP,1,4.51
026-2272494-3236350,MY-KL21-NMV5,GBP,1,18.5
026-2275644-1071562,6V-EEC1-2S9Z,GBP,1,2.25
026-2277441-2437169,VF-3T0K-DR5O,GBP,1,2.05
026-2284830-0448324,WX-L5UA-UB1Q,GBP,1,1.72
026-2303256-1161138,6V-EEC1-2S9Z,GBP,1,2.25
026-2317466-0679506,NN-TSZ1-X2RD,GBP,1,3.79
026-2320870-0872309,T8-6UWL-I3E1,GBP,1,1.48
026-2329144-1312333,DC-K5WH-R7F5,GBP,1,0.68
026-2339052-3720363,FBA15K3QTGNT_unexpected_item_01,GBP,1,1.66
026-2349205-3699538,NN-TSZ1-X2RD,GBP,1,3.49
026-2353710-9571555,6V-EEC1-2S9Z,GBP,1,2.25
026-2356951-7485905,SU-5LQH-2DVN,GBP,1,2.19
026-2365796-7499508,XH-0LAE-FQO5,GBP,1,2.9
026-2374438-7094703,NN-TSZ1-X2RD,GBP,1,3.79
026-2388997-2609155,6V-EEC1-2S9Z,GBP,1,2.25
026-2408510-6589956,EV-CHU5-XU3G,GBP,1,2.73
026-2440566-3762742,HL-03ZR-QPHH,GBP,1,3.6
026-2444204-7177923,6V-EEC1-2S9Z,GBP,3,6.75
026-2472904-8127505,A2-T2AC-TW3L,GBP,1,4.51
026-2474630-3252303,F7-PMJ2-SG6A,GBP,3,8.100000000000001
026-2482413-6563546,F7-PMJ2-SG6A,GBP,2,5.4
026-2482921-0521904,EV-CHU5-XU3G,GBP,1,2.73
026-2501126-0725907,WX-L5UA-UB1Q,GBP,1,1.72
026-2529333-2134758,Z7-26PV-O9LR,GBP,1,4.44
026-2538495-2571563,VF-3T0K-DR5O,GBP,1,2.05
026-2545569-0932300,VF-3T0K-DR5O,GBP,1,2.05
026-2566539-3894716,XH-0LAE-FQO5,GBP,1,2.9
026-2583937-0325139,LV-425G-BY4X,GBP,1,16.38
026-2620947-8933965,WX-L5UA-UB1Q,GBP,1,1.72
026-2623304-4301159,Z7-26PV-O9LR,GBP,1,4.44
026-2637183-3760334,A2-T2AC-TW3L,GBP,1,4.51
026-2642052-6213963,6V-EEC1-2S9Z,GBP,1,2.25
026-2645719-0082719,7L-OT45-7LYB,GBP,1,1.16
026-2650981-8928311,VF-3T0K-DR5O,GBP,1,2.05
026-2653923-0997114,DC-K5WH-R7F5,GBP,1,0.68
026-2659470-2125160,EV-CHU5-XU3G,GBP,1,2.73
026-2689098-1215541,3B-3H3V-Z93T,GBP,1,1.6
026-2698040-1579525,6V-EEC1-2S9Z,GBP,1,2.25
026-2707482-7697934,6V-EEC1-2S9Z,GBP,1,2.25
026-2726521-6164326,N7-A24N-WJA7,GBP,1,3.01
026-2731550-1321940,NN-TSZ1-X2RD,GBP,1,3.79
026-2756963-1915524,6V-EEC1-2S9Z,GBP,1,2.25
026-2780950-1717146,VF-3T0K-DR5O,GBP,1,2.05
026-2813505-3274734,WX-L5UA-UB1Q,GBP,1,1.72
026-2829601-3827565,0H-5V53-GPG4,GBP,1,4.85
026-2835431-4003514,DC-K5WH-R7F5,GBP,1,0.68
026-2836477-2882745,Z7-26PV-O9LR,GBP,1,4.44
