Order ID,SKU,Date_l2,Date_l3,field,l2_value,l3_value,delta
204-2951120-0249956,WJ-YHKC-EES5,2026-05-28T08:39:06Z,2026-06-10T00:23:27Z,FBA_Fee_ExVAT,-1.5,-1.52,-0.02
204-2951120-0249956,WJ-YHKC-EES5,2026-05-28T08:39:06Z,2026-06-10T00:23:27Z,FBA_Fee_Total,-1.8,-1.82,-0.02
