posted_date,transaction_id,transaction_type,breakdown_type,amount,currency,amount_value,allocated_amount,allocated_sku,allocation_method,inbound_shipment_id,status
2026-02-17T13:49:03Z,UOjvP-zYFX6VM5d-SNSDrdu2cmaW71sLyZTiOXB1BrQ,Shipment,Expenses,-3.18,GBP,-3.18,,,unallocated,,unallocated
2026-02-17T13:49:03Z,UOjvP-zYFX6VM5d-SNSDrdu2cmaW71sLyZTiOXB1BrQ,Shipment,Sales,7.99,GBP,7.99,,,unallocated,,unallocated
2026-02-17T15:13:02Z,AlQKa5AiXoNrzMdu3k1kpXAyN9bqtPmUmk2UG0M3Tc4,ServiceFee,Expenses,-5.33,GBP,-5.33,,,unallocated,,unallocated
2026-02-17T15:13:02Z,AlQKa5AiXoNrzMdu3k1kpXAyN9bqtPmUmk2UG0M3Tc4,ServiceFee,Sales,0.0,GBP,0.0,,,unallocated,,unallocated
2026-02-17T15:45:19Z,Uy7qORlIKet7VhAp70u16qMq1OWN6H1fpyngESAeT9o,Shipment,Expenses,-3.61,GBP,-3.61,,,unallocated,,unallocated
2026-02-17T15:45:19Z,Uy7qORlIKet7VhAp70u16qMq1OWN6H1fpyngESAeT9o,Shipment,Sales,4.21,GBP,4.21,,,unallocated,,unallocated
2026-02-17T16:02:14Z,BPGzlbvko2F9KXDqr9XYYtnFtBTMtJZ4oEeAaRhgXUQ,Shipment,Expenses,-3.16,GBP,-3.16,,,unallocated,,unallocated
2026-02-17T16:02:14Z,BPGzlbvko2F9KXDqr9XYYtnFtBTMtJZ4oEeAaRhgXUQ,Shipment,Sales,7.51,GBP,7.51,,,unallocated,,unallocated
2026-02-17T16:08:21Z,1muYuwgZF6anuKWdR0cCqpDPbofMk8il_zEPfmy9E1M,Shipment,Expenses,-2.26,GBP,-2.26,,,unallocated,,unallocated
2026-02-17T16:08:21Z,1muYuwgZF6anuKWdR0cCqpDPbofMk8il_zEPfmy9E1M,Shipment,Sales,6.08,GBP,6.08,,,unallocated,,unallocated
2026-02-17T16:10:35Z,edr-gRRJO222wqFLaZsyvmhsbOQ8wakmouaIh4suq6A,Shipment,Expenses,-4.91,GBP,-4.91,,,unallocated,,unallocated
2026-02-17T16:10:35Z,edr-gRRJO222wqFLaZsyvmhsbOQ8wakmouaIh4suq6A,Shipment,Sales,11.48,GBP,11.48,,,unallocated,,unallocated
2026-02-17T16:12:15Z,XOe24F3f79xCXcPNLvLhRWFa-sLbrRH6MHtldcDJHnI,Shipment,Expenses,-2.09,GBP,-2.09,,,unallocated,,unallocated
2026-02-17T16:12:15Z,XOe24F3f79xCXcPNLvLhRWFa-sLbrRH6MHtldcDJHnI,Shipment,Sales,3.0,GBP,3.0,,,unallocated,,unallocated
2026-02-17T16:14:34Z,jfE-Rxa9rne7nMTs31LYsCSvGrUvA85b01vcLK_AdAs,Shipment,Expenses,-1.83,GBP,-1.83,,,unallocated,,unallocated
2026-02-17T16:14:34Z,jfE-Rxa9rne7nMTs31LYsCSvGrUvA85b01vcLK_AdAs,Shipment,Sales,9.99,GBP,9.99,,,unallocated,,unallocated
2026-02-17T16:15:02Z,MlBtPs6j00hXFaoJVr2Uvk9kZ38wAo8PCphZm_yTGWg,Shipment,Expenses,-2.14,GBP,-2.14,,,unallocated,,unallocated
2026-02-17T16:15:02Z,MlBtPs6j00hXFaoJVr2Uvk9kZ38wAo8PCphZm_yTGWg,Shipment,Sales,6.8,GBP,6.8,,,unallocated,,unallocated
2026-02-17T16:17:13Z,d-TLoarhry88D98abDrbLCf0DIrAbKxdW5yrI4Rxpx4,Shipment,Expenses,-2.79,GBP,-2.79,,,unallocated,,unallocated
2026-02-17T16:17:13Z,d-TLoarhry88D98abDrbLCf0DIrAbKxdW5yrI4Rxpx4,Shipment,Sales,6.15,GBP,6.15,,,unallocated,,unallocated
2026-02-17T16:22:35Z,7kGhc4Jgj-pegsyDjnYu2bniUD3Sw56ODAwCx0tXJzI,Shipment,Expenses,-3.61,GBP,-3.61,,,unallocated,,unallocated
2026-02-17T16:22:35Z,7kGhc4Jgj-pegsyDjnYu2bniUD3Sw56ODAwCx0tXJzI,Shipment,Sales,4.21,GBP,4.21,,,unallocated,,unallocated
2026-02-17T16:35:02Z,hjWdbZqsLW67IcS1jMh6wpJ-WtkcajboGAxVjchmdPA,Shipment,Expenses,-2.72,GBP,-2.72,,,unallocated,,unallocated
2026-02-17T16:35:02Z,hjWdbZqsLW67IcS1jMh6wpJ-WtkcajboGAxVjchmdPA,Shipment,Sales,5.57,GBP,5.57,,,unallocated,,unallocated
2026-02-17T16:36:04Z,GHrQXkTxoQIMjtgbz9IYL5evtoPNEJxvOvSrtjjc6c8,Shipment,Expenses,-2.1,GBP,-2.1,,,unallocated,,unallocated
