seller_sku,expected_units,ordered_units,created_units,status,note,updated_at
02-7AZG-O0CV,1,1,1,ok,,2026-01-19T15:54:52Z
A1-KSU1-GZMS,17,17,17,ok,,2026-01-19T15:54:52Z
JH-97NP-GJDG,3,3,3,ok,,2026-01-19T15:54:52Z
