"Order number";"Order date";"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Expenses";"Net profit";"Margin";"ROI";"Coupon";"Comment"
"204-7590175-3520348 / Unshipped / COG: 2.74 / FBA";"03.02.2026";"Skinny Food Co Salted Caramel Zero Calorie Syrup 425ml - Sugar Free Salted Caramel Syrup For Snacks, Drinks & Desserts - Vegan, Gluten-free, Keto & Paleo Friendly Caramel Syrup - Salted Caramel Syrup / Price: 9.85";"B07F1MFWV1";"D0-C7C0-H6LN";"1";"";"9.85";"";"";"";"-3.2";"-2.74";"";"3.91";"";"3.91";"39.70";"142.70";"";""
"202-0190550-7798725 / Unshipped / COG: 4.51 / FBA";"03.02.2026";"Everbuild Industrial Grade Superglue GP 50 g Pack of 3 / Price: 11.48";"B006PFN3BW";"A2-T2AC-TW3L";"2";"";"22.96";"";"";"";"-8.9";"-9.02";"";"1.21";"";"1.21";"5.28";"13.45";"";""
"203-1932142-6560346 / Unshipped / COG: 2.46 / FBA";"03.02.2026";"The Army Painter | Hobby: Super Glue / Price: 7.49";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"7.49";"";"";"";"-2.62";"-2.46";"";"1.16";"";"1.16";"15.51";"47.22";"";""
"026-8100718-7731569 / Unshipped / COG: 4.51 / FBA";"03.02.2026";"Everbuild Industrial Grade Superglue GP 50 g Pack of 3 / Price: 11.48";"B006PFN3BW";"A2-T2AC-TW3L";"1";"";"11.48";"";"";"";"-4.45";"-4.51";"";"0.61";"";"0.61";"5.28";"13.45";"";""
"026-7053984-7719536 / Unshipped / COG: 3.99 / FBA";"03.02.2026";"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland / Price: 7.28";"B093FQYQJH";"NN-TSZ1-X2RD";"1";"";"7.28";"";"";"";"-2.12";"-3.99";"";"-0.04";"";"-0.04";"-0.59";"-1.09";"";""
"202-4524801-3513943 / Unshipped / COG: 4.51 / FBA";"03.02.2026";"Everbuild Industrial Grade Superglue GP 50 g Pack of 3 / Price: 11.48";"B006PFN3BW";"A2-T2AC-TW3L";"2";"";"22.96";"";"";"";"-8.9";"-9.02";"";"1.21";"";"1.21";"5.28";"13.45";"";""
"202-7413630-5241152 / Unshipped / COG: 3.99 / FBA";"03.02.2026";"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland / Price: 7.28";"B093FQYQJH";"NN-TSZ1-X2RD";"1";"";"7.28";"";"";"";"-2.12";"-3.99";"";"-0.04";"";"-0.04";"-0.59";"-1.09";"";""
"202-5309366-0840348 / Unshipped / COG: 2.46 / FBA";"03.02.2026";"The Army Painter | Hobby: Super Glue / Price: 7.49";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"7.49";"";"";"";"-2.62";"-2.46";"";"1.16";"";"1.16";"15.51";"47.22";"";""
"206-8371559-3402764 / Unshipped / COG: 2.86 / FBA";"03.02.2026";"Everbuild 2 X CYN50 Industrial Superglue General Purpose 50 g / Price: 8.41";"B011SEA38A";"PE-G94Y-4PYO";"1";"";"8.41";"";"";"";"-3.92";"-2.86";"";"0.23";"";"0.23";"2.71";"7.98";"";""
"204-3157207-5276319 / Unshipped / COG: 2.46 / FBA";"03.02.2026";"The Army Painter | Hobby: Super Glue / Price: 7.49";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"7.49";"";"";"";"-2.62";"-2.46";"";"1.16";"";"1.16";"15.51";"47.22";"";""
"202-6927077-9845945 / Shipped / COG: 2.75 / FBA";"03.02.2026";"CURAPROX 1560 Soft 0.15mm Brush Colours Vary / Price: 6.97";"B0083HIM7U";"C6-XGZB-J6QA";"1";"";"6.97";"";"";"";"-2.06";"-2.75";"";"1.00";"";"1.00";"14.32";"36.30";"";""
"203-0156905-7828354 / Unshipped / COG: 4.51 / FBA";"02.02.2026";"Everbuild Industrial Grade Superglue GP 50 g Pack of 3 / Price: 11.89";"B006PFN3BW";"A2-T2AC-TW3L";"1";"";"11.89";"";"";"";"-4.15";"-4.51";"";"1.25";"";"1.25";"10.50";"27.68";"";""
"206-3922085-3553112 / Shipped / COG: 1.72 / FBA";"02.02.2026";"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106) / Price: 5.93";"B007R2ICTK";"WX-L5UA-UB1Q";"1";"";"5.93";"";"";"";"-2.34";"-1.72";"";"0.88";"";"0.88";"14.87";"51.26";"";""
"205-3270107-7950766 / Unshipped / COG: 2.46 / FBA";"02.02.2026";"The Army Painter | Hobby: Super Glue / Price: 7.49";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"7.49";"";"";"";"-2.62";"-2.46";"";"1.16";"";"1.16";"15.51";"47.22";"";""
