"Marketplace ID","Merchant ID","Order Date","Transaction Type","Is Invoice Corrected","Order ID","Shipment Date","Shipment ID","Transaction ID",ASIN,SKU,Quantity,"Tax Calculation Date","Tax Rate","Product Tax Code",Currency,"Tax Type","Tax Calculation Reason Code","Tax Reporting Scheme","Tax Collection Responsibility","Tax Address Role","Jurisdiction Level","Jurisdiction Name","OUR_PRICE Tax Inclusive Selling Price","OUR_PRICE Tax Amount","OUR_PRICE Tax Exclusive Selling Price","OUR_PRICE Tax Inclusive Promo Amount","OUR_PRICE Tax Amount Promo","OUR_PRICE Tax Exclusive Promo Amount","SHIPPING Tax Inclusive Selling Price","SHIPPING Tax Amount","SHIPPING Tax Exclusive Selling Price","SHIPPING Tax Inclusive Promo Amount","SHIPPING Tax Amount Promo","SHIPPING Tax Exclusive Promo Amount","GIFTWRAP Tax Inclusive Selling Price","GIFTWRAP Tax Amount","GIFTWRAP Tax Exclusive Selling Price","GIFTWRAP Tax Inclusive Promo Amount","GIFTWRAP Tax Amount Promo","GIFTWRAP Tax Exclusive Promo Amount","Seller Tax Registration","Seller Tax Registration Jurisdiction","Buyer Tax Registration","Buyer Tax Registration Jurisdiction","Buyer Tax Registration Type","Buyer E Invoice Account Id","Invoice Level Currency Code","Invoice Level Exchange Rate","Invoice Level Exchange Rate Date","Converted Tax Amount","VAT Invoice Number","Invoice Url","Export Outside EU","Ship From City","Ship From State","Ship From Country","Ship From Postal Code","Ship From Tax Location Code","Ship To City","Ship To State","Ship To Country","Ship To Postal Code","Ship To Location Code","Return Fc Country","Is Amazon Invoiced","Original VAT Invoice Number","Invoice Correction Details","E-Invoice Delivery Status","E-Invoice Error Code","E-Invoice Error Description","E-Invoice Status Last Updated Date","EInvoice URL","Buyer Peppol Id","Seller Peppol Id","Buyer NIP","Seller NIP"
GB,601705871802,"03-Dec-2025 UTC",SHIPMENT,FALSE,206-1572651-1869127,"03-Dec-2025 UTC",102819885102302,102819885102302,B06WW79DX5,6V-EEC1-2S9Z,2,"03-Dec-2025 UTC",0.2000,A_GEN_STANDARD,GBP,VAT,Taxable,,Seller,ShipTo,Country,"UNITED KINGDOM",13.60,2.26,11.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GB193031231,GB,,,,,,0.0000,,0.00,GB500NT1J3A6NI,"https://sellercentral.amazon.co.uk/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a69bccd3d-b064-4292-92a8-95ed68a96c45&t=EU_Retail_Forward",false,Daventry,Northamptonshire,GB,"NN11 8NT",808260000,COLNE,Lancs,GB,"BB8 9SN",808260000,,true,,,,,,,,,,,
GB,601705871802,"04-Dec-2025 UTC",SHIPMENT,FALSE,026-7369738-5647555,"04-Dec-2025 UTC",102864234311302,102864234311302,B007R2ICTK,WX-L5UA-UB1Q,1,"04-Dec-2025 UTC",0.2000,A_GEN_STANDARD,GBP,VAT,Taxable,,Seller,ShipTo,Country,"UNITED KINGDOM",5.98,1.00,4.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GB193031231,GB,,,,,,0.0000,,0.00,GB500NUFJ3A6NI,"https://sellercentral.amazon.co.uk/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a698cb3e2-9c68-4893-bea0-dfe3353831a9&t=EU_Retail_Forward",false,SWINDON,SWINDON,GB,"SN3 4DB",808260000,London,,GB,SW182JT,808260000,,true,,,,,,,,,,,
GB,601705871802,"01-Dec-2025 UTC",SHIPMENT,FALSE,026-9281922-8032348,"01-Dec-2025 UTC",102590875914302,102590875914302,B08KFFY86W,VF-3T0K-DR5O,1,"01-Dec-2025 UTC",0.2000,A_GEN_STANDARD,GBP,VAT,Taxable,,Seller,ShipTo,Country,"UNITED KINGDOM",5.02,0.84,4.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GB193031231,GB,,,,,,0.0000,,0.00,GB500NLUJ3A6NI,"https://sellercentral.amazon.co.uk/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a67b21ac9-0863-4269-ae84-eb41e2310a48&t=EU_Retail_Forward",false,Tilbury,"United Kingdom",GB,"RM18 7AN",808260000,Wigan,Lancashire,GB,"WN2 4NN",808260000,,true,,,,,,,,,,,
GB,601705871802,"01-Dec-2025 UTC",SHIPMENT,FALSE,202-9173129-0888362,"01-Dec-2025 UTC",102586910879302,102586910879302,B07J9JGZZV,Z7-26PV-O9LR,1,"01-Dec-2025 UTC",0.2000,A_GEN_STANDARD,GBP,VAT,Taxable,,Seller,ShipTo,Country,"UNITED KINGDOM",8.67,1.45,7.22,0.00,0.00,0.00,0.99,0.17,0.82,-0.99,-0.17,-0.82,0.00,0.00,0.00,0.00,0.00,0.00,GB193031231,GB,,,,,,0.0000,,0.00,GB500NLTJ3A6NI,"https://sellercentral.amazon.co.uk/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3ad72b9ac2-91d4-4471-a154-7df0eee6232d&t=EU_Retail_Forward",false,DARTFORD,DARTFORD,GB,"DA1 5XU",808260000,GILLINGHAM,kent,GB,"ME7 5TY",808260000,,true,,,,,,,,,,,
GB,601705871802,"28-Nov-2025 UTC",SHIPMENT,FALSE,205-4135289-6249965,"01-Dec-2025 UTC",102474074516302,102474074516302,B06WW79DX5,6V-EEC1-2S9Z,1,"30-Nov-2025 UTC",0.2000,A_GEN_STANDARD,GBP,VAT,Taxable,,Seller,ShipTo,Country,"UNITED KINGDOM",6.80,1.13,5.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GB193031231,GB,,,,,,0.0000,,0.00,GB500NLEJ3A6NI,"https://sellercentral.amazon.co.uk/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a8c81b5c1-de07-4d76-9699-ea1b1b63e48a&t=EU_Retail_Forward",false,Dunfermline,Fife,GB,"KY11 8ST",808260000,EASTBOURNE,,GB,"BN23 6HZ",808260000,,true,,,,,,,,,,,
GB,601705871802,"01-Dec-2025 UTC",SHIPMENT,FALSE,202-7411843-0399548,"02-Dec-2025 UTC",102624521841302,102624521841302,B011SEA38A,PE-G94Y-4PYO,1,"02-Dec-2025 UTC",0.2000,A_GEN_STANDARD,GBP,VAT,Taxable,,Seller,ShipTo,Country,"UNITED KINGDOM",8.42,1.40,7.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GB193031231,GB,,,,,,0.0000,,0.00,GB500NPQJ3A6NI,"https://sellercentral.amazon.co.uk/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3aea5dff7d-fb08-4578-b621-a2168959920b&t=EU_Retail_Forward",false,DEESIDE,Flintshire,GB,"CH5 2LL",808260000,london,,GB,"N5 2ET",808260000,,true,,,,,,,,,,,
GB,601705871802,"30-Nov-2025 UTC",SHIPMENT,FALSE,204-4215872-4227524,"01-Dec-2025 UTC",102527109074302,102527109074302,B0B2RBG672,8M-NHB7-T8TR,1,"30-Nov-2025 UTC",0.2000,A_GEN_STANDARD,GBP,VAT,Taxable,,Seller,ShipTo,Country,"UNITED KINGDOM",22.31,3.72,18.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GB193031231,GB,,,,,,0.0000,,0.00,GB500NL5J3A6NI,"https://sellercentral.amazon.co.uk/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a65bea5ed-ffe9-4306-87f3-f488ef86f461&t=EU_Retail_Forward",false,Darlington,England,GB,"DL1 4BF",808260000,SHEFFIELD,,GB,"S2 5SY",808260000,,true,,,,,,,,,,,
GB,601705871802,"02-Dec-2025 UTC",SHIPMENT,FALSE,202-6535362-6036312,"03-Dec-2025 UTC",102729583717302,102729583717302,B06WW79DX5,6V-EEC1-2S9Z,1,"02-Dec-2025 UTC",0.2000,A_GEN_STANDARD,GBP,VAT,Taxable,,Seller,ShipTo,Country,"UNITED KINGDOM",6.80,1.13,5.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GB193031231,GB,,,,,,0.0000,,0.00,GB500NTFJ3A6NI,"https://sellercentral.amazon.co.uk/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a8ad9c313-21ee-442d-ac41-ae9e421d6747&t=EU_Retail_Forward",false,Daventry,Northamptonshire,GB,"NN11 8NT",808260000,DIDCOT,,GB,"OX11 6FL",808260000,,true,,,,,,,,,,,
GB,601705871802,"04-Dec-2025 UTC",SHIPMENT,FALSE,203-6465601-1665968,"04-Dec-2025 UTC",102888696408302,102888696408302,B07QXSDZJM,SC-LYFM-ORXK,1,"04-Dec-2025 UTC",0.2000,A_GEN_STANDARD,GBP,VAT,Taxable,,Seller,ShipTo,Country,"UNITED KINGDOM",11.85,1.98,9.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GB193031231,GB,,,,,,0.0000,,0.00,GB500NVPJ3A6NI,"https://sellercentral.amazon.co.uk/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3aaee81f89-18b7-47dd-bfbc-c7eb3dd94a17&t=EU_Retail_Forward",false,Manchester,Altrincham,GB,"M90 5AA",808260000,"East Hanney",,GB,"OX12 0JY",808260000,,true,,,,,,,,,,,
GB,601705871802,"02-Dec-2025 UTC",SHIPMENT,FALSE,026-6229365-6067533,"03-Dec-2025 UTC",102749800838302,102749800838302,B06WW79DX5,6V-EEC1-2S9Z,1,"02-Dec-2025 UTC",0.2000,A_GEN_STANDARD,GBP,VAT,Taxable,,Seller,ShipTo,Country,"UNITED KINGDOM",6.80,1.13,5.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GB193031231,GB,,,,,,0.0000,,0.00,GB500NSMJ3A6NI,"https://sellercentral.amazon.co.uk/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a04e96920-192c-4048-89d2-a0d8443fdac7&t=EU_Retail_Forward",false,Daventry,Northamptonshire,GB,"NN11 8NT",808260000,DENBIGH,,GB,"LL16 5TA",808260000,,true,,,,,,,,,,,
