"Order number";"Order date";"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Expenses";"Net profit";"Margin";"ROI";"Coupon";"Comment"
"202-5746793-7770731 / Shipped / COG: 2.25 / FBA";"21.04.2026";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 6.6";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"11.59";"";"";"";"-2.63";"-2.25";"-4.16";"0.62";"";"0.62";"5.33";"27.48";"";""
"202-3546578-1802720 / Shipped / COG: 2.19 / FBA";"21.04.2026";"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between the Teeth, Durable Dental Picks for Wide Gaps, Travel case Included / Price: 5.03";"B08KFFY86W";"VF-3T0K-DR5O";"1";"";"5.03";"";"";"";"-1.96";"-2.19";"";"0.04";"";"0.04";"0.83";"1.90";"";""
"204-2778901-2800337 / Unshipped / COG: 2.25 / FBA";"21.04.2026";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 6.6";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"6.6";"";"";"";"-2.55";"-2.25";"";"0.70";"";"0.70";"10.61";"31.11";"";""
"026-4245366-5350718 / Shipped / COG: 2.25 / FBA";"21.04.2026";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 6.6";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"6.6";"";"";"";"-2.63";"-2.25";"";"0.62";"";"0.62";"9.39";"27.56";"";""
"204-5651057-5137901 / Unshipped / COG: 2.25 / FBA";"21.04.2026";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 6.6";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"6.6";"";"";"";"-2.55";"-2.25";"";"0.70";"";"0.70";"10.61";"31.11";"";""
"206-4600282-5720342 / Unshipped / COG: 2.37 / FBA";"21.04.2026";"The Army Painter | Hobby: Super Glue / Price: 7.28";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"7.28";"";"";"";"-2.6";"-2.37";"";"1.10";"";"1.10";"15.06";"46.27";"";""
"026-1638619-8701915 / Shipped / COG: 2.53 / FBA";"21.04.2026";"Easy Cook NS606R Microwave Egg Poacher, red, 2 cup / Price: 8.96";"B016Y8SWZQ";"8L-INBX-OUTU";"1";"";"8.96";"";"";"";"-4.11";"-2.53";"";"0.83";"";"0.83";"9.23";"32.68";"";""
"026-0088708-6301929 / Shipped / COG: 2.25 / FBA";"21.04.2026";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 6.6";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"6.6";"";"";"";"-2.55";"-2.25";"";"0.70";"";"0.70";"10.61";"31.11";"";""
"204-8051867-9052359 / Shipped / COG: 2.74 / FBA";"21.04.2026";"White Chocolate Skinny Syrup / Price: 9.99";"B07L6H9GZ2";"2X-8XI7-C9T5";"1";"";"9.99";"";"";"";"-3.25";"-2.74";"";"4.00";"";"4.00";"40.04";"145.99";"";""
"206-0402884-4692346 / Unshipped / COG: 2.25 / FBA";"21.04.2026";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 6.6";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"6.6";"";"";"";"-2.55";"-2.25";"";"0.70";"";"0.70";"10.61";"31.11";"";""
"206-9062805-0524361 / Unshipped / COG: 2.25 / FBA";"21.04.2026";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 6.6";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"6.6";"";"";"";"-2.55";"-2.25";"";"0.70";"";"0.70";"10.61";"31.11";"";""
"204-0174335-9552324 / Shipped / COG: 2.74 / FBA";"21.04.2026";"White Chocolate Skinny Syrup / Price: 9.99";"B07L6H9GZ2";"2X-8XI7-C9T5";"1";"";"9.99";"";"";"";"-3.25";"-2.74";"";"4.00";"";"4.00";"40.04";"145.99";"";""
"204-6471808-9601169 / Unshipped / COG: 2.25 / FBA";"21.04.2026";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 6.6";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"6.6";"";"";"";"-2.55";"-2.25";"";"0.70";"";"0.70";"10.61";"31.11";"";""
"204-8634670-1650735 / Shipped / COG: 3.44 / FBA";"21.04.2026";"100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm / Price: 8.98";"B010E25DI2";"4F-HT42-FD26";"2";"";"17.96";"";"";"";"-6.31";"-6.88";"";"1.78";"";"1.78";"9.89";"25.82";"";""
"204-4826950-5441102 / Shipped / COG: 2.19 / FBA";"21.04.2026";"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between the Teeth, Durable Dental Picks for Wide Gaps, Travel case Included / Price: 5.03";"B08KFFY86W";"VF-3T0K-DR5O";"1";"";"5.03";"";"";"";"-1.96";"-2.19";"";"0.04";"";"0.04";"0.83";"1.90";"";""
"206-7793414-6363508 / Unshipped / COG: 4.44 / FBA";"21.04.2026";"Everbuild Industrial Grade Superglue GP 50 g Pack of 3 / Price: 10.88";"B006PFN3BW";"A2-T2AC-TW3L";"1";"";"10.88";"";"";"";"-4.05";"-4.44";"";"0.58";"";"0.58";"5.30";"12.99";"";""
"026-2683834-2818728 / Shipped / COG: 2.19 / FBA";"21.04.2026";"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between the Teeth, Durable Dental Picks for Wide Gaps, Travel case Included / Price: 5.03";"B08KFFY86W";"VF-3T0K-DR5O";"1";"";"5.03";"";"";"";"-1.96";"-2.19";"";"0.04";"";"0.04";"0.83";"1.90";"";""
"206-9241838-8657104 / Shipped / COG: 2.25 / FBA";"21.04.2026";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 6.6";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"6.6";"";"";"";"-2.63";"-2.25";"";"0.62";"";"0.62";"9.39";"27.56";"";""
"204-7312610-3492358 / Unshipped / COG: 1.24 / FBA";"21.04.2026";"Fackelmann OPAL Hand Grater, Fine Lemon & Lime Zester, Chocolate & Parmesan Grater, Sharp Durable Grating Blade, Stainless Steel, 24x5.5x1.5cm, Silver / Price: 4.52";"B002DPGTF0";"US-AK96-YFSB";"1";"";"4.52";"";"";"";"-2.4";"-1.24";"";"0.13";"";"0.13";"2.80";"10.22";"";""
"026-4245952-3189938 / Unshipped / COG: 2.25 / FBA";"21.04.2026";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 6.6";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"6.6";"";"";"";"-2.55";"-2.25";"";"0.70";"";"0.70";"10.61";"31.11";"";""
"203-2410614-8417117 / Unshipped / COG: 2.25 / FBA";"21.04.2026";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 6.6";"B06WW79DX5";"6V-EEC1-2S9Z";"3";"";"19.8";"";"";"";"-7.64";"-6.75";"";"2.11";"";"2.11";"10.66";"31.26";"";""
"204-7324905-5120315 / Shipped / COG: 4.79 / FBA";"21.04.2026";"Curaprox CPS 07 Prime Start Interdental Brush Set |Starter Set with 5 Brushes |2 Different Holders |Red | 0.7 mm Diameter |2.5 mm Effectiveness | Made in Switzerland / Price: 9.03";"B086ZD7MG6";"XE-YPAI-HX9F";"1";"";"9.03";"";"";"";"-2.28";"-4.79";"";"0.46";"";"0.46";"5.04";"9.50";"";""
"204-1877934-6464363 / Unshipped / COG: 17.5 / FBA";"21.04.2026";"Promixx PRO Electric Protein Shaker Bottle / Price: 33";"B0CS3VF4GK";"GJ-2OZK-0GCA";"1";"";"33";"";"";"";"-8.3";"-17.5";"";"1.70";"";"1.70";"5.15";"9.71";"";""
"204-7612062-5530713 / Shipped / COG: 4.44 / FBA";"21.04.2026";"Everbuild Industrial Grade Superglue GP 50 g Pack of 3 / Price: 10.88";"B006PFN3BW";"A2-T2AC-TW3L";"1";"";"10.88";"";"";"";"-4.05";"-4.44";"";"0.58";"";"0.58";"5.30";"12.99";"";""
"205-5511651-6064360 / Shipped / COG: 4.44 / FBA";"21.04.2026";"Everbuild Industrial Grade Superglue GP 50 g Pack of 3 / Price: 10.88";"B006PFN3BW";"A2-T2AC-TW3L";"1";"";"10.88";"";"";"";"-4.05";"-4.44";"";"0.58";"";"0.58";"5.30";"12.99";"";""
"203-9590529-7135531 / Shipped / COG: 2.63 / FBA";"21.04.2026";"Fackelmann Sieve 15cm⌀, Strainer, Fine Mesh, Stainless Steel, 15x20x32.5cm, Silver / Price: 8.17";"B0009JJZ8A";"GK-YI4S-C158";"1";"";"8.17";"";"";"";"-4.01";"-2.63";"";"0.17";"";"0.17";"2.06";"6.40";"";""
"204-2951954-3471559 / Shipped / COG: 2.19 / FBA";"21.04.2026";"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between the Teeth, Durable Dental Picks for Wide Gaps, Travel case Included / Price: 5.03";"B08KFFY86W";"VF-3T0K-DR5O";"1";"";"5.03";"";"";"";"-1.96";"-2.19";"";"0.04";"";"0.04";"0.83";"1.90";"";""
