"Order number";"Order date";"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Expenses";"Net profit";"Margin";"ROI";"Coupon";"Comment"
"204-9748213-4291524 / Unshipped / COG: 2.46 / FBA";"20.01.2026";"The Army Painter | Hobby: Super Glue / Price: 8.2";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"8.2";"";"";"";"-2.72";"-2.46";"";"1.65";"";"1.65";"20.16";"67.21";"";""
"202-7938330-8582755 / Unshipped / COG: 2.46 / FBA";"19.01.2026";"The Army Painter | Hobby: Super Glue / Price: 8.2";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"8.2";"";"";"";"-2.72";"-2.46";"";"1.65";"";"1.65";"20.16";"67.21";"";""
"026-2482921-0521904 / Unshipped / COG: 2.46 / FBA";"19.01.2026";"The Army Painter | Hobby: Super Glue / Price: 8.2";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"8.2";"";"";"";"-2.72";"-2.46";"";"1.65";"";"1.65";"20.16";"67.21";"";""
"206-0046104-0141943 / Unshipped / COG: 2.46 / FBA";"19.01.2026";"The Army Painter | Hobby: Super Glue / Price: 8.2";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"8.2";"";"";"";"-2.72";"-2.46";"";"1.65";"";"1.65";"20.16";"67.21";"";""
"203-2329041-4277927 / Shipped / COG: 2.46 / FBA";"18.01.2026";"The Army Painter | Hobby: Super Glue / Price: 9.99";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"9.99";"";"";"";"-2.96";"-2.46";"";"2.91";"";"2.91";"29.08";"118.09";"";""
"026-7353104-1275566 / Shipped / COG: 2.46 / FBA";"18.01.2026";"The Army Painter | Hobby: Super Glue / Price: 9.99";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"9.99";"";"";"";"-2.96";"-2.46";"";"2.91";"";"2.91";"29.08";"118.09";"";""
"026-0608252-6696319 / Shipped / COG: 2.46 / FBA";"18.01.2026";"The Army Painter | Hobby: Super Glue / Price: 9.99";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"9.99";"";"";"";"-2.96";"-2.46";"";"2.91";"";"2.91";"29.08";"118.09";"";""
"202-8182226-2529903 / Shipped / COG: 2.46 / FBA";"18.01.2026";"The Army Painter | Hobby: Super Glue / Price: 9.99";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"9.99";"";"";"";"-2.96";"-2.46";"";"2.91";"";"2.91";"29.08";"118.09";"";""
"204-7278025-9190744 / Shipped / COG: 2.46 / FBA";"18.01.2026";"The Army Painter | Hobby: Super Glue / Price: 9.99";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"12.49";"";"";"";"-3";"-2.46";"-2.09";"4.95";"";"4.95";"22.88";"116.19";"";""
"202-1070640-9468313 / Shipped / COG: 2.46 / FBA";"18.01.2026";"The Army Painter | Hobby: Super Glue / Price: 9.99";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"9.99";"";"";"";"-2.96";"-2.46";"";"2.91";"";"2.91";"29.08";"118.09";"";""
"204-5922459-1407562 / Shipped / COG: 2.46 / FBA";"18.01.2026";"The Army Painter | Hobby: Super Glue / Price: 9.99";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"9.99";"";"";"";"-2.96";"-2.46";"";"2.91";"";"2.91";"29.08";"118.09";"";""
"204-3936789-8713944 / Shipped / COG: 2.46 / FBA";"18.01.2026";"The Army Painter | Hobby: Super Glue / Price: 9.99";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"9.99";"";"";"";"-2.96";"-2.46";"";"2.91";"";"2.91";"29.08";"118.09";"";""
"203-0688405-3298762 / Shipped / COG: 2.46 / FBA";"17.01.2026";"The Army Painter | Hobby: Super Glue / Price: 9.99";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"9.99";"";"";"";"-2.96";"-2.46";"";"2.91";"";"2.91";"29.08";"118.09";"";""
"202-7479701-7109965 / Shipped / COG: 2.46 / FBA";"17.01.2026";"The Army Painter | Hobby: Super Glue / Price: 9.99";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"9.99";"";"";"";"-2.96";"-2.46";"";"2.91";"";"2.91";"29.08";"118.09";"";""
"026-8921208-3101905 / Shipped / COG: 2.46 / FBA";"17.01.2026";"The Army Painter | Hobby: Super Glue / Price: 9.99";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"9.99";"";"";"";"-2.96";"-2.46";"";"2.91";"";"2.91";"29.08";"118.09";"";""
"203-6146382-3639543 / Shipped / COG: 2.46 / FBA";"17.01.2026";"The Army Painter | Hobby: Super Glue / Price: 9.99";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"9.99";"";"";"";"-2.96";"-2.46";"";"2.91";"";"2.91";"29.08";"118.09";"";""
"204-1322000-4988363 / Shipped / COG: 2.46 / FBA";"17.01.2026";"The Army Painter | Hobby: Super Glue / Price: 9.99";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"9.99";"";"";"";"-2.96";"-2.46";"";"2.91";"";"2.91";"29.08";"118.09";"";""
"204-3541758-7632360 / Shipped / COG: 2.46 / FBA";"17.01.2026";"The Army Painter | Hobby: Super Glue / Price: 9.99";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"9.99";"";"";"";"-2.96";"-2.46";"";"2.91";"";"2.91";"29.08";"118.09";"";""
"202-6257191-0999539 / Shipped / COG: 2.46 / FBA";"17.01.2026";"The Army Painter | Hobby: Super Glue / Price: 9.99";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"9.99";"";"";"";"-2.96";"-2.46";"";"2.91";"";"2.91";"29.08";"118.09";"";""
"204-7874815-4983522 / Shipped / COG: 2.46 / FBA";"17.01.2026";"The Army Painter | Hobby: Super Glue / Price: 9.99";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"9.99";"";"";"";"-2.96";"-2.46";"";"2.91";"";"2.91";"29.08";"118.09";"";""
"203-4576656-3934724 / Shipped / COG: 2.46 / FBA";"16.01.2026";"The Army Painter | Hobby: Super Glue / Price: 9.95";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"9.95";"";"";"";"-2.95";"-2.46";"";"2.88";"";"2.88";"28.96";"117.14";"";""
"206-8661619-7963541 / Shipped / COG: 2.46 / FBA";"15.01.2026";"The Army Painter | Hobby: Super Glue / Price: 8.2";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"8.2";"";"";"";"-2.72";"-2.46";"";"1.65";"";"1.65";"20.16";"67.21";"";""
"206-1230263-8708355 / Shipped / COG: 2.46 / FBA";"15.01.2026";"The Army Painter | Hobby: Super Glue / Price: 8.2";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"8.2";"";"";"";"-2.72";"-2.46";"";"1.65";"";"1.65";"20.16";"67.21";"";""
"205-6921997-9461914 / Shipped / COG: 2.46 / FBA";"15.01.2026";"The Army Painter | Hobby: Super Glue / Price: 8.2";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"8.2";"";"";"";"-2.72";"-2.46";"";"1.65";"";"1.65";"20.16";"67.21";"";""
"205-8894858-7611527 / Shipped / COG: 2.46 / FBA";"15.01.2026";"The Army Painter | Hobby: Super Glue / Price: 8.2";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"8.2";"";"";"";"-2.72";"-2.46";"";"1.65";"";"1.65";"20.16";"67.21";"";""
"204-7118542-1803537 / Shipped / COG: 2.46 / FBA";"15.01.2026";"The Army Painter | Hobby: Super Glue / Price: 8.2";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"8.2";"";"";"";"-2.72";"-2.46";"";"1.65";"";"1.65";"20.16";"67.21";"";""
"206-3424332-5261955 / Shipped / COG: 2.46 / FBA";"14.01.2026";"The Army Painter | Hobby: Super Glue / Price: 8.2";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"8.2";"";"";"";"-2.72";"-2.46";"";"1.65";"";"1.65";"20.16";"67.21";"";""
"205-7429081-3997150 / Shipped / COG: 2.46 / FBA";"12.01.2026";"The Army Painter | Hobby: Super Glue / Price: 8.2";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"8.2";"";"";"";"-2.72";"-2.46";"";"1.65";"";"1.65";"20.16";"67.21";"";""
"202-4209084-8187552 / Shipped / COG: 2.46 / FBA";"12.01.2026";"The Army Painter | Hobby: Super Glue / Price: 8";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"8";"";"";"";"-2.69";"-2.46";"";"1.52";"";"1.52";"18.96";"61.65";"";""
"204-1485782-2512302 / Shipped / COG: 2.46 / FBA";"11.01.2026";"The Army Painter | Hobby: Super Glue / Price: 8";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"8";"";"";"";"-2.69";"-2.46";"";"1.52";"";"1.52";"18.96";"61.65";"";""
"202-7148658-2936339 / Shipped / COG: 2.46 / FBA";"10.01.2026";"The Army Painter | Hobby: Super Glue / Price: 8";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"8";"";"";"";"-2.69";"-2.46";"";"1.52";"";"1.52";"18.96";"61.65";"";""
"203-0410352-7286732 / Shipped / COG: 2.46 / FBA";"09.01.2026";"The Army Painter | Hobby: Super Glue / Price: 7.98";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"7.98";"";"";"";"-2.69";"-2.46";"";"1.50";"";"1.50";"18.80";"60.98";"";""
"204-9534717-0636306 / Shipped / COG: 2.46 / FBA";"09.01.2026";"The Army Painter | Hobby: Super Glue / Price: 9.99";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"9.99";"";"";"";"-2.96";"-2.46";"";"2.91";"";"2.91";"29.08";"118.09";"";""
"026-4156114-0578767 / Shipped / COG: 2.46 / FBA";"09.01.2026";"The Army Painter | Hobby: Super Glue / Price: 7.4";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"8.44";"";"";"";"-2.63";"-2.46";"-0.87";"1.94";"";"1.94";"12.72";"43.63";"";""
"202-0317895-5938767 / Shipped / COG: 2.46 / FBA";"08.01.2026";"The Army Painter | Hobby: Super Glue / Price: 7.4";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"7.4";"";"";"";"-2.61";"-2.46";"";"1.10";"";"1.10";"14.82";"44.58";"";""
