Date,Order ID,lvl,country_code,SKU,Quantity Ordered,currency_code,Price_Total,Price_VAT,Price_ExVAT,Shipping_Total,Shipping_VAT,Shipping_ExVAT,Gift_Total,Gift_VAT,Gift_ExVAT,Promotion_Total,Promotion_VAT,Promotion_ExVAT,COGS_Total,COGS_VAT,COGS_ExVAT,FBA_Fee_Total,FBA_Fee_VAT,FBA_Fee_ExVAT,Commission_Total,Commission_VAT,Commission_ExVAT,Digital_Fee_Total,Digital_Fee_VAT,Digital_Fee_ExVAT,FixedClosingFee_Total,FixedClosingFee_VAT,FixedClosingFee_ExVAT,Margin_ExVAT,Margin_Pct
2025-11-04T21:13:58Z,202-9798449-3809157,3,GB,AF-KIHX-ANYY,1,GBP,3.97,0.66,3.31,,,,,,,0.0,0.0,0.0,-1.01,-0.17,-0.84,-1.75,-0.29,-1.46,-0.63,-0.11,-0.52,-0.05,-0.01,-0.04,,,,0.45,13.595166163141995
2025-11-04T21:15:37Z,205-6906404-8700303,3,GB,VU-8KRA-QP5M,1,GBP,11.60,1.93,9.67,,,,,,,0.0,0.0,0.0,-5.18,-0.86,-4.32,-3.6,-0.6,-3.0,-2.08,-0.35,-1.73,-0.1,-0.02,-0.08,,,,0.54,5.584281282316434
2025-11-04T21:56:32Z,205-9406211-3877131,3,GB,6V-EEC1-2S9Z,1,GBP,6.73,1.12,5.61,,,,,,,0.0,0.0,0.0,-2.52,-0.42,-2.1,-1.94,-0.32,-1.62,-1.04,-0.17,-0.87,-0.05,-0.01,-0.04,,,,0.98,17.46880570409982
2025-11-04T22:13:43Z,203-4377559-6623528,3,GB,SR-6OBB-WC03,1,GBP,8.83,1.47,7.36,,,,,,,0.0,0.0,0.0,-3.43,-0.57,-2.86,-2.91,-0.48,-2.43,-1.58,-0.26,-1.32,-0.09,-0.01,-0.08,,,,0.67,9.103260869565222
2025-11-04T22:18:29Z,203-9697672-9384324,3,GB,0G-JB6S-PN34,1,GBP,7.15,0.00,7.15,,,,,,,0.0,0.0,0.0,-2.74,0.0,-2.74,-3.18,-0.53,-2.65,-0.69,-0.12,-0.57,-0.07,-0.01,-0.06,,,,1.13,15.804195804195809
2025-11-04T22:22:45Z,026-9668422-3436334,3,GB,8M-LM6B-F2Q5,1,GBP,5.41,0.90,4.51,,,,,,,0.0,0.0,0.0,-1.88,-0.31,-1.57,-1.8,-0.3,-1.5,-0.84,-0.14,-0.7,-0.04,-0.01,-0.03,,,,0.71,15.742793791574275
2025-11-04T23:12:44Z,206-1841716-0406764,3,GB,0G-JB6S-PN34,1,GBP,7.15,0.00,7.15,,,,,,,0.0,0.0,0.0,-2.74,0.0,-2.74,-3.18,-0.53,-2.65,-0.69,-0.12,-0.57,-0.07,-0.01,-0.06,,,,1.13,15.804195804195809
2025-11-04T23:25:17Z,026-6949657-4168301,3,GB,0G-JB6S-PN34,1,GBP,7.15,0.00,7.15,,,,,,,0.0,0.0,0.0,-2.74,0.0,-2.74,-3.18,-0.53,-2.65,-0.69,-0.12,-0.57,-0.08,-0.01,-0.07,,,,1.12,15.66433566433567
2025-11-05T01:34:45Z,205-5902218-1373938,3,GB,SR-6OBB-WC03,1,GBP,8.83,1.47,7.36,,,,,,,0.0,0.0,0.0,-3.43,-0.57,-2.86,-2.91,-0.48,-2.43,-1.59,-0.26,-1.33,-0.1,-0.02,-0.08,,,,0.66,8.967391304347828
2025-11-05T02:57:16Z,203-4286627-8012344,3,GB,0G-JB6S-PN34,1,GBP,8.15,0.00,8.15,,,,,,,0.0,0.0,0.0,-2.74,0.0,-2.74,-3.18,-0.53,-2.65,-0.78,-0.13,-0.65,-0.07,-0.01,-0.06,,,,2.05,25.153374233128844
2025-11-05T06:59:09Z,203-8430894-9126739,3,GB,XH-0LAE-FQO5,1,GBP,7.30,1.22,6.08,,,,,,,0.0,0.0,0.0,-3.48,-0.58,-2.9,-1.75,-0.29,-1.46,-0.7,-0.12,-0.58,-0.05,-0.01,-0.04,,,,1.1,18.092105263157894
2025-11-05T07:37:33Z,203-9555760-0349942,3,GB,0G-JB6S-PN34,1,GBP,7.15,0.00,7.15,,,,,,,0.0,0.0,0.0,-2.74,0.0,-2.74,-3.18,-0.53,-2.65,-0.68,-0.11,-0.57,-0.07,-0.01,-0.06,,,,1.13,15.804195804195809
2025-11-05T08:45:58Z,204-3913888-6916331,3,GB,8L-INBX-OUTU,1,GBP,8.99,1.50,7.49,,,,,,,0.0,0.0,0.0,-2.99,-0.5,-2.49,-3.18,-0.53,-2.65,-1.62,-0.27,-1.35,-0.09,-0.01,-0.08,,,,0.92,12.283044058744991
2025-11-05T10:39:31Z,204-8184417-4994718,3,GB,SR-6OBB-WC03,1,GBP,8.83,1.47,7.36,,,,,,,0.0,0.0,0.0,-3.43,-0.57,-2.86,-2.91,-0.48,-2.43,-1.58,-0.26,-1.32,-0.09,-0.01,-0.08,,,,0.67,9.103260869565222
2025-11-05T12:13:56Z,204-6666176-8400325,3,GB,NN-TSZ1-X2RD,1,GBP,9.99,1.67,8.32,0.50,0.08,0.42,,,,0.0,0.0,0.0,-4.66,-0.87,-3.79,-1.8,-0.3,-1.5,-0.96,-0.16,-0.8,-0.07,-0.01,-0.06,,,,2.59,29.633867276887884
2025-11-05T12:13:56Z,204-6666176-8400325,3,GB,XH-0LAE-FQO5,1,GBP,7.17,1.20,5.97,0.50,0.08,0.42,,,,0.0,0.0,0.0,-3.48,-0.58,-2.9,-1.75,-0.29,-1.46,-0.69,-0.12,-0.57,-0.04,-0.01,-0.03,,,,1.43,22.37871674491393
2025-11-05T13:44:59Z,202-3251827-6955525,3,GB,0G-JB6S-PN34,1,GBP,7.15,0.00,7.15,,,,,,,0.0,0.0,0.0,-2.74,0.0,-2.74,-3.18,-0.53,-2.65,-0.69,-0.12,-0.57,-0.07,-0.01,-0.06,,,,1.13,15.804195804195809
2025-11-05T14:01:32Z,026-3494018-6437167,3,GB,0G-JB6S-PN34,1,GBP,7.15,0.00,7.15,,,,,,,0.0,0.0,0.0,-2.74,0.0,-2.74,-3.18,-0.53,-2.65,-0.69,-0.12,-0.57,-0.08,-0.01,-0.07,,,,1.12,15.66433566433567
