seller_sku	asin	supplier	barcode	supply_code	discontinued	drop
N9-IOWG-NGD9	B07QGGFKYK	ABGee	854941007631	333 SI568	FALSE	TRUE
BF-KVJ0-RUA9	B08C5L6YMH	ABGee		DC	TRUE	FALSE
12-749B-9EB5	B084HZRR8G	ABGee	889698498302	985 49830	FALSE	TRUE
WT-LPJW-NOXR	B082FRV6QN	ABGee	889698481861	985 48186	TRUE	FALSE
BF-EX14-XMNB	B0BT3W5FJZ	ABGee		985 72185	FALSE	TRUE
WB-6YBC-16X8	B0863J9XMR	ABGee	889698496957	985 49695	TRUE	FALSE
SC-LYFM-ORXK	B07QXSDZJM	ABGee		541 61176	FALSE	FALSE
5B-DQES-2T3E	B08PM3MG36	ABGee			FALSE	TRUE
BJ-1TEF-1BUZ	B00WOFBCHO	ABGee			FALSE	TRUE
2S-T29M-BDIZ	B07978WZ4L	ABGee	889698288064	985 28806	FALSE	TRUE
DY-51D1-CSIX	B07FFHPY7X	ABGee	885561022247	520 02224	FALSE	TRUE
09-CZ59-Q6OR	B09BR88BPW	DHB	5051717179447		TRUE	FALSE
B2-5FFM-153A	B00R6C2JPO	ABGee	4005556105700		TRUE	FALSE
91-PZCP-NNGD	B0198KU5PW	ABGee	849803053055	985 5305	FALSE	TRUE
XI-DUS3-PXC9	B07KWX9MLS	ABGee		413674	TRUE	FALSE
0T-LQK2-KFCY	B0CBNNKLYJ	ABGee	194735218318		TRUE	FALSE
OL-F41R-EZEF	B000WLIOSW	ABGee	7312350333916		FALSE	TRUE
NC-MA70-7OJ9	B004ALKMF8	ABGee	86002019103		FALSE	TRUE
T7-NZWY-R44R	B00CUB7726	ABGee	5038701102599		FALSE	TRUE
I2-OJSR-TKZ6	B00J6SEG7A	ABGee	7312350337358		FALSE	TRUE
9C-ZLCN-WWGK	B00TQ5KPNC	ABGee	849803058623	985 5862	FALSE	TRUE
6L-LO0H-2WGF	B06XG8519L	ABGee	695929032029	198 3202	FALSE	TRUE
7C-XI7G-FMUU	B07HB4VNVV	ABGee	889698363914	985 36391	FALSE	FALSE
W7-F06R-CW3C	B088BD4ZRQ	ABGee	4897073710693		FALSE	TRUE
D6-Y4EX-C9HL	B08C5LLPF2	ABGee			TRUE	FALSE
NB-UWOU-68PW	B08FMRRD53	ABGee	889698552103		TRUE	FALSE
QG-6O1N-7HTR	B08H8B19KW	ABGee	889933978712		TRUE	FALSE
E7-LAKI-9FEO	B08PM2N9H6	ABGee			TRUE	FALSE
FQ-DRSZ-XVJI	B08SR72PMM	ABGee	778988375402		TRUE	FALSE
WY-Z6LP-JOMV	B08T9KT6WR	ABGee		542 12001074	FALSE	TRUE
IX-E0R5-6P6G	B08WKT6B6G	ABGee	4005556051861		FALSE	TRUE
J7-QL4P-4SOM	B0937P8DBF	ABGee	4005556764457		TRUE	FALSE
