"Order number";"Order date";"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Expenses";"Net profit";"Margin";"ROI";"Coupon";"Comment"
"202-0254015-9324314 / Shipped / COG: 2.9 / FBA";"21.11.2025";"Curaprox CS 1006 Single Toothbrush – Targeted Cleaning for Gumline and Braces | Ultra-Soft Single Tuft | for Sensitive Teeth and Implants | Designed in Switzerland / Price: 7.29";"B00AOES9GE";"XH-0LAE-FQO5";"1";"";"7.29";"";"";"";"-2.07";"-2.9";"";"0.96";"";"0.96";"13.17";"33.10";"";""
"202-8737821-6491503 / Shipped / COG: 3.01 / FBA";"21.11.2025";"Disney 6315875812X12 25cm DAR Spiderverse Miles Morales Action Figure 25 cm Soft Toy with Glow in The Dark Eyes, One Size / Price: 9.41";"B09NM9TVYX";"N7-A24N-WJA7";"1";"";"9.41";"";"";"";"-4.13";"-3.01";"";"0.51";"";"0.51";"5.42";"16.94";"";""
"205-1004136-1321922 / Shipped / COG: 2.9 / FBA";"21.11.2025";"Curaprox CS 1006 Single Toothbrush – Targeted Cleaning for Gumline and Braces | Ultra-Soft Single Tuft | for Sensitive Teeth and Implants | Designed in Switzerland / Price: 7.12";"B00AOES9GE";"XH-0LAE-FQO5";"1";"";"7.12";"";"";"";"-2.07";"-2.9";"";"0.96";"";"0.96";"13.53";"33.22";"";""
"204-5399757-4876316 / Shipped / COG: 7.55 / FBA";"21.11.2025";"Funko Pop! Deluxe: Disney the Nightmare Before Christmas 30th - Jack Skellington & Zero With Tree - Disney: the Nightmare Before Christmas - Collectable Vinyl Figure - Gift Idea - Movies Fans / Price: 17.7";"B0BS1WDHP7";"ZV-RLOD-Q0JI";"1";"";"17.7";"";"";"";"-6.14";"-7.55";"";"1.06";"";"1.06";"5.99";"14.04";"";""
"205-6326586-5510721 / Shipped / COG: 2.25 / FBA";"21.11.2025";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 6.8";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"6.8";"";"";"";"-2.55";"-2.25";"";"0.87";"";"0.87";"12.75";"38.52";"";""
"204-1032454-3955534 / Shipped / COG: 7.55 / FBA";"21.11.2025";"Funko Pop! Deluxe: Disney the Nightmare Before Christmas 30th - Jack Skellington & Zero With Tree - Disney: the Nightmare Before Christmas - Collectable Vinyl Figure - Gift Idea - Movies Fans / Price: 17.7";"B0BS1WDHP7";"ZV-RLOD-Q0JI";"1";"";"17.7";"";"";"";"-6.14";"-7.55";"";"1.06";"";"1.06";"5.99";"14.04";"";""
"202-1710558-2853952 / Shipped / COG: 6.56 / FBA";"21.11.2025";"Learning Resources Kanoodle Puzzle Game, Ages 7+, 3D Brain Teaser with 200 Challenges, Travel-Friendly STEM Toy. Christmas Gifts Idea / Price: 14.34";"B000FGECAI";"Z3-ORV9-K8XD";"1";"";"14.34";"";"";"";"-2.19";"-6.56";"";"2.91";"";"2.91";"20.29";"44.36";"";""
"204-7743205-1111504 / Shipped / COG: 0.68 / FBA";"21.11.2025";"TEPE INTERDENTAL Travel CASE / Price: 3.46";"B0073FT7FY";"DC-K5WH-R7F5";"1";"";"3.46";"";"";"";"-1.78";"-0.68";"";"0.42";"";"0.42";"12.23";"62.25";"";""
"206-5212756-4137967 / Shipped / COG: 18.5 / FBA";"21.11.2025";"LEXIBOOK Paw Patrol - Educational and Bilingual Laptop Spanish/English - Toy for Child Kid (Boys & Girls), 124 Activities, Learn Play Games and Music with Chase Marshall - Red/Blue, JC598PAi2 / Price: 39.64";"B0913SVFD3";"MY-KL21-NMV5";"1";"";"39.64";"";"";"";"-9.28";"-18.5";"";"5.25";"";"5.25";"13.25";"28.40";"";""
"205-7712272-8839553 / Shipped / COG: 1.06 / FBA";"21.11.2025";"Masterplug Heavy Duty Single Socket Trailing Socket, without Plug and Cable, White / Price: 5.65";"B07L8N2TC1";"VL-48KZ-J3F2";"1";"";"5.65";"";"";"";"-3.21";"-1.06";"";"0.44";"";"0.44";"7.76";"41.35";"";""
