"Date","FNSKU","ASIN","MSKU","Title","Disposition","Starting Warehouse Balance","In Transit Between Warehouses","Receipts","Customer Shipments","Customer Returns","Vendor Returns","Warehouse Transfer In/Out","Found","Lost","Damaged","Disposed","Other Events","Ending Warehouse Balance","Unknown Events","Location"
"12/24/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","179","0","0","0","0","0","0","0","0","0","0","0","179","0","BHX3"
"12/23/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","180","0","0","-1","0","0","0","0","0","0","0","0","179","0","BHX3"
"12/22/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","187","0","0","-7","0","0","0","0","0","0","0","0","180","0","BHX3"
"12/21/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","192","0","0","-5","0","0","0","0","0","0","0","0","187","0","BHX3"
"12/20/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","195","0","0","-3","0","0","0","0","0","0","0","0","192","0","BHX3"
"12/19/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","198","0","0","-3","0","0","0","0","0","0","0","0","195","0","BHX3"
"12/18/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","202","0","0","-4","0","0","0","0","0","0","0","0","198","0","BHX3"
"12/17/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","204","0","0","-2","0","0","0","0","0","0","0","0","202","0","BHX3"
"12/16/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","206","0","0","-2","0","0","0","0","0","0","0","0","204","0","BHX3"
"12/15/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","207","0","0","-1","0","0","0","0","0","0","0","0","206","0","BHX3"
