"Order number";"Order date";"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Expenses";"Net profit";"Margin";"ROI";"Coupon";"Comment"
"202-3812260-8047569 / Shipped / COG: 2.1 / FBA";"31.10.2025";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 6.8";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"6.8";"";"";"";"-2.55";"-2.1";"";"1.02";"";"1.02";"14.95";"48.41";"";""
"202-9846083-5797148 / Shipped / COG: 2.22 / FBA";"31.10.2025";"Wisdom Pro Flex Interdental Brushes 0.70mm Yellow 25 Pack / Price: 7.93";"B07Y354HMP";"CY-5VNG-I5M8";"1";"";"7.93";"";"";"";"-3.11";"-2.22";"";"1.28";"";"1.28";"16.12";"57.58";"";""
"026-0984535-8642731 / Shipped / COG: 3.89 / FBA";"31.10.2025";"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland / Price: 9.99";"B093FQYQJH";"NN-TSZ1-X2RD";"1";"";"9.99";"";"";"";"-2.35";"-3.89";"";"2.09";"";"2.09";"20.87";"53.60";"";""
"205-5776176-5195507 / Shipped / COG: 3.89 / FBA";"31.10.2025";"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland / Price: 9.99";"B093FQYQJH";"NN-TSZ1-X2RD";"1";"";"9.99";"";"";"";"-2.35";"-3.89";"";"2.09";"";"2.09";"20.87";"53.60";"";""
"026-0615048-8220319 / Shipped / COG: 2.1 / FBA";"31.10.2025";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 6.8";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"6.8";"";"";"";"-2.55";"-2.1";"";"1.02";"";"1.02";"14.95";"48.41";"";""
"205-4291254-4416324 / Shipped / COG: 2.1 / FBA";"31.10.2025";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 6.8";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"6.8";"";"";"";"-2.55";"-2.1";"";"1.02";"";"1.02";"14.95";"48.41";"";""
"204-7635398-8903524 / Shipped / COG: 3.89 / FBA";"31.10.2025";"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland / Price: 9.99";"B093FQYQJH";"NN-TSZ1-X2RD";"1";"";"9.99";"";"";"";"-2.35";"-3.89";"";"2.09";"";"2.09";"20.87";"53.60";"";""
"202-4438237-7474707 / Shipped / COG: 2.1 / FBA";"31.10.2025";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 6.8";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"6.8";"";"";"";"-2.55";"-2.1";"";"1.02";"";"1.02";"14.95";"48.41";"";""
"205-2211742-0551510 / Shipped / COG: 3.33 / FBA";"31.10.2025";"100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm / Price: 9.48";"B010E25DI2";"4F-HT42-FD26";"1";"";"9.48";"";"";"";"-3.21";"-3.33";"";"1.36";"";"1.36";"14.35";"40.84";"";""
"026-8982117-1121904 / Shipped / COG: 3.89 / FBA";"31.10.2025";"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland / Price: 9.99";"B093FQYQJH";"NN-TSZ1-X2RD";"1";"";"9.99";"";"";"";"-2.35";"-3.89";"";"2.09";"";"2.09";"20.87";"53.60";"";""
