"Order number";"Order date";"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Expenses";"Net profit";"Margin";"ROI";"Coupon";"Comment"
"205-0096432-1312317 / Shipped / COG: 12.67 / FBA";"23.01.2026";"Yu-Gi-Oh Legendary Decks 2 2024 Unlimited Reprint / Price: 27.55";"B0CN5KRVXB";"TU-8I14-25ZR";"1";"";"27.55";"";"";"";"-7.31";"-12.67";"";"2.98";"";"2.98";"10.81";"23.51";"";""
"206-4792723-5481947 / Shipped / COG: 2.46 / FBA";"23.01.2026";"The Army Painter | Hobby: Super Glue / Price: 7.49";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"7.49";"";"";"";"-2.62";"-2.46";"";"1.16";"";"1.16";"15.51";"47.22";"";""
"203-1561226-8048310 / Shipped / COG: 2.9 / FBA";"23.01.2026";"Curaprox CS 1006 Single Toothbrush – Targeted Cleaning for Gumline and Braces | Ultra-Soft Single Tuft | for Sensitive Teeth and Implants | Designed in Switzerland / Price: 6.9";"B00AOES9GE";"XH-0LAE-FQO5";"1";"";"6.9";"";"";"";"-2.05";"-2.9";"";"0.80";"";"0.80";"11.59";"27.59";"";""
"203-5723744-0869964 / Shipped / COG: 2.7 / FBA";"23.01.2026";"Dragon Shield AT-13201 Standard Size Perfect Fit Sealable (100 Sleeves), clear / Price: 7.9";"B07RZBBG14";"F7-PMJ2-SG6A";"2";"";"15.8";"";"";"";"-5.83";"-5.4";"";"1.94";"";"1.94";"12.26";"35.86";"";""
"203-3315282-0970755 / Shipped / COG: 0.68 / FBA";"23.01.2026";"TEPE INTERDENTAL Travel CASE / Price: 3";"B0073FT7FY";"DC-K5WH-R7F5";"1";"";"3";"";"";"";"-1.75";"-0.68";"";"0.07";"";"0.07";"2.33";"10.29";"";""
"204-3131865-7775515 / Shipped / COG: 2.7 / FBA";"23.01.2026";"Dragon Shield AT-13201 Standard Size Perfect Fit Sealable (100 Sleeves), clear / Price: 7.9";"B07RZBBG14";"F7-PMJ2-SG6A";"2";"";"15.8";"";"";"";"-5.84";"-5.4";"";"1.93";"";"1.93";"12.19";"35.68";"";""
"203-3997283-0624317 / Shipped / COG: 2.47 / FBA";"23.01.2026";"Loctite 319 Rear View Mirror Bonder 0.5ml / Price: 6.09";"B0001P0DLU";"JB-RGB6-LZOJ";"1";"";"6.09";"";"";"";"-2.3";"-2.47";"";"0.31";"";"0.31";"5.01";"12.35";"";""
"203-8579024-1298745 / Shipped / COG: 0.68 / FBA";"23.01.2026";"TEPE INTERDENTAL Travel CASE / Price: 3";"B0073FT7FY";"DC-K5WH-R7F5";"2";"";"6";"";"";"";"-3.49";"-1.36";"";"0.15";"";"0.15";"2.50";"11.03";"";""
"202-8689476-5885912 / Shipped / COG: 2.47 / FBA";"23.01.2026";"Loctite 319 Rear View Mirror Bonder 0.5ml / Price: 6.09";"B0001P0DLU";"JB-RGB6-LZOJ";"1";"";"6.09";"";"";"";"-2.3";"-2.47";"";"0.31";"";"0.31";"5.01";"12.35";"";""
"204-5532008-7690748 / Shipped / COG: 3.7 / FBA";"23.01.2026";"Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red / Price: 9.99";"B004I2N5AS";"L3-ZQ8U-A7LQ";"1";"";"9.99";"";"";"";"-3.02";"-3.7";"";"1.61";"";"1.61";"16.07";"43.38";"";""
"203-6917375-6862755 / Shipped / COG: 1.72 / FBA";"23.01.2026";"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106) / Price: 5.59";"B007R2ICTK";"WX-L5UA-UB1Q";"1";"";"5.59";"";"";"";"-2.29";"-1.72";"";"0.65";"";"0.65";"11.60";"37.69";"";""
"202-0033880-5881103 / Shipped / COG: 3.7 / FBA";"23.01.2026";"Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red / Price: 9.99";"B004I2N5AS";"L3-ZQ8U-A7LQ";"1";"";"9.99";"";"";"";"-3.02";"-3.7";"";"1.61";"";"1.61";"16.07";"43.38";"";""
"206-5404530-7899562 / Shipped / COG: 1.72 / FBA";"23.01.2026";"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106) / Price: 5.59";"B007R2ICTK";"WX-L5UA-UB1Q";"1";"";"5.59";"";"";"";"-2.29";"-1.72";"";"0.65";"";"0.65";"11.60";"37.69";"";""
"026-5779852-3693911 / Shipped / COG: 2.7 / FBA";"23.01.2026";"Dragon Shield AT-13201 Standard Size Perfect Fit Sealable (100 Sleeves), clear / Price: 7.9";"B07RZBBG14";"F7-PMJ2-SG6A";"4";"";"36.59";"";"";"";"-11.75";"-10.8";"-4.16";"3.78";"";"3.78";"10.34";"35.01";"";""
"203-6563383-9977144 / Shipped / COG: 2.7 / FBA";"23.01.2026";"Dragon Shield AT-13201 Standard Size Perfect Fit Sealable (100 Sleeves), clear / Price: 7.9";"B07RZBBG14";"F7-PMJ2-SG6A";"1";"";"7.9";"";"";"";"-2.91";"-2.7";"";"0.97";"";"0.97";"12.32";"36.05";"";""
