"Order number";"Order date";"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Expenses";"Net profit";"Margin";"ROI";"Coupon";"Comment"
"202-5665306-2754766 / Shipped / COG: 3.7 / FBA";"19.01.2026";"Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red / Price: 9.99";"B004I2N5AS";"L3-ZQ8U-A7LQ";"1";"";"9.99";"";"";"";"-3.02";"-3.7";"";"1.61";"";"1.61";"16.07";"43.38";"";""
"202-7938330-8582755 / Shipped / COG: 2.46 / FBA";"19.01.2026";"The Army Painter | Hobby: Super Glue / Price: 8.2";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"8.2";"";"";"";"-2.72";"-2.46";"";"1.65";"";"1.65";"20.16";"67.21";"";""
"026-2482921-0521904 / Shipped / COG: 2.46 / FBA";"19.01.2026";"The Army Painter | Hobby: Super Glue / Price: 8.2";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"8.2";"";"";"";"-2.72";"-2.46";"";"1.65";"";"1.65";"20.16";"67.21";"";""
"203-0225527-3617179 / Shipped / COG: 2.25 / FBA";"19.01.2026";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 7.91";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"7.91";"";"";"";"-2.7";"-2.25";"";"1.64";"";"1.64";"20.75";"72.96";"";""
"206-0046104-0141943 / Shipped / COG: 2.46 / FBA";"19.01.2026";"The Army Painter | Hobby: Super Glue / Price: 8.2";"B07QQDMJ6M";"EV-CHU5-XU3G";"1";"";"8.2";"";"";"";"-2.72";"-2.46";"";"1.65";"";"1.65";"20.16";"67.21";"";""
"202-7194557-3943564 / Shipped / COG: 2.47 / FBA";"19.01.2026";"Loctite 319 Rear View Mirror Bonder 0.5ml / Price: 6.2";"B0001P0DLU";"JB-RGB6-LZOJ";"1";"";"6.2";"";"";"";"-2.32";"-2.47";"";"0.38";"";"0.38";"6.08";"15.25";"";""
"026-7415208-9362760 / Shipped / COG: 0.68 / FBA";"19.01.2026";"TEPE INTERDENTAL Travel CASE / Price: 3";"B0073FT7FY";"DC-K5WH-R7F5";"1";"";"3";"";"";"";"-1.75";"-0.68";"";"0.07";"";"0.07";"2.33";"10.29";"";""
"203-5736872-3706720 / Shipped / COG: 3.04 / FBA";"19.01.2026";"100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm / Price: 8.99";"B00WI8O0RG";"49-4UKW-G81R";"1";"";"8.99";"";"";"";"-3.14";"-3.04";"";"1.31";"";"1.31";"14.59";"43.15";"";""
"206-6060201-1089157 / Shipped / COG: 2.25 / FBA";"19.01.2026";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 7.99";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"7.99";"";"";"";"-2.71";"-2.25";"";"1.70";"";"1.70";"21.26";"75.48";"";""
"206-2364510-9045148 / Shipped / COG: 2.7 / FBA";"19.01.2026";"Dragon Shield AT-13201 Standard Size Perfect Fit Sealable (100 Sleeves), clear / Price: 7.9";"B07RZBBG14";"F7-PMJ2-SG6A";"4";"";"31.6";"";"";"";"-11.67";"-10.8";"";"3.86";"";"3.86";"12.23";"35.77";"";""
