"Order number";"Order date";"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Expenses";"Net profit";"Margin";"ROI";"Coupon";"Comment"
"205-3588169-7984310 / Shipped / COG: 0.68 / FBA";"13.01.2026";"TEPE INTERDENTAL Travel CASE / Price: 3";"B0073FT7FY";"DC-K5WH-R7F5";"1";"";"3";"";"";"";"-1.75";"-0.68";"";"0.07";"";"0.07";"2.33";"10.29";"";""
"203-1168223-3133942 / Unshipped / COG: 2.19 / FBA";"13.01.2026";"3 PCS EVERBUILD INDUSTRIAL GRADE SUPER GLUE HV HIGH VISCOSITY BONDS PVC, METAL, MDF, ALUMINIUM, CERAMICS, RUBBER ETC. 20G EACH / Price: 8.49";"B07SLLYRSP";"SU-5LQH-2DVN";"1";"";"8.49";"";"";"";"-3.69";"-2.19";"";"1.20";"";"1.20";"14.08";"54.57";"";""
"205-0513198-1953964 / Shipped / COG: 6.95 / FBA";"13.01.2026";"LEXIBOOK - Paw Patrol - Cordless Mini Bedside Lamp and Nightlight Paw Patrol - Blue - MLT10PA / Price: 16.08";"B08W25WKTN";"OV-LVEL-DQL6";"1";"";"16.08";"";"";"";"-4.88";"-6.95";"";"1.57";"";"1.57";"9.76";"22.59";"";""
"206-6937107-9407531 / Shipped / COG: 1.72 / FBA";"13.01.2026";"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106) / Price: 5.77";"B007R2ICTK";"WX-L5UA-UB1Q";"1";"";"5.77";"";"";"";"-2.32";"-1.72";"";"0.77";"";"0.77";"13.32";"44.67";"";""
"202-0704749-1637148 / Shipped / COG: 12.67 / FBA";"13.01.2026";"Yu-Gi-Oh Legendary Decks 2 2024 Unlimited Reprint / Price: 27.55";"B0CN5KRVXB";"TU-8I14-25ZR";"1";"";"32.54";"";"";"";"-7.48";"-12.67";"-4.15";"6.97";"";"6.97";"8.66";"22.23";"";""
"206-6375749-3605900 / Shipped / COG: 13.65 / FBA";"13.01.2026";"Casio Gents 43.00mm Quartz Watch with Black Analogue dial and Black Rubber Strap Strap MRW-200H-1BVES / Price: 27";"B0073TTHBY";"MW-9K5M-VKW8";"1";"";"27";"";"";"";"-7.19";"-13.65";"";"1.66";"";"1.66";"6.15";"12.16";"";""
"204-6794713-9791563 / Shipped / COG: 0.68 / FBA";"13.01.2026";"TEPE INTERDENTAL Travel CASE / Price: 3";"B0073FT7FY";"DC-K5WH-R7F5";"1";"";"3";"";"";"";"-1.75";"-0.68";"";"0.07";"";"0.07";"2.33";"10.29";"";""
"026-4832195-1604358 / Shipped / COG: 13.65 / FBA";"13.01.2026";"Casio Gents 43.00mm Quartz Watch with Black Analogue dial and Black Rubber Strap Strap MRW-200H-1BVES / Price: 27";"B0073TTHBY";"MW-9K5M-VKW8";"1";"";"27";"";"";"";"-7.19";"-13.65";"";"1.66";"";"1.66";"6.15";"12.16";"";""
"026-3645331-2365903 / Shipped / COG: 1.72 / FBA";"13.01.2026";"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106) / Price: 5.77";"B007R2ICTK";"WX-L5UA-UB1Q";"1";"";"5.77";"";"";"";"-2.32";"-1.72";"";"0.77";"";"0.77";"13.32";"44.67";"";""
"203-4566672-3944335 / Shipped / COG: 12.67 / FBA";"13.01.2026";"Yu-Gi-Oh Legendary Decks 2 2024 Unlimited Reprint / Price: 27.55";"B0CN5KRVXB";"TU-8I14-25ZR";"1";"";"27.55";"";"";"";"-7.4";"-12.67";"";"2.89";"";"2.89";"10.48";"22.80";"";""
"205-7719933-7589921 / Shipped / COG: 1.72 / FBA";"13.01.2026";"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106) / Price: 5.77";"B007R2ICTK";"WX-L5UA-UB1Q";"1";"";"5.77";"";"";"";"-2.32";"-1.72";"";"0.77";"";"0.77";"13.32";"44.67";"";""
