"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"VAT";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"Ultra Pro 81181 3"" x 4"" Clear Thick 55PT Toploaders (25ct) COG: 2.46 / Price: 9.77";"B001Q77TI2";"D7-MGBX-RX2P";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0.18";"";"";"";"-0.18";"-0.18";"-0.18";"";"";"";"";"";"";""
"Amtech S8003 9 LED Glow in The Dark Torch COG: 1.54 / Price: 6.13";"B00NWI5RT6";"MI-QFW3-BKPY";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0.19";"";"";"";"-0.19";"-0.19";"-0.19";"";"";"";"";"";"";""
"Croydex White Button Shower Curtain Rings 12pk, 75g, 34F COG: 1.62 / Price: 6.4";"B005F5TRBI";"FB-6FW0-Z82Q";"2";"";"12.8";"";"";"";"";"";"";"";"";"";"-";"";"-7.72";"-3.24";"-2.13";"";"-0.29";"-0.29";"5.08";"";"-2.27";"-8.95";"173 490";"";"114";"1.75"
"LEXIBOOK, Barbie, Educational and Bilingual Laptop in English/French, Toy for children with 124 activities to learn, play games and music, Pink, JC598BBi1 COG: 18.5 / Price: 35.18";"B0C9LJNJWZ";"4W-VS57-BV6A";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0.31";"";"";"";"-0.31";"-0.31";"-0.31";"";"";"";"2 897";"";"";""
"Fackelmann OPAL Melon Baller, Food & Fruit Scoop, Grapefruit & Potato Scoop, Cutting Scoop Head, Stainless Steel, 16.5x2.3x1.5cm, Silver COG: 1.23 / Price: 4.31";"B001KYTW0O";"714776";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0.35";"";"";"";"-0.35";"-0.35";"-0.35";"";"";"";"";"";"43";""
"Dishmatic Value Pack Kit – 1x Refillable Washing-Up Liquid Dispensing Handle with 6X Replaceable General-Purpose Sponge Heads – Antibacterial Kitchen Washing-Up Handle with Easy-Grip Handle COG: 2.37 / Price: 7.6";"B072K2PG11";"GH-XAAE-HRU7";"1";"";"7.62";"";"";"";"";"";"";"";"";"";"-";"";"-4.46";"-2.37";"-1.43";"";"-0.64";"-0.64";"3.16";"";"-8.40";"-27.00";"";"";"2 088";"0.05"
"Skinny Food Co Salted Caramel Zero Calorie Syrup 425ml - Sugar Free Salted Caramel Syrup For Snacks, Drinks & Desserts - Vegan, Gluten-free, Keto & Paleo Friendly Caramel Syrup - Salted Caramel Syrup COG: 0 / Price: 6";"B07F1MFWV1";"D0-C7C0-H6LN";"30";"";"180";"";"";"";"";"";"";"";"";"";"-";"";"-98.62";"-82.2";"";"";"-0.82";"-0.82";"81.38";"";"-0.46";"-1.00";"5 212";"";"486";"6.17"
"LEXIBOOK, The Collins English dictionary, 13th Edition-Electronic Dictionary, Definitions, Thesaurus, Conjugation, Phonetic Spellchecker, Crossword Solver, with Battery, Blue/White, D850EN COG: 23.25 / Price: 37.34";"B08MQB42B3";"LR-7GM6-1RCH";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0.95";"";"";"";"-0.95";"-0.95";"-0.95";"";"";"";"49 286";"";"";""
"Solvite SLVTHRIFT Wallpaper & Border Paste, Set of 1 COG: 1.48 / Price: 4.23";"B001OXH0X2";"T8-6UWL-I3E1";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"1.9";"-2.96";"";"";"-1.06";"-1.06";"-1.06";"";"";"-35.81";"";"";"";""
"Funko POP! Vinyl Alien COG: 7.68 / Price: 16.92";"B00BUY54DI";"FA-LRV6-YRFW";"1";"";"16.92";"";"";"";"";"";"";"";"";"";"-";"";"-7.58";"-7.68";"-2.82";"";"-1.16";"-1.16";"9.34";"";"-6.86";"-15.10";"29 789";"";"480";"0.21"
"Vitrex 10 2280 Grout Finisher, Blue COG: 0.84 / Price: 4.25";"B0001P15T4";"AF-KIHX-ANYY";"21";"2";"76.05";"";"";"";"";"";"";"";"";"9.52";"";"-6.34";"-41.94";"-17.64";"-11.48";"";"-1.35";"-1.35";"27.77";"";"-1.78";"-7.65";"158 714";"";"62";"33.87"
"Zyliss E46145 Strongboy 2 Jar Opener, Plastic/Metal, White, Adjustable Grip to Open Opens Jar/Bottle Lids/Caps COG: 8.27 / Price: 21.99";"B002KFZKZ8";"2G-AYBQ-TUQG";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-1.43";"";"";"";"-1.43";"-1.43";"-1.43";"";"";"";"";"";"507";""
"Tala Adjustable Cake Leveller, Stainless Steel Wire Cutter for Even Cake Layers, Multi-Height Settings for Cakes up to 25cm Wide, Perfect for Leveling & Decorating Sponges COG: 1.99 / Price: 7.21";"B00BEUFYE2";"9X-HL62-83C7";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-1.47";"";"";"";"-1.47";"-1.47";"-1.47";"";"";"";"";"";"177";""
"Curaprox Kids Toothpaste – Fluoride-Free for Toddlers | Strawberry Flavour | Gentle Protection from First Tooth | 60ml | Made in Switzerland COG: 3.6 / Price: 8.77";"B09M3PFZC8";"HL-03ZR-QPHH";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-1.49";"";"";"";"-1.49";"-1.49";"-1.49";"";"";"";"1 690";"";"271";""
"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106) COG: 1.72 / Price: 5.43";"B007R2ICTK";"WX-L5UA-UB1Q";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"1.87";"-3.44";"";"";"-1.57";"-1.57";"-1.57";"";"";"-45.64";"";"";"";""
"Masterplug Heavy Duty Single Socket Trailing Socket, without Plug and Cable, White COG: 1.19 / Price: 5.23";"B07L8N2TC1";"VL-48KZ-J3F2";"2";"";"10.46";"";"";"";"";"";"";"";"";"";"-";"";"-8.25";"-2.38";"-1.74";"";"-1.91";"-1.91";"2.21";"";"-18.26";"-80.25";"6 859";"";"1 014";"0.20"
"McFarlane DC Multiverse 7"" Scale Vehicles - Tumbler with Lucius Fox (The Dark Knight) Gold Label, Includes Action Figure and Accessories COG: 39.61 / Price: 73.25";"B0CTD6Q6KY";"YC-3L3M-BV48";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-1.93";"";"";"";"-1.93";"-1.93";"-1.93";"";"";"";"127 411";"";"";""
"Groov-e Geneva Rechargeable DAB & FM Digital Radio - Built-In Alarm Clock & Bluetooth Connectivity - LCD Display - USB or Battery Operated - Portable Radio - 80 Preset Stations - Black COG: 13 / Price: 22.07";"B0C9J86XCZ";"U1-M5BM-8F5W";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-1.94";"";"";"";"-1.94";"-1.94";"-1.94";"";"";"";"";"";"1 418";""
"LEXIBOOK, Disney Stitch, Nightlight alarm clock, Sounds and Melodies, LCD Backlit screen, Luminous, Snooze, Blue, RL800D COG: 14.95 / Price: 29.61";"B0CJ8TNZ67";"RB-82FL-T88J";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-2.1";"";"";"";"-2.10";"-2.10";"-2.1";"";"";"";"";"";"864";""
"OtterBox Symmetry Folio Case for iPad 10th gen 2022, iPad 11th gen 2025 (A16), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Black COG: 23.78 / Price: 36.18";"B0D6W9DZX4";"3X-EXDD-TD2K";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-2.1";"";"";"";"-2.10";"-2.10";"-2.1";"";"";"";"14 328";"";"35";""
"Kingfisher Natural Toothpaste Charcoal Mint Fluoride-Free | Vegetarian & Vegan | Oral Health Foundation Approved | Gluten-Free & GM-Free | Ethical Consumer Best Buy | 1x100ml Tube COG: 2.42 / Price: 6.97";"B075XT2J8X";"RZ-6ZL9-CZ7J";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-2.34";"";"";"";"-2.34";"-2.34";"-2.34";"";"";"";"";"";"192";""
"The Cheeky Panda Bamboo Facial Make Up Remover Wipes | Sustainable Face Wipes Eye Makeup Remover | Rose Scented Pack of 25 Face Wipes | 99% Purified Water COG: 2.19 / Price: 6.49";"B08P63MSS9";"TJ-6LOP-OPEU";"1";"";"6.49";"";"";"";"";"";"";"";"";"";"-";"";"-5.98";"-2.19";"-1.08";"";"-2.76";"-2.76";"0.51";"";"-42.53";"-126.03";"839";"";"261";"0.38"
"Kitchen Devils S8602000 Lifestyle Vegetable Knife, 1 cm COG: 3.95 / Price: 9.11";"B000FPU2SK";"TK-E7QE-T40G";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-2.78";"";"";"";"-2.78";"-2.78";"-2.78";"";"";"";"";"";"1 227";""
"Curaprox CS 1006 Single Toothbrush – Targeted Cleaning for Gumline and Braces | Ultra-Soft Single Tuft | for Sensitive Teeth and Implants | Designed in Switzerland COG: 3.05 / Price: 6.23";"B00AOES9GE";"XH-0LAE-FQO5";"58";"2";"361.16";"";"";"";"";"";"";"";"";"3.45";"-";"-12.4";"-116.21";"-176.9";"-58.62";"";"-2.97";"-2.97";"232.55";"";"-0.82";"-1.68";"4 402";"";"1 242";"4.67"
"Hilltop Maple Syrup - Very Dark Late Harvest - Squeezy Bottle - 230g COG: 3.4 / Price: 6.76";"B0897VHKW6";"BL-WX51-KQOK";"1";"";"6.76";"";"";"";"";"";"";"";"";"";"-";"";"-5.49";"-3.4";"-1.13";"";"-3.26";"-3.26";"1.27";"";"-48.22";"-95.88";"28 758";"";"5";"20.00"
"LEXIBOOK Paw Patrol - Educational and Bilingual Laptop Spanish/English - Toy for Child Kid (Boys & Girls), 124 Activities, Learn Play Games and Music with Chase Marshall - Red/Blue, JC598PAi2 COG: 20 / Price: 39.86";"B0913SVFD3";"MY-KL21-NMV5";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-3.76";"";"";"";"-3.76";"-3.76";"-3.76";"";"";"";"";"";"189";""
"Amtech V4075 P240 Hook and Loop Orbital Sanding Sheets, 10 Piece Set, 115mm Diameter Sanding Paper COG: 0.95 / Price: 2.99";"B07BC1CMDK";"A1-KSU1-GZMS";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-4.34";"";"";"";"-4.34";"-4.34";"-4.34";"";"";"";"";"";"1";""
"Skinny Food Co Sugar Free Maple Syrup 425ml - Zero Calorie Syrup For Breakfast, Snacks, Drinks & Desserts - Vegan, Gluten-free, Keto & Paleo Friendly Maple Syrup - Sugar Free Maple Syrup UK COG: 2.74 / Price: 5.9";"B07H2WXMDJ";"0G-JB6S-PN34";"7";"1";"41.3";"";"";"";"";"";"";"";"";"14.29";"-";"-5.65";"-23.61";"-19.18";"";"";"-7.14";"-7.14";"12.04";"";"-17.29";"-37.23";"5 212";"";"95";"7.37"
"Free League FLF-ALE014 ALIEN RPG Destroyer of Worlds Game COG: 13.65 / Price: 39.99";"9189143051";"79-CPJ6-DSG6";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-8.15";"";"";"";"-8.15";"-8.15";"-8.15";"";"";"";"";"";"75";""
"Minky Metallic Reflector Ironing Board Cover, Extra Large COG: 4.23 / Price: 11.47";"B003VTZAM0";"XY-UM2X-TPS3";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-10.9";"";"";"";"-10.90";"-10.90";"-10.9";"";"";"";"";"";"355";""
"Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red COG: 8.06 / Price: 17.65";"B004I2N5AS";"L3-ZQ8U-A7LQ";"20";"1";"273.12";"";"";"";"";"";"";"";"";"5.00";"100";"-5.64";"-68.69";"-169.26";"-41.88";"";"-12.36";"-12.36";"182.66";"";"-4.53";"-7.30";"38 610";"";"103";"19.42"
"Avalon Organics Rosemary Volumizing Conditioner 325ml Pack of 3 COG: 16.74 / Price: 34.99";"B001ET78RY";"D8-1A3E-I37F";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-16.55";"";"";"";"-16.55";"-16.55";"-16.55";"";"";"";"";"";"4";""
"OtterBox Defender Case for iPad 10th gen 2022, iPad 11th gen 2025 (A16), Shockproof, Rugged Protective Case with built in Screen Protector, 2x Tested to Military Standard, Black, No Retail Packaging COG: 39.1 / Price: 81.99";"B0BBHBX72C";"8R-E0Y9-0LAU";"";"1";"";"";"";"";"";"";"";"";"";"∞";"-";"-52.61";"-4.54";"";"10.00";"";"-47.15";"-47.15";"-57.15";"";"";"";"";"";"514";""
"Moo Free Dairy Free Milk Chocolate Buttons (25g) COG: 0.61 / Price: 2.71";"B08M52B4M5";"AX-NKNU-29C1";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-60.51";"";"";"";"-60.51";"-60.51";"-60.51";"";"";"";"100 559";"";"";""
