"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"VAT";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"Curaprox CPS 07 Prime Start Interdental Brush Set |Starter Set with 5 Brushes |2 Different Holders |Red | 0.7 mm Diameter |2.5 mm Effectiveness | Made in Switzerland COG: 4.79 / Price: 9.03";"B086ZD7MG6";"XE-YPAI-HX9F";"56";"";"522.88";"";"";"";"";"";"";"";"";"";"-";"";"-126.79";"-268.24";"-87.35";"-13.85";"26.65";"26.65";"382.24";"";"5.10";"9.94";"8 052";"";"210";"26.67"
"Promixx PRO Electric Protein Shaker Bottle COG: 17.5 / Price: 33";"B0CS3VF4GK";"GJ-2OZK-0GCA";"17";"";"561";"";"";"";"";"";"";"";"";"";"-";"";"-146.37";"-297.5";"-93.50";"";"23.63";"23.63";"414.63";"";"4.21";"7.94";"56 421";"";"109";"15.60"
"Harry Potter - Tattoos (Temporary) - Set of 35 Styles - Official - Cinereplicas COG: 2.09 / Price: 9";"B07CN7NRF7";"WJ-YHKC-EES5";"7";"";"63";"";"";"";"";"";"";"";"";"";"-";"";"-15.62";"-14.63";"-10.50";"";"22.25";"22.25";"47.38";"";"35.32";"152.08";"";"";"6";"116.67"
"Ultra Pro - Eclipse 9-Pocket Pro-Binder - Jet Black COG: 8.61 / Price: 18.47";"B07W65T6VT";"2T-07RT-8IMX";"12";"";"230.71";"";"";"";"";"";"";"";"";"";"-";"";"-72.82";"-102.96";"-38.45";"";"16.48";"16.48";"157.89";"";"7.14";"16.01";"93 436";"";"139";"8.63"
"MARSHALLTOWN Masonry Grout Bags for Mortar and Grout, Tiling Tools, Durable Black Vinyl Bag, 30 x 60 cm, Tip Included, Made in USA, GB692 COG: 7.29 / Price: 15.39";"B000PSB13C";"6Q-9G2A-IKVV";"35";"2";"548.63";"";"";"";"";"";"";"";"";"5.71";"-";"-27.5";"-155.93";"-255.15";"-86.30";"-8.31";"15.44";"15.44";"356.89";"";"2.81";"6.05";"29 839";"";"391";"8.95"
"100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm COG: 3.44 / Price: 8.99";"B00WI8O0RG";"49-4UKW-G81R";"15";"";"135.73";"";"";"";"";"";"";"";"";"";"-";"";"-47.27";"-51.6";"-23.36";"";"13.50";"13.50";"88.46";"";"9.95";"26.16";"23 155";"";"17";"88.24"
"Minky PP23004003 Easy Medium Ironing Cover Fits Boards, 110 x 35 cm, Black COG: 3.41 / Price: 9.82";"B006SYGN9O";"SE-UITZ-7CPY";"11";"";"101.54";"";"";"";"";"";"";"";"";"";"-";"";"-33.75";"-37.51";"-16.92";"";"13.36";"13.36";"67.79";"";"13.16";"35.62";"13 455";"";"593";"1.85"
"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland COG: 3.49 / Price: 7.34";"B093FQYQJH";"NN-TSZ1-X2RD";"25";"";"192.42";"";"";"";"";"";"";"";"";"";"-";"";"-52.86";"-87.25";"-34.33";"-5.29";"12.69";"12.69";"134.27";"";"6.59";"14.54";"4 474";"";"704";"3.55"
"100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm COG: 3.44 / Price: 8.98";"B010E25DI2";"4F-HT42-FD26";"14";"";"125.72";"";"";"";"";"";"";"";"";"";"-";"";"-44.11";"-48.16";"-20.95";"";"12.50";"12.50";"81.61";"";"9.94";"25.96";"23 155";"";"124";"11.29"
"Price's - Time for You Large Jar Candle - Sweet, Delicious Fragrance - Long Lasting Scent - Up to 100 Hour Burn Time - Ideal for All Occasions COG: 5.35 / Price: 13.13";"B09445GL1C";"L1-54EX-56YC";"8";"";"101.38";"";"";"";"";"";"";"";"";"";"-";"";"-24.5";"-48.15";"-17.16";"";"11.57";"11.57";"71.53";"";"11.41";"24.03";"259 430";"";"29";"27.59"
"TEPE INTERDENTAL Travel CASE COG: 0.68 / Price: 3";"B0073FT7FY";"DC-K5WH-R7F5";"90";"2";"270.95";"";"";"";"";"";"";"";"";"2.22";"-";"-5.58";"-148.06";"-61.2";"-44.79";"";"11.32";"11.32";"117.31";"";"4.18";"18.50";"4 469";"";"1 943";"4.63"
"Curaprox CS 1560 Soft Toothbrush – Firmer Brushing Experience | Gentle Plaque Removal for Adults | Single Pack, Random Color | Made in Switzerland COG: 2.75 / Price: 6.67";"B0083HIM7U";"C6-XGZB-J6QA";"34";"";"208.55";"";"";"";"";"";"";"";"";"";"-";"";"-68.43";"-93.5";"-36.25";"";"10.37";"10.37";"140.12";"";"4.97";"11.09";"304";"";"1 746";"1.95"
