batch_id,tokens_total,allocated_tokens,available_tokens,research_pending,unsellable,returned_pending,warehouse,returned_events,disposed_events,unique_orders
XH-0LAE-FQO5-150925-row864,14,14,0,0,0,0,0,0,0,12
8L-INBX-OUTU-150925-row870,13,13,0,0,0,0,0,0,0,13
X7-MY4W-H2I4-061025-row900,13,12,1,0,0,0,0,0,0,11
GH-PONH-K4WQ-061025-row883,13,12,1,0,0,0,0,0,0,8
RB-82FL-T88J-232025-row394,13,13,0,0,0,0,0,0,0,13
D2-8SPY-Q095-220525-row712,12,11,1,0,0,0,0,0,0,11
SQ-7QYT-5D5B-020625-row741,12,11,1,0,0,0,0,0,0,11
5Z-6Z0P-9TQQ-111224-row319,12,0,12,0,0,0,0,0,0,0
714810-260825-row839,12,1,11,0,0,0,0,0,0,1
Z9-FBUQ-EZN3-061025-row888,12,12,0,0,0,0,0,0,0,12
CJ-X0SS-QOUW-200525-row690,12,3,9,0,0,0,0,0,0,3
Z7-26PV-O9LR-300525-row727,12,12,0,0,0,0,0,0,0,11
OV-LVEL-DQL6-342025-row459,11,2,9,0,0,0,0,0,0,2
BB-ZT14-1QQA-250825-row818,11,11,0,0,0,0,0,0,0,10
79-CPJ6-DSG6-201025-row924,11,11,0,0,0,0,0,0,0,11
ZV-RLOD-Q0JI-090925-row853,10,10,0,0,0,0,0,0,0,10
8U-QPFH-3EKQ-040325-row473,10,6,4,0,0,0,0,0,0,2
8R-E0Y9-0LAU-120126-row958,10,8,2,0,0,0,0,0,0,7
YO-EKK2-FRCC-090925-row844,10,3,7,0,0,0,0,0,0,3
3B-3H3V-Z93T-190625-row760,9,9,0,0,0,0,0,0,0,9
D8-1A3E-I37F-050525-row650,9,2,7,0,0,0,0,0,0,2
CX-SMCH-4DYA-230625-row769,9,2,7,0,0,0,0,0,0,2
MY-KL21-NMV5-10212024-row217,9,9,0,0,0,0,0,0,0,9
GK-YI4S-C158-040825-row804,9,8,0,1,0,0,0,0,0,8
GD-B8SW-1PCP-342025-row410,9,9,0,0,0,0,0,0,0,6
IJ-V0PQ-4CZ4-572025-row672,9,1,8,0,0,0,0,0,0,1
U1-M5BM-8F5W-12112024-row322,8,8,0,0,0,0,0,0,0,8
BL-WX51-KQOK-050525-row651,8,2,6,0,0,0,0,0,0,2
FB-6FW0-Z82Q-230425-row609,8,0,8,0,0,0,0,0,0,0
JL-VTP2-JF3Q-3252025-row551,7,7,0,0,0,0,0,0,0,7
UL-D0Y8-ZNI5-090925-row847,7,7,0,0,0,0,0,0,0,7
XH-OMMJ-C7MT-140425-row585,7,7,0,0,0,0,0,0,0,7
79-CPJ6-DSG6-250825-row817,6,6,0,0,0,0,0,0,0,6
0R-GRRH-W0Z9-572025-row670,6,0,6,0,0,0,0,0,0,0
714776-061025-row903,6,6,0,0,0,0,0,0,0,6
L1-54EX-56YC-260825-row823,6,6,0,0,0,0,0,0,0,6
PY-XV78-3OG5-061025-row912,6,6,0,0,0,0,0,0,0,6
XG-Z9LW-Z27Q-201025-row925,6,6,0,0,0,0,0,0,0,5
9X-HL62-83C7-10325-row489,6,0,6,0,0,0,0,0,0,0
MW-9K5M-VKW8-040825-row802,6,6,0,0,0,0,0,0,0,6
GA-9DTN-9O1E-100325-row502,6,5,1,0,0,0,0,0,0,5
NX-0Q7A-XR6H-100725-row792,6,6,0,0,0,0,0,0,0,4
XE-YPAI-HX9F-6325-row481,6,6,0,0,0,0,0,0,0,5
TE-Y18U-S2O1-190625-row746,5,5,0,0,0,0,0,0,0,5
IM-AYXV-79NJ-090925-row856,5,5,0,0,0,0,0,0,0,5
LF-X542-9TDZ-090925-row848,5,5,0,0,0,0,0,0,0,5
4D-BI2L-5PZ8-300525-row723,5,5,0,0,0,0,0,0,0,1
3X-EXDD-TD2K-090925-row861,5,5,0,0,0,0,0,0,0,5
ZI-1MA2-8QGC-231024-row218,5,5,0,0,0,0,0,0,0,5
KI-CR51-18J3-3252025-row547,5,5,0,0,0,0,0,0,0,5
HL-03ZR-QPHH-140525-row684,5,1,4,0,0,0,0,0,0,1
L5-PF3B-WHU4-101125-row945,5,5,0,0,0,0,0,0,0,5
UR-Q7TM-1F3I-200525-row691,4,3,1,0,0,0,0,0,0,3
SU-JM8R-2U82-1022024-row113,4,4,0,0,0,0,0,0,0,4
IB-U5FA-BO2Y-101125-row942,4,4,0,0,0,0,0,0,0,4
81-3DY5-BFOR-81024-row144,4,4,0,0,0,0,0,0,0,4
8M-LM6B-F2Q5-130125-row354,4,4,0,0,0,0,0,0,0,3
4U-XT39-AMUJ-061025-row887,4,4,0,0,0,0,0,0,0,2
8M-NHB7-T8TR-090925-row846,4,4,0,0,0,0,0,0,0,4
8M-LM6B-F2Q5-150925-row869,4,1,3,0,0,0,0,0,0,1
8U-QPFH-3EKQ-161225-row951,4,0,4,0,0,0,0,0,0,0
2L-M26G-560I-061025-row915,3,3,0,0,0,0,0,0,0,3
0Z-Y60V-499R-220525-row717,3,3,0,0,0,0,0,0,0,3
VO-A6AR-18YS-572025-row671,3,2,1,0,0,0,0,0,0,2
XG-Z9LW-Z27Q-220525-row716,3,3,0,0,0,0,0,0,0,3
WJ-YHKC-EES5-040825-row801,3,2,1,0,0,0,0,0,0,2
US-AK96-YFSB-061025-row899,3,0,3,0,0,0,0,0,0,0
K0-71JR-UNLF-050525-row649,3,3,0,0,0,0,0,0,0,3
HO-LSOY-8R05-120126-row959,3,1,2,0,0,0,0,0,0,1
8R-E0Y9-0LAU-260825-row826,2,2,0,0,0,0,0,0,0,2
714776-260825-row838,2,2,0,0,0,0,0,0,0,2
FBA15K3QTGNT_unexpected_item_01-22325-row545,2,2,0,0,0,0,0,0,0,2
EV-CHU5-XU3G-041124-row249,2,2,0,0,0,0,0,0,0,2
DV-USYD-8WR2-061025-row908,2,2,0,0,0,0,0,0,0,2
HS-R5IP-7E1C-240225-row455,2,0,2,0,0,0,0,0,0,0
5M-QO6K-LNH0-140525-row686,2,2,0,0,0,0,0,0,0,2
I2-6YKQ-CIBP-090925-row862,2,2,0,0,0,0,0,0,0,2
D2-8SPY-Q095-030225-row382,2,2,0,0,0,0,0,0,0,2
CY-5VNG-I5M8-071025-row920,2,2,0,0,0,0,0,0,0,2
YO-EKK2-FRCC-050525-row653,2,2,0,0,0,0,0,0,0,2
ZT-QPY3-P24I-061025-row910,2,0,2,0,0,0,0,0,0,0
JH-97NP-GJDG-01112025-row1658,2,2,0,0,0,0,0,0,0,2
3E-62Y1-WPYU-20224-row433,1,1,0,0,0,0,0,0,0,1
4F-HT42-FD26-040325-row463,1,1,0,0,0,0,0,0,0,1
4U-9ZL6-9G0Y-161225-row948,1,0,1,0,0,0,0,0,0,0
02-7AZG-O0CV-01112025-row1656,1,1,0,0,0,0,0,0,0,1
G8-L8EI-INMK-161225-row950,1,1,0,0,0,0,0,0,0,1
GY-FO04-RDYL-140525-row683,1,0,1,0,0,0,0,0,0,0
IB-U5FA-BO2Y-061025-row907,1,1,0,0,0,0,0,0,0,1
EA-FZ2V-D7II-170225-row429,1,1,0,0,0,0,0,0,0,1
DO-QDI1-K7R9-220425-row601,1,1,0,0,0,0,0,0,0,1
DV-USYD-8WR2-260825-row825,1,1,0,0,0,0,0,0,0,1
DT-SPI3-IK34-101024-row179,1,1,0,0,0,0,0,0,0,1
MF-TPXM-F8AF-291024-row234,1,1,0,0,0,0,0,0,0,1
M5-71MK-T0DL-5225-row395,1,1,0,0,0,0,0,0,0,1
