batch_id,tokens_total,allocated_tokens,available_tokens,research_pending,unsellable,returned_pending,warehouse,returned_events,disposed_events,unique_orders,report_date
HL-03ZR-QPHH-140525-row684,5,1,4,0,0,0,0,0,0,1,2026-01-29
L5-PF3B-WHU4-101125-row945,5,5,0,0,0,0,0,0,0,4,2026-01-29
UR-Q7TM-1F3I-200525-row691,4,3,1,0,0,0,0,0,0,3,2026-01-29
SU-JM8R-2U82-1022024-row113,4,4,0,0,0,0,0,0,0,4,2026-01-29
IB-U5FA-BO2Y-101125-row942,4,4,0,0,0,0,0,0,0,4,2026-01-29
81-3DY5-BFOR-81024-row144,4,4,0,0,0,0,0,0,0,4,2026-01-29
8M-LM6B-F2Q5-130125-row354,4,4,0,0,0,0,0,0,0,3,2026-01-29
4U-XT39-AMUJ-061025-row887,4,4,0,0,0,0,0,0,0,2,2026-01-29
8M-NHB7-T8TR-090925-row846,4,4,0,0,0,0,0,0,0,4,2026-01-29
8M-LM6B-F2Q5-150925-row869,4,1,3,0,0,0,0,0,0,1,2026-01-29
8U-QPFH-3EKQ-161225-row951,4,0,4,0,0,0,0,0,0,0,2026-01-29
2L-M26G-560I-061025-row915,3,3,0,0,0,0,0,0,0,3,2026-01-29
0Z-Y60V-499R-220525-row717,3,3,0,0,0,0,0,0,0,3,2026-01-29
VO-A6AR-18YS-572025-row671,3,2,1,0,0,0,0,0,0,2,2026-01-29
XG-Z9LW-Z27Q-220525-row716,3,3,0,0,0,0,0,0,0,3,2026-01-29
WJ-YHKC-EES5-040825-row801,3,2,1,0,0,0,0,0,0,2,2026-01-29
US-AK96-YFSB-061025-row899,3,0,3,0,0,0,0,0,0,0,2026-01-29
K0-71JR-UNLF-050525-row649,3,3,0,0,0,0,0,0,0,3,2026-01-29
HO-LSOY-8R05-120126-row959,3,1,2,0,0,0,0,0,0,1,2026-01-29
8R-E0Y9-0LAU-260825-row826,2,2,0,0,0,0,0,0,0,2,2026-01-29
714776-260825-row838,2,2,0,0,0,0,0,0,0,2,2026-01-29
FBA15K3QTGNT_unexpected_item_01-22325-row545,2,2,0,0,0,0,0,0,0,2,2026-01-29
EV-CHU5-XU3G-041124-row249,2,2,0,0,0,0,0,0,0,2,2026-01-29
DV-USYD-8WR2-061025-row908,2,2,0,0,0,0,0,0,0,2,2026-01-29
HS-R5IP-7E1C-240225-row455,2,0,2,0,0,0,0,0,0,0,2026-01-29
5M-QO6K-LNH0-140525-row686,2,2,0,0,0,0,0,0,0,2,2026-01-29
I2-6YKQ-CIBP-090925-row862,2,2,0,0,0,0,0,0,0,2,2026-01-29
D2-8SPY-Q095-030225-row382,2,2,0,0,0,0,0,0,0,2,2026-01-29
CY-5VNG-I5M8-071025-row920,2,2,0,0,0,0,0,0,0,2,2026-01-29
YO-EKK2-FRCC-050525-row653,2,2,0,0,0,0,0,0,0,2,2026-01-29
ZT-QPY3-P24I-061025-row910,2,0,2,0,0,0,0,0,0,0,2026-01-29
JH-97NP-GJDG-01112025-row1658,2,2,0,0,0,0,0,0,0,2,2026-01-29
3E-62Y1-WPYU-20224-row433,1,1,0,0,0,0,0,0,0,1,2026-01-29
4F-HT42-FD26-040325-row463,1,1,0,0,0,0,0,0,0,1,2026-01-29
4U-9ZL6-9G0Y-161225-row948,1,0,1,0,0,0,0,0,0,0,2026-01-29
02-7AZG-O0CV-01112025-row1656,1,1,0,0,0,0,0,0,0,1,2026-01-29
G8-L8EI-INMK-161225-row950,1,1,0,0,0,0,0,0,0,1,2026-01-29
GY-FO04-RDYL-140525-row683,1,0,1,0,0,0,0,0,0,0,2026-01-29
IB-U5FA-BO2Y-061025-row907,1,1,0,0,0,0,0,0,0,1,2026-01-29
EA-FZ2V-D7II-170225-row429,1,1,0,0,0,0,0,0,0,1,2026-01-29
DO-QDI1-K7R9-220425-row601,1,1,0,0,0,0,0,0,0,1,2026-01-29
DV-USYD-8WR2-260825-row825,1,1,0,0,0,0,0,0,0,1,2026-01-29
DT-SPI3-IK34-101024-row179,1,1,0,0,0,0,0,0,0,1,2026-01-29
MF-TPXM-F8AF-291024-row234,1,1,0,0,0,0,0,0,0,1,2026-01-29
M5-71MK-T0DL-5225-row395,1,1,0,0,0,0,0,0,0,1,2026-01-29
6V-EEC1-2S9Z-101125-row938,1500,1496,3,1,0,0,0,0,0,1306,2026-01-29
VF-3T0K-DR5O-181125-row947,797,308,489,0,0,0,0,0,0,263,2026-01-29
WX-L5UA-UB1Q-190625-row756,794,607,187,0,0,0,0,0,0,583,2026-01-29
DC-K5WH-R7F5-101125-row934,516,388,128,0,0,0,0,0,0,332,2026-01-29
A2-T2AC-TW3L-101125-row939,450,420,30,0,0,0,0,0,0,386,2026-01-29
XH-0LAE-FQO5-201025-row927,306,283,23,0,0,0,0,0,0,238,2026-01-29
EV-CHU5-XU3G-061025-row881,228,185,43,0,0,0,0,0,0,173,2026-01-29
Z7-26PV-O9LR-150925-row865,200,154,44,2,0,0,0,0,0,125,2026-01-29
Z3-ORV9-K8XD-050525-row646,193,193,0,0,0,0,0,0,0,183,2026-01-29
AX-NKNU-29C1-140425-row586,182,48,134,0,0,0,0,0,0,28,2026-01-29
F7-PMJ2-SG6A-061025-row885,169,155,14,0,0,0,0,0,0,91,2026-01-29
NN-TSZ1-X2RD-071025-row917,139,139,0,0,0,0,0,0,0,115,2026-01-29
A2-T2AC-TW3L-090925-row860,122,122,0,0,0,0,0,0,0,108,2026-01-29
A2-T2AC-TW3L-050126-row955,120,0,120,0,0,0,0,0,0,0,2026-01-29
TU-8I14-25ZR-061025-row882,114,99,13,2,0,0,0,0,0,99,2026-01-29
0G-JB6S-PN34-101125-row946,110,0,110,0,0,0,0,0,0,0,2026-01-29
JB-RGB6-LZOJ-010525-row642,103,10,93,0,0,0,0,0,0,10,2026-01-29
SR-6OBB-WC03-250825-row819,98,97,1,0,0,0,0,0,0,70,2026-01-29
NN-TSZ1-X2RD-161225-row952,94,63,31,0,0,0,0,0,0,43,2026-01-29
D7-MGBX-RX2P-201025-row922,90,90,0,0,0,0,0,0,0,66,2026-01-29
